pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,fvg_present,sweep_present,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,bias,killzone_blocked,killzone_windows
EURUSD,2026-03-04T10:00:00+00:00,2026-03-04T10:00:00+00:00,2026-03-05T03:00:00+00:00,London,bullish,Minor BOS,proximal,1.16198,1.15989,1.16577,1.16659,1.82,2.21,sl,1.16198,0.0,1.82,0.0,0.0,1.815,-0.323,17,1,-1,2,equilibrium,3.5,1.5,0.0,0.0,1.5,0.5,"structure,freshness,killzone",False,h1_only,2026-03-04T08:00:00+00:00,BOS,Minor,False,False,False,,,,,False,10,LONG,False,07:00-16:30 UTC
EURUSD,2026-03-04T10:00:00+00:00,2026-03-05T04:00:00+00:00,2026-03-05T05:00:00+00:00,London,bullish,Minor BOS,50pct,1.16104,1.15989,1.16577,1.16659,4.113,4.826,sl,1.15989,-1.0,-1.0,-1.0,-250.0,0.7,-1.058,1,-1,-1,2,discount,3.5,1.5,0.0,0.0,1.5,0.5,"structure,freshness,killzone",False,h1_only,2026-03-04T08:00:00+00:00,BOS,Minor,False,False,False,,,,,False,10,LONG,False,07:00-16:30 UTC
EURUSD,2026-03-04T13:00:00+00:00,2026-03-04T13:00:00+00:00,2026-03-04T14:00:00+00:00,NY,bullish,Minor BOS,proximal,1.16509,1.16286,1.17096,1.17495,2.63,4.41,sl,1.16286,-1.0,-1.0,-1.0,-250.0,0.123,-1.092,1,-1,-1,1,premium,3.5,1.5,0.0,0.0,1.5,0.5,"structure,freshness,killzone",False,h1_only,2026-03-04T12:00:00+00:00,BOS,Minor,False,False,False,,,,,False,13,LONG,False,07:00-16:30 UTC
EURUSD,2026-03-04T13:00:00+00:00,2026-03-04T13:00:00+00:00,2026-03-04T14:00:00+00:00,NY,bullish,Minor BOS,50pct,1.16408,1.16286,1.17096,1.17495,5.639,8.91,sl,1.16286,-1.0,-1.0,-1.0,-250.0,1.054,-1.168,1,-1,-1,1,premium,3.5,1.5,0.0,0.0,1.5,0.5,"structure,freshness,killzone",False,h1_only,2026-03-04T12:00:00+00:00,BOS,Minor,False,False,False,,,,,False,13,LONG,False,07:00-16:30 UTC
EURUSD,2026-03-09T15:00:00+00:00,2026-03-11T15:00:00+00:00,2026-03-11T15:00:00+00:00,NY,bullish,Minor BOS,proximal,1.15714,1.1552,1.16063,1.16158,1.8,2.29,window_end,1.1570056676864624,-0.069,-0.069,-0.069,-17.25,0.76,-0.069,0,-1,-1,3,discount,3.5,1.5,0.0,0.0,1.5,0.5,"structure,freshness,killzone",False,h1_only,2026-03-09T12:00:00+00:00,BOS,Minor,False,False,False,,,,,False,15,LONG,False,07:00-16:30 UTC
EURUSD,2026-03-09T15:00:00+00:00,,,NY,bullish,Minor BOS,50pct,1.15627,1.1552,1.16063,1.16158,4.075,4.963,never_filled,,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,3,discount,3.5,1.5,0.0,0.0,1.5,0.5,"structure,freshness,killzone",False,h1_only,2026-03-09T12:00:00+00:00,BOS,Minor,False,False,False,,,,,False,15,LONG,False,07:00-16:30 UTC
EURUSD,2026-03-09T19:00:00+00:00,2026-03-09T19:00:00+00:00,2026-03-09T19:00:00+00:00,NY,bullish,Minor BOS,proximal,1.15875,1.15774,1.16063,1.16158,1.87,2.81,tp2,1.16158,2.802,1.87,2.81,700.5,4.67,-0.799,0,0,0,1,discount,3.0,1.5,0.0,0.0,1.5,0.0,"structure,freshness",False,h1_only,2026-03-09T18:00:00+00:00,BOS,Minor,False,False,False,,,,,True,19,LONG,True,07:00-16:30 UTC
EURUSD,2026-03-09T19:00:00+00:00,2026-03-09T19:00:00+00:00,2026-03-09T19:00:00+00:00,NY,bullish,Minor BOS,50pct,1.15835,1.15774,1.16063,1.16158,3.738,5.295,tp2,1.16158,5.295,3.738,5.295,1323.75,8.389,-0.666,0,0,0,1,discount,3.0,1.5,0.0,0.0,1.5,0.0,"structure,freshness",False,h1_only,2026-03-09T18:00:00+00:00,BOS,Minor,False,False,False,,,,,True,19,LONG,True,07:00-16:30 UTC
EURUSD,2026-03-09T23:00:00+00:00,2026-03-09T23:00:00+00:00,2026-03-09T23:00:00+00:00,Other,bullish,Minor BOS,proximal,1.16482,1.16246,1.17096,1.17495,2.59,4.28,sl,1.16246,-1.0,-1.0,-1.0,-250.0,0.0,-1.261,0,-1,-1,1,premium,3.0,1.5,0.0,0.0,1.5,0.0,"structure,freshness",False,h1_only,2026-03-09T22:00:00+00:00,BOS,Minor,False,False,False,,,,,True,23,LONG,True,07:00-16:30 UTC
EURUSD,2026-03-09T23:00:00+00:00,2026-03-09T23:00:00+00:00,2026-03-09T23:00:00+00:00,Other,bullish,Minor BOS,50pct,1.16374,1.16246,1.17096,1.17495,5.641,8.758,sl,1.16246,-1.0,-1.0,-1.0,-250.0,0.0,-1.48,0,-1,-1,1,premium,3.0,1.5,0.0,0.0,1.5,0.0,"structure,freshness",False,h1_only,2026-03-09T22:00:00+00:00,BOS,Minor,False,False,False,,,,,True,23,LONG,True,07:00-16:30 UTC
