feature,split,bucket,edge_lo,edge_hi,n,expR,ci_lo,ci_hi,ci_excludes_0,wr_pct,totR,pos_quarters,level
break_close_atr,DISCOVERY,0.0,0.0,0.65,2326,-0.0313,-0.079,0.019,False,37.6,-72.77,14/36,
break_close_atr,DISCOVERY,1.0,0.65,1.0,2249,-0.0476,-0.098,0.005,False,35.2,-107.06,13/36,
break_close_atr,DISCOVERY,2.0,1.0,1.34,2239,-0.0762,-0.126,-0.026,True,34.3,-170.55,10/36,
break_close_atr,DISCOVERY,3.0,1.34,1.9,2274,-0.0425,-0.096,0.01,False,34.7,-96.71,14/36,
break_close_atr,DISCOVERY,4.0,1.9,12.25,2241,-0.0839,-0.137,-0.029,True,31.4,-188.04,12/36,
break_close_atr,VALIDATION,0.0,0.0,0.65,1359,-0.0162,-0.079,0.047,False,38.5,-21.98,8/20,
break_close_atr,VALIDATION,1.0,0.65,1.0,1315,-0.0941,-0.155,-0.032,True,35.4,-123.72,5/20,
break_close_atr,VALIDATION,2.0,1.0,1.34,1297,-0.0657,-0.128,-0.003,True,36.1,-85.16,7/20,
break_close_atr,VALIDATION,3.0,1.34,1.9,1189,-0.0538,-0.122,0.015,False,35.2,-63.93,7/20,
break_close_atr,VALIDATION,4.0,1.9,12.25,1140,-0.0656,-0.137,0.01,False,33.4,-74.84,8/20,
break_body_atr,DISCOVERY,0.0,0.02,1.16,2356,-0.0433,-0.094,0.009,False,35.2,-102.13,14/36,
break_body_atr,DISCOVERY,1.0,1.16,1.46,2257,-0.014,-0.067,0.038,False,37.4,-31.69,16/36,
break_body_atr,DISCOVERY,2.0,1.46,1.7,2230,-0.0955,-0.144,-0.045,True,33.2,-213.0,10/36,
break_body_atr,DISCOVERY,3.0,1.7,2.14,2253,-0.0671,-0.116,-0.017,True,34.1,-151.24,12/36,
break_body_atr,DISCOVERY,4.0,2.14,10.41,2233,-0.0614,-0.112,-0.007,True,33.2,-137.07,13/36,
break_body_atr,VALIDATION,0.0,0.02,1.16,1360,-0.0513,-0.113,0.012,False,37.0,-69.71,5/20,
break_body_atr,VALIDATION,1.0,1.16,1.46,1412,-0.0356,-0.097,0.027,False,37.7,-50.31,11/20,
break_body_atr,VALIDATION,2.0,1.46,1.7,1229,-0.0155,-0.083,0.055,False,37.9,-19.07,10/20,
break_body_atr,VALIDATION,3.0,1.7,2.14,1244,-0.0757,-0.141,-0.01,True,34.3,-94.16,6/20,
break_body_atr,VALIDATION,4.0,2.14,10.41,1054,-0.131,-0.2,-0.059,True,31.0,-138.11,5/20,
impulse_leg_atr,DISCOVERY,0.0,0.0,0.986,2267,-0.0432,-0.096,0.011,False,34.2,-98.0,14/36,
impulse_leg_atr,DISCOVERY,1.0,0.986,1.606,2266,-0.059,-0.11,-0.007,True,34.4,-133.8,14/36,
impulse_leg_atr,DISCOVERY,2.0,1.606,2.312,2266,-0.041,-0.091,0.009,False,35.9,-92.94,17/36,
impulse_leg_atr,DISCOVERY,3.0,2.312,3.874,2266,-0.0399,-0.091,0.014,False,35.7,-90.37,14/36,
impulse_leg_atr,DISCOVERY,4.0,3.874,50.711,2264,-0.0972,-0.147,-0.045,True,33.1,-220.03,11/36,
impulse_leg_atr,VALIDATION,0.0,0.0,0.986,1123,-0.0209,-0.089,0.05,False,37.1,-23.52,9/20,
impulse_leg_atr,VALIDATION,1.0,0.986,1.606,1304,-0.1144,-0.178,-0.049,True,32.7,-149.13,7/20,
impulse_leg_atr,VALIDATION,2.0,1.606,2.312,1295,-0.0719,-0.135,-0.007,True,36.0,-93.15,7/20,
impulse_leg_atr,VALIDATION,3.0,2.312,3.874,1292,-0.0665,-0.132,-0.001,True,35.5,-85.9,8/20,
impulse_leg_atr,VALIDATION,4.0,3.874,50.711,1286,-0.0139,-0.081,0.055,False,38.1,-17.92,9/20,
fvg_size_atr,DISCOVERY,0.0,0.059,0.241,889,-0.0888,-0.172,-0.002,True,31.8,-78.9,2/7,
fvg_size_atr,DISCOVERY,1.0,0.241,0.434,889,-0.0797,-0.161,0.006,False,32.1,-70.81,4/8,
fvg_size_atr,DISCOVERY,2.0,0.434,0.658,887,0.0197,-0.066,0.11,False,35.9,17.43,4/5,
fvg_size_atr,DISCOVERY,3.0,0.658,1.06,887,-0.0644,-0.15,0.024,False,31.8,-57.1,2/9,
fvg_size_atr,DISCOVERY,4.0,1.06,9.522,887,-0.0094,-0.098,0.082,False,34.7,-8.35,5/9,
fvg_size_atr,VALIDATION,0.0,0.059,0.241,484,-0.0687,-0.175,0.04,False,34.0,-33.26,1/2,
fvg_size_atr,VALIDATION,1.0,0.241,0.434,515,-0.0459,-0.15,0.061,False,34.1,-23.65,2/4,
fvg_size_atr,VALIDATION,2.0,0.434,0.658,468,-0.0848,-0.19,0.025,False,33.2,-39.7,1/4,
fvg_size_atr,VALIDATION,3.0,0.658,1.06,520,0.0653,-0.044,0.177,False,39.6,33.95,3/5,
fvg_size_atr,VALIDATION,4.0,1.06,9.522,401,-0.1024,-0.217,0.015,False,32.6,-41.07,0/0,
ob_range_atr,DISCOVERY,0.0,0.011,0.667,2270,-0.0897,-0.146,-0.03,True,29.2,-203.67,10/36,
ob_range_atr,DISCOVERY,1.0,0.667,0.857,2269,-0.0245,-0.076,0.03,False,34.5,-55.54,16/36,
ob_range_atr,DISCOVERY,2.0,0.857,1.057,2261,-0.0453,-0.095,0.005,False,35.6,-102.38,13/36,
ob_range_atr,DISCOVERY,3.0,1.057,1.349,2270,-0.0262,-0.074,0.023,False,37.9,-59.52,16/36,
ob_range_atr,DISCOVERY,4.0,1.349,2.0,2259,-0.0947,-0.14,-0.048,True,36.2,-214.04,12/36,
ob_range_atr,VALIDATION,0.0,0.011,0.667,1391,-0.0852,-0.151,-0.019,True,32.0,-118.45,7/20,
ob_range_atr,VALIDATION,1.0,0.667,0.857,1138,0.0078,-0.061,0.079,False,37.3,8.83,11/20,
ob_range_atr,VALIDATION,2.0,0.857,1.057,1213,-0.103,-0.17,-0.036,True,33.5,-124.99,5/20,
ob_range_atr,VALIDATION,3.0,1.057,1.349,1287,-0.0688,-0.132,-0.003,True,36.9,-88.52,6/20,
ob_range_atr,VALIDATION,4.0,1.349,2.0,1271,-0.0366,-0.097,0.025,False,39.9,-46.49,9/20,
atr_at_ob,DISCOVERY,0.0,0.000339,0.001358,2267,-0.0458,-0.098,0.006,False,35.6,-103.82,8/22,
atr_at_ob,DISCOVERY,1.0,0.001358,0.0018962,2265,-0.07,-0.119,-0.02,True,34.8,-158.59,10/31,
atr_at_ob,DISCOVERY,2.0,0.0018962,0.002993,2266,-0.0431,-0.095,0.009,False,35.2,-97.65,13/28,
atr_at_ob,DISCOVERY,3.0,0.002993,0.2158858,2265,-0.0636,-0.115,-0.013,True,34.6,-144.06,7/33,
atr_at_ob,DISCOVERY,4.0,0.2158858,19.525714,2266,-0.0578,-0.109,-0.005,True,33.0,-131.01,12/36,
atr_at_ob,VALIDATION,0.0,0.000339,0.001358,3071,-0.0589,-0.1,-0.016,True,36.7,-180.8,7/20,
atr_at_ob,VALIDATION,1.0,0.001358,0.0018962,949,-0.0967,-0.171,-0.022,True,33.2,-91.73,5/16,
atr_at_ob,VALIDATION,2.0,0.0018962,0.002993,330,0.0804,-0.064,0.226,False,40.8,26.52,0/1,
atr_at_ob,VALIDATION,3.0,0.002993,0.2158858,1169,-0.0352,-0.104,0.034,False,37.1,-41.1,7/20,
atr_at_ob,VALIDATION,4.0,0.2158858,19.525714,780,-0.1045,-0.189,-0.017,True,31.4,-81.52,4/18,
pd_pct,DISCOVERY,0.0,-155.7,25.5,2276,-0.0527,-0.103,-0.001,True,35.7,-119.95,13/36,
pd_pct,DISCOVERY,1.0,25.5,42.8,2257,-0.0395,-0.093,0.014,False,34.6,-89.16,14/36,
pd_pct,DISCOVERY,2.0,42.8,61.3,2275,-0.1068,-0.156,-0.056,True,32.0,-242.93,7/36,
pd_pct,DISCOVERY,3.0,61.3,77.3,2266,-0.0106,-0.063,0.041,False,36.4,-23.97,18/36,
pd_pct,DISCOVERY,4.0,77.3,323.5,2255,-0.0706,-0.121,-0.02,True,34.6,-159.12,12/36,
pd_pct,VALIDATION,0.0,-155.7,25.5,1342,-0.0475,-0.11,0.017,False,37.3,-63.81,7/20,
pd_pct,VALIDATION,1.0,25.5,42.8,1220,-0.1004,-0.166,-0.037,True,33.3,-122.49,6/20,
pd_pct,VALIDATION,2.0,42.8,61.3,1233,-0.0433,-0.109,0.026,False,35.7,-53.45,8/20,
pd_pct,VALIDATION,3.0,61.3,77.3,1223,-0.021,-0.088,0.05,False,36.8,-25.69,8/20,
pd_pct,VALIDATION,4.0,77.3,323.5,1281,-0.0805,-0.146,-0.014,True,35.8,-103.18,5/20,
