feature,hi,lo,clean_rate_hi,clean_rate_lo,rate_diff,ci,n_hi,n_lo,robust_clean_break_predictor
break_close_atr,q4,q0,0.457,0.465,-0.0082,"[-0.0425, 0.0267]",1586,1616,False
break_body_atr,q4,q0,0.476,0.469,0.0074,"[-0.0267, 0.0416]",1575,1619,False
impulse_leg_atr,q4,q0,0.435,0.49,-0.0552,"[-0.0899, -0.0205]",1586,1587,True
fvg_size_atr,q4,q0,0.461,0.455,0.0062,"[-0.049, 0.0615]",633,635,False
ob_range_atr,q4,q0,0.476,0.471,0.0052,"[-0.0301, 0.0406]",1583,1592,False
atr_at_ob,q4,q0,0.471,0.464,0.0077,"[-0.0276, 0.0429]",1583,1592,False
pd_pct,q4,q0,0.464,0.465,-0.0005,"[-0.0357, 0.0341]",1585,1594,False
ob_age_h1_bars,q4,q0,0.456,0.484,-0.028,"[-0.0608, 0.0046]",1577,2079,False
ob_to_fill_hours,q4,q0,0.464,0.492,-0.0275,"[-0.061, 0.0072]",1556,1766,False
bars_break_to_pullback,q4,q0,0.473,0.492,-0.0188,"[-0.0538, 0.0155]",1567,1751,False
bos_sequence_count,q2,q0,0.475,0.47,0.0048,"[-0.0292, 0.0393]",1001,4905,False
score,q4,q0,0.464,0.476,-0.012,"[-0.0446, 0.0205]",1234,3129,False
alert_utc_hour,q4,q0,0.441,0.474,-0.0339,"[-0.0665, -0.0014]",1539,2169,True
ob_body_ratio,q4,q0,0.453,0.488,-0.0358,"[-0.0709, -0.0013]",1584,1597,True
leg_retrace_pct_at_alert,q4,q0,0.488,0.469,0.0186,"[-0.0163, 0.0535]",1533,1551,False
bos_tag,CHoCH,BOS,0.481,0.464,0.0171,"[-0.0068, 0.0416]",2295,5636,False
bos_tier,CHoCH,Confirm,0.481,0.445,0.0363,"[0.0009, 0.0719]",2295,1121,True
bos_verdict,holding,fading,0.47,0.456,0.0138,"[-0.0348, 0.0618]",7508,423,False
event,CHoCH CHoCH,Confirmation BOS,0.481,0.445,0.0363,"[0.0009, 0.0719]",2295,1121,True
reversed_from_extreme,False,other,0.501,0.464,0.0365,"[-0.0059, 0.0787]",609,5636,False
fvg_present,False,True,0.479,0.454,0.0253,"[0.0032, 0.0479]",4760,3171,True
fvg_mitigation,none,partial,0.482,0.454,0.0284,"[-0.008, 0.0648]",3693,906,False
fvg_state,no_fvg,fresh,0.482,0.455,0.0267,"[0.0041, 0.0492]",3693,3734,True
pd_zone,premium,discount,0.47,0.469,0.0008,"[-0.0211, 0.0224]",4186,3745,False
pd_alignment,aligned,counter,0.47,0.469,0.0013,"[-0.0206, 0.0233]",3860,4071,False
session,Asia,NY,0.478,0.456,0.0223,"[-0.0086, 0.0543]",1475,2851,False
ob_session,NY,London,0.483,0.454,0.0285,"[-0.0065, 0.0632]",1036,3173,False
fill_session,Asia,Other,0.477,0.431,0.0457,"[-0.0126, 0.1047]",1247,350,False
killzone_alignment,Fill only,Both,0.477,0.458,0.0185,"[-0.0109, 0.0481]",2894,1778,False
ob_in_killzone,False,True,0.471,0.466,0.0048,"[-0.0179, 0.0268]",4728,3203,False
fill_in_killzone,True,False,0.47,0.469,0.0013,"[-0.0206, 0.0243]",4672,3259,False
trend_alignment,ambiguous,counter_trend,0.485,0.453,0.0313,"[-0.0121, 0.0751]",1917,664,False
setup_badge,other,Caution: Late-Trend Chase,0.47,0.46,0.01,"[-0.047, 0.0697]",7302,298,False
ob_touches,1,2,0.475,0.447,0.0274,"[-0.0339, 0.0889]",1504,313,False
bias,LONG,SHORT,0.47,0.468,0.0018,"[-0.0196, 0.0237]",3960,3971,False
pair,USDCAD,NZDUSD,0.485,0.439,0.0459,"[-0.0031, 0.094]",987,660,False
ob_walkback_depth,2,3,0.48,0.432,0.0481,"[-0.0357, 0.1302]",544,183,False
structure_ranging_at_alert,True,False,0.477,0.469,0.0085,"[-0.0348, 0.0532]",505,7426,False
flip_pending_at_alert,True,False,0.482,0.464,0.0179,"[-0.0065, 0.0419]",2263,5668,False
flip_pending_dir_at_alert,bearish,other,0.487,0.464,0.0228,"[-0.0082, 0.0552]",1150,5668,False
dr_ceiling_broken_at_ob,True,False,0.478,0.467,0.0116,"[-0.0155, 0.0382]",1706,6145,False
dr_floor_broken_at_ob,False,True,0.472,0.461,0.011,"[-0.0162, 0.0376]",6218,1633,False
