knob,grid_value,baseline,grid_mode,pair,n_swings,n_obs,n_choch,n_bos,n_alerts_total,n_alerts_simulated,n_trades_filled,sum_r_realised,sum_pnl_usd,win_rate,expectancy_r,avg_logged_score,recon_ok
MIN_LEG_ATR_MULT,1.0,False,absolute,EURUSD,197,29,31,77,77,37,19,1.392,348.0,0.4,0.0733,6.133,True
MIN_LEG_ATR_MULT,1.5,True,absolute,EURUSD,186,29,31,72,78,37,19,1.401,350.25,0.4,0.0737,6.167,True
MIN_LEG_ATR_MULT,2.0,False,absolute,EURUSD,167,28,30,67,75,36,19,2.283,570.75,0.4,0.1202,6.069,True
MIN_LEG_ATR_MULT,2.5,False,absolute,EURUSD,141,26,32,63,80,33,16,7.701,1925.25,0.5,0.4813,6.0,True
MIN_LEG_ATR_MULT,1.0,False,absolute,USDJPY,213,34,39,79,65,36,25,4.567,1141.75,0.4,0.1827,5.509,True
MIN_LEG_ATR_MULT,1.5,True,absolute,USDJPY,197,31,32,76,57,34,20,6.373,1593.25,0.4667,0.3186,5.658,True
MIN_LEG_ATR_MULT,2.0,False,absolute,USDJPY,159,27,25,66,61,32,18,5.923,1480.75,0.4615,0.3291,5.593,True
MIN_LEG_ATR_MULT,2.5,False,absolute,USDJPY,136,20,27,55,42,21,12,8.275,2068.75,0.4,0.6896,5.789,True
MIN_LEG_ATR_MULT,1.0,False,absolute,NZDUSD,199,21,20,49,51,21,15,-5.19,-1297.5,0.2727,-0.346,6.5,True
MIN_LEG_ATR_MULT,1.5,True,absolute,NZDUSD,185,21,24,53,49,21,14,-4.043,-1010.75,0.3,-0.2888,6.4,True
MIN_LEG_ATR_MULT,2.0,False,absolute,NZDUSD,164,21,24,52,51,23,16,-1.497,-374.25,0.4167,-0.0936,6.476,True
MIN_LEG_ATR_MULT,2.5,False,absolute,NZDUSD,140,18,23,46,45,19,15,-0.497,-124.25,0.4545,-0.0331,6.444,True
MIN_LEG_ATR_MULT,1.0,False,absolute,USDCHF,192,22,24,67,58,23,11,-1.392,-348.0,0.3636,-0.1265,6.368,True
MIN_LEG_ATR_MULT,1.5,True,absolute,USDCHF,181,24,25,67,63,25,11,-1.392,-348.0,0.3636,-0.1265,6.429,True
MIN_LEG_ATR_MULT,2.0,False,absolute,USDCHF,152,23,27,63,62,24,10,0.202,50.5,0.4,0.0202,6.4,True
MIN_LEG_ATR_MULT,2.5,False,absolute,USDCHF,131,22,20,62,59,21,9,1.202,300.5,0.4444,0.1336,6.474,True
MIN_LEG_ATR_MULT,1.0,False,absolute,NAS100,0,0,0,0,0,0,0,0,0,,0.0,0.0,True
MIN_LEG_ATR_MULT,1.5,True,absolute,NAS100,0,0,0,0,0,0,0,0,0,,0.0,0.0,True
MIN_LEG_ATR_MULT,2.0,False,absolute,NAS100,0,0,0,0,0,0,0,0,0,,0.0,0.0,True
MIN_LEG_ATR_MULT,2.5,False,absolute,NAS100,0,0,0,0,0,0,0,0,0,,0.0,0.0,True
MIN_LEG_ATR_MULT,1.0,False,absolute,GOLD,194,25,19,50,84,26,15,-3.072,-768.0,0.2308,-0.2048,5.592,True
MIN_LEG_ATR_MULT,1.5,True,absolute,GOLD,179,25,19,46,84,26,14,-6.247,-1561.75,0.1667,-0.4462,5.608,True
MIN_LEG_ATR_MULT,2.0,False,absolute,GOLD,157,29,15,42,107,30,16,-7.375,-1843.75,0.1429,-0.4609,5.615,True
MIN_LEG_ATR_MULT,2.5,False,absolute,GOLD,139,26,15,42,117,28,14,-3.764,-941.0,0.1667,-0.2689,5.808,True
