setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_raw,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,sl_bar_was_sweep,sl_swept_then_tp1,sl_wick_depth_atr,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,ob_body_ratio,ob_walkback_depth,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,structure_ranging_at_alert,flip_pending_at_alert,flip_pending_dir_at_alert,leg_extreme_at_alert,leg_retrace_pct_at_alert,leg_extreme_clipped,dr_ceiling_broken_at_ob,dr_floor_broken_at_ob,alert_bar_ts,alert_seq,bos_timestamp,bias,be_arm_bar_touched_entry,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,setup_badge,setup_badge_kind,killzone_blocked,killzone_windows
A5947,EURUSD,2008-02-01T14:00:00+00:00,2008-02-01T14:00:00+00:00,2008-02-01T15:00:00+00:00,NY,bullish,Confirmation BOS,proximal,1.4786,1.4775,1.4773,1.4817,1.4897,2.82,10.09,tp1,1.4817,2.385,2.82,0.0,596.25,True,,2.385,-0.0,,,,1,1,-1,47.0,44.0,47,discount,0.0,,8.0,4.0,1.0,0.0,2.0,1.0,"structure,sweep,freshness",False,h1_only,2008-01-30T15:00:00+00:00,BOS,Confirm,holding,False,full,True,0,3.67,3.59,3.59,strong,0.325,,4.077,0.002771,0.556,0,False,,,,,False,14,bullish,with_trend,False,False,,1.4949,61.7,False,False,False,2008-02-01T13:00:00+00:00,1,2008-01-30T18:00:00+00:00,LONG,,aligned,-13.4,False,1,fresh,NY,NY,True,True,Both,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A5948,EURUSD,2008-02-01T15:00:00+00:00,2008-02-05T08:00:00+00:00,2008-02-05T08:00:00+00:00,NY,bullish,CHoCH CHoCH,proximal,1.4727,1.4713,1.4711,1.4772,,3.21,,sl,1.4711,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,True,False,0.325,0,-1,-1,189.0,139.0,100,discount,1.0,True,8.0,4.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2008-01-28T11:00:00+00:00,CHoCH,CHoCH,holding,True,pristine,False,0,1.12,1.72,1.15,marginal,0.433,0.289,0.794,0.002771,0.25,0,False,,,,,False,15,bullish,with_trend,False,False,,1.4949,84.1,False,False,False,2008-02-01T14:00:00+00:00,1,2008-01-28T12:00:00+00:00,LONG,,aligned,-66.1,False,0,fresh,London,London,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A5949,EURUSD,2008-02-04T05:00:00+00:00,2008-02-04T05:00:00+00:00,2008-02-05T08:00:00+00:00,Asia,bearish,CHoCH CHoCH,proximal,1.482,1.4856,1.4858,1.4764,,1.56,,tp1,1.4764,1.474,1.56,5.105,368.5,True,,1.474,-0.711,,,,27,27,-1,62.0,12.0,13,discount,1.0,True,5.0,4.0,0.0,0.0,0.0,1.0,structure,False,h1_only,2008-02-01T15:00:00+00:00,CHoCH,CHoCH,holding,False,none,False,2,2.41,2.18,1.45,marginal,1.731,,1.833,0.001964,0.765,0,False,,,,,False,5,bullish,ambiguous,False,True,bearish,1.4792,29.2,False,False,False,2008-02-04T04:00:00+00:00,1,2008-02-01T16:00:00+00:00,SHORT,False,counter,12.8,False,0,no_fvg,NY,Asia,True,False,OB only,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A5950,EURUSD,2008-02-04T07:00:00+00:00,,,London,bearish,CHoCH CHoCH,proximal,1.4872,1.4908,1.4909999999999999,1.4817,,1.53,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,0,-1,-1,,,20,discount,1.0,True,7.0,4.0,0.0,1.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2008-02-01T10:00:00+00:00,CHoCH,CHoCH,holding,True,partial,False,0,1.8,1.56,1.04,marginal,2.0,2.294,2.118,0.0017,0.676,1,False,,,,,False,7,bullish,ambiguous,False,True,bearish,1.4786,84.3,False,False,False,2008-02-04T06:00:00+00:00,1,2008-02-01T14:00:00+00:00,SHORT,,counter,48.0,False,0,fresh,London,London,False,False,never_filled,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A5951,EURUSD,2008-02-04T07:00:00+00:00,,,London,bearish,CHoCH CHoCH,proximal,1.4872,1.4885,1.4887,1.4852,,1.54,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,0,-1,-1,,,21,discount,1.0,True,8.0,4.0,0.0,1.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2008-02-01T09:00:00+00:00,CHoCH,CHoCH,holding,True,partial,False,0,1.9,1.65,1.1,marginal,0.661,2.343,2.163,0.001664,0.636,2,False,,,,,False,7,bullish,ambiguous,False,True,bearish,1.4786,84.3,False,False,False,2008-02-04T06:00:00+00:00,1,2008-02-01T14:00:00+00:00,SHORT,,counter,48.0,False,0,fresh,London,London,True,False,never_filled,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A5952,EURUSD,2008-02-05T08:00:00+00:00,,,London,bearish,BOS BOS,proximal,1.481,1.4819,1.4821,1.4792,,2.0,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,0,-1,-1,,,7,discount,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2008-02-05T01:00:00+00:00,BOS,BOS,holding,True,pristine,False,0,2.48,2.74,2.74,strong,0.587,0.251,3.521,0.001193,0.286,2,False,,,,,False,8,bearish,with_trend,False,False,,1.4765,54.9,False,False,True,2008-02-05T07:00:00+00:00,1,2008-02-05T07:00:00+00:00,SHORT,,counter,24.5,False,2,fresh,Asia,London,False,False,never_filled,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A5953,EURUSD,2008-02-05T09:00:00+00:00,2008-02-05T09:00:00+00:00,2008-02-05T10:00:00+00:00,London,bullish,BOS BOS,proximal,1.4683,1.4669,1.4667000000000001,1.4707,,1.71,,sl,1.4667000000000001,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,True,False,0.035,1,-1,-1,198.0,145.0,149,discount,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2008-01-28T03:00:00+00:00,BOS,BOS,holding,False,none,False,0,0.16,1.21,1.21,marginal,0.419,,1.641,0.002864,0.25,0,False,,,,,False,9,bearish,counter_trend,False,False,,1.4949,92.0,False,False,False,2008-02-05T08:00:00+00:00,1,2008-01-28T07:00:00+00:00,LONG,,aligned,-79.7,False,1,no_fvg,Asia,London,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A5954,EURUSD,2008-02-07T12:00:00+00:00,,,London,bearish,BOS BOS,proximal,1.4612,1.4653,1.4655,1.4549,,1.54,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,0,-1,-1,,,4,premium,0.0,,7.0,3.0,1.0,0.0,2.0,1.0,"structure,sweep,freshness",False,h1_only,2008-02-07T08:00:00+00:00,BOS,BOS,holding,False,none,True,0,1.39,2.28,2.28,solid,1.712,,2.765,0.002279,0.564,0,False,,,,,False,12,bearish,with_trend,False,False,,1.4549,56.8,False,False,True,2008-02-07T11:00:00+00:00,1,2008-02-07T11:00:00+00:00,SHORT,,aligned,61.8,False,2,no_fvg,London,London,True,False,never_filled,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A5955,EURUSD,2008-02-08T18:00:00+00:00,2008-02-12T13:00:00+00:00,2008-02-14T06:00:00+00:00,NY,bearish,BOS BOS,proximal,1.4597,1.4624,1.4626,1.4467,,4.81,,sl,1.4597,0.0,-1.0,-1.0,0.0,True,,2.276,-0.586,False,False,0.811,41,-1,-1,126.0,73.0,35,premium,0.0,,9.0,3.0,1.0,2.0,2.0,1.0,"structure,sweep,fvg,freshness",False,h1_only,2008-02-07T07:00:00+00:00,BOS,BOS,holding,True,pristine,True,0,2.11,3.46,3.46,strong,1.351,2.054,3.405,0.00185,0.32,1,False,,,,,False,18,bearish,with_trend,False,False,,1.4438,71.6,False,False,False,2008-02-08T17:00:00+00:00,1,2008-02-07T11:00:00+00:00,SHORT,False,aligned,74.6,False,4,fresh,London,NY,True,True,Both,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A5956,EURUSD,2008-02-12T06:00:00+00:00,2008-02-12T07:00:00+00:00,2008-02-12T07:00:00+00:00,Asia,bullish,Confirmation BOS,proximal,1.4518,1.4507,1.4505000000000001,1.4546,,2.55,,sl,1.4505000000000001,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,False,False,0.332,0,-1,-1,5.0,2.0,4,discount,0.0,,9.0,4.0,1.0,2.0,2.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2008-02-12T02:00:00+00:00,BOS,Confirm,holding,True,pristine,True,0,1.13,1.46,1.46,marginal,0.597,0.332,3.052,0.001507,0.667,0,False,,,,,False,6,bullish,with_trend,False,False,,1.4548,46.2,False,False,False,2008-02-12T05:00:00+00:00,1,2008-02-12T05:00:00+00:00,LONG,,aligned,38.9,False,1,fresh,Asia,London,False,True,Fill only,A First Pullback,premium,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
