setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_raw,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,alert_bar_ts,alert_seq,bos_timestamp,bias,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,killzone_blocked,killzone_windows
A1319,EURUSD,2009-01-02T04:00:00+00:00,,,Asia,bearish,BOS BOS,proximal,1.4076,1.4143,1.4144999999999999,1.3952,,1.85,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,14,premium,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2008-12-31T05:00:00+00:00,BOS,BOS,holding,True,pristine,False,0,1.01,1.24,1.24,marginal,1.022,0.818,1.51,0.006357,False,,,,,False,4,bearish,with_trend,2008-12-31T18:00:00+00:00,1,2008-12-31T10:00:00+00:00,SHORT,aligned,61.0,False,2,fresh,Asia,Asia,False,False,never_filled,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1320,EURUSD,2009-01-05T08:00:00+00:00,,,London,bearish,BOS BOS,proximal,1.3892,1.3932,1.3934,1.3826,,1.65,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,3,discount,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2009-01-05T05:00:00+00:00,BOS,BOS,holding,False,none,False,0,2.91,4.14,4.14,strong,0.635,,1.988,0.005986,False,,,,,False,8,bearish,with_trend,2009-01-05T07:00:00+00:00,1,2009-01-05T07:00:00+00:00,SHORT,counter,41.1,False,3,no_fvg,Asia,London,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1321,EURUSD,2009-01-05T08:00:00+00:00,2009-01-05T08:00:00+00:00,2009-01-05T10:00:00+00:00,London,bullish,BOS BOS,proximal,1.3668,1.363,1.3628,1.3726,,1.53,,sl,1.3628,-1.0,-1.0,-1.0,-250.0,True,,1.075,-0.3,2,-1,-1,263,discount,0.0,,5.0,3.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2008-12-16T09:00:00+00:00,BOS,BOS,holding,False,full,False,1,1.3,2.71,2.71,strong,0.601,,0.835,0.005986,False,,,,,False,8,bearish,against_trend,2009-01-05T07:00:00+00:00,1,2008-12-16T17:00:00+00:00,LONG,aligned,0.9,False,4,stale,London,London,True,True,Both,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1322,EURUSD,2009-01-06T07:00:00+00:00,2009-01-06T18:00:00+00:00,2009-01-07T02:00:00+00:00,London,bearish,BOS BOS,proximal,1.3508,1.3553,1.3555,1.343,,1.73,,sl,1.3508,0.0,-1.0,-1.0,0.0,True,,1.617,-0.596,8,-1,-1,2,discount,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2009-01-06T05:00:00+00:00,BOS,BOS,holding,False,none,False,0,1.81,1.67,1.67,solid,0.876,,2.282,0.004907,False,,,,,False,7,bearish,with_trend,2009-01-06T06:00:00+00:00,1,2009-01-06T06:00:00+00:00,SHORT,counter,7.8,False,5,no_fvg,Asia,NY,False,False,Neither,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1323,EURUSD,2009-01-06T07:00:00+00:00,2009-01-06T09:00:00+00:00,2009-01-06T10:00:00+00:00,London,bullish,BOS BOS,proximal,1.3385,1.3362,1.336,1.3499,1.3617,4.96,10.09,sl,1.336,-1.0,-1.0,-1.0,-250.0,True,,2.12,-0.84,1,-1,-1,322,discount,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2008-12-12T20:00:00+00:00,BOS,BOS,holding,False,none,False,0,0.57,1.06,1.06,marginal,0.428,,2.079,0.004907,False,,,,,False,7,bearish,against_trend,2009-01-06T06:00:00+00:00,1,2008-12-14T22:00:00+00:00,LONG,aligned,-8.2,False,4,no_fvg,NY,London,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1324,EURUSD,2009-01-06T16:00:00+00:00,,,NY,bullish,BOS BOS,proximal,1.3276,1.3222,1.322,1.3386,,2.04,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,361,discount,0.0,,5.0,3.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2008-12-11T14:00:00+00:00,BOS,BOS,holding,False,full,False,1,2.04,1.45,1.45,marginal,0.784,,1.147,0.006629,False,,,,,False,16,bearish,against_trend,2009-01-06T15:00:00+00:00,1,2008-12-11T15:00:00+00:00,LONG,aligned,-4.1,False,2,stale,NY,NY,True,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1325,EURUSD,2009-01-07T07:00:00+00:00,,,London,bullish,CHoCH CHoCH,proximal,1.3532,1.3484,1.3482,1.3617,,1.77,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,2,discount,1.0,True,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2009-01-07T05:00:00+00:00,CHoCH,CHoCH,holding,False,none,False,0,1.1,2.07,1.38,marginal,0.933,,0.872,0.004929,False,,,,,False,7,bearish,against_trend,2009-01-07T06:00:00+00:00,1,2009-01-07T06:00:00+00:00,LONG,aligned,24.1,False,0,no_fvg,Asia,London,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1326,EURUSD,2009-01-07T13:00:00+00:00,2009-01-07T14:00:00+00:00,2009-01-07T15:00:00+00:00,NY,bullish,CHoCH CHoCH,proximal,1.3625,1.3586,1.3584,1.3702,,1.97,,tp1,1.3702,1.878,1.97,0.0,469.5,True,,2.366,-0.585,1,1,-1,2,discount,1.0,True,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2009-01-07T11:00:00+00:00,CHoCH,CHoCH,holding,False,none,False,0,3.1,2.18,1.45,marginal,0.611,,0.71,0.006057,False,,,,,False,13,bearish,against_trend,2009-01-07T12:00:00+00:00,1,2009-01-07T12:00:00+00:00,LONG,aligned,34.4,False,0,no_fvg,London,NY,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1327,EURUSD,2009-01-08T13:00:00+00:00,2009-01-09T12:00:00+00:00,2009-01-09T13:00:00+00:00,NY,bullish,Confirmation BOS,proximal,1.3593,1.3551,1.3549,1.3658,,1.55,,sl,1.3549,-1.0,-1.0,-1.0,-250.0,True,,3.568,-0.159,1,-1,-1,3,discount,0.0,,8.0,4.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2009-01-08T10:00:00+00:00,BOS,Confirm,holding,True,pristine,False,0,0.81,1.75,1.75,solid,0.679,0.187,2.987,0.005893,False,,,,,False,13,bullish,with_trend,2009-01-08T12:00:00+00:00,1,2009-01-08T12:00:00+00:00,LONG,aligned,28.2,False,1,fresh,London,London,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1328,EURUSD,2009-01-09T13:00:00+00:00,,,NY,bearish,BOS BOS,proximal,1.3689,1.3732,1.3734,1.3591,1.3558,2.28,3.05,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,4,discount,0.0,,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2009-01-09T09:00:00+00:00,BOS,BOS,holding,False,none,False,0,0.58,1.71,1.71,solid,0.855,,0.563,0.004793,False,,,,,False,13,bearish,with_trend,2009-01-09T12:00:00+00:00,1,2009-01-09T12:00:00+00:00,SHORT,counter,49.3,False,1,no_fvg,London,NY,True,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
