setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_raw,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,sl_bar_was_sweep,sl_swept_then_tp1,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,alert_bar_ts,alert_seq,bos_timestamp,bias,be_arm_bar_touched_entry,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,setup_badge,setup_badge_kind,killzone_blocked,killzone_windows
A3061,EURUSD,2009-02-02T15:00:00+00:00,2009-02-03T13:00:00+00:00,2009-02-03T14:00:00+00:00,NY,bearish,BOS BOS,proximal,1.2943,1.2988,1.299,1.2872,,1.58,,sl,1.299,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,True,True,1,-1,-1,115.0,61.0,44,discount,0.0,,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2009-01-29T18:00:00+00:00,BOS,BOS,holding,True,partial,False,0,0.98,1.06,1.06,marginal,0.879,,4.987,0.004893,False,,,,,False,15,bearish,with_trend,2009-02-02T14:00:00+00:00,1,2009-01-29T23:00:00+00:00,SHORT,,counter,37.3,False,2,fresh,NY,NY,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3062,EURUSD,2009-02-04T07:00:00+00:00,2009-02-04T10:00:00+00:00,2009-02-04T10:00:00+00:00,London,bullish,CHoCH CHoCH,proximal,1.2883,1.2843,1.2841,1.2951,,1.7,,sl,1.2841,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,True,False,0,-1,-1,23.0,19.0,20,discount,1.0,True,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2009-02-03T11:00:00+00:00,CHoCH,CHoCH,holding,True,pristine,False,0,2.52,1.61,1.08,marginal,0.836,,2.047,0.004543,False,,,,,False,7,bearish,against_trend,2009-02-04T06:00:00+00:00,1,2009-02-03T15:00:00+00:00,LONG,,aligned,32.3,False,0,fresh,London,London,False,False,Neither,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3063,EURUSD,2009-02-04T07:00:00+00:00,,,London,bearish,BOS BOS,proximal,1.3109,1.3172,1.3174,1.299,1.2967,1.89,2.25,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,0,-1,-1,,,90,premium,0.0,,9.0,3.0,1.0,2.0,2.0,1.0,"structure,sweep,fvg,freshness",False,h1_only,2009-01-29T12:00:00+00:00,BOS,BOS,holding,True,pristine,True,0,0.93,2.06,2.06,solid,1.395,0.137,6.565,0.004371,False,,,,,False,7,bearish,with_trend,2009-02-04T06:00:00+00:00,1,2009-01-29T15:00:00+00:00,SHORT,,aligned,121.3,False,4,fresh,London,London,True,False,never_filled,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3064,EURUSD,2009-02-04T11:00:00+00:00,,,London,bearish,BOS BOS,proximal,1.3021,1.3071,1.3073,1.2943,,1.56,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,0,-1,-1,,,6,premium,0.0,,6.0,3.0,1.0,0.0,2.0,0.0,"structure,sweep,freshness",False,h1_only,2009-02-04T05:00:00+00:00,BOS,BOS,holding,False,full,True,2,0.4,1.44,1.44,marginal,1.018,,1.209,0.004714,False,,,,,False,11,bearish,with_trend,2009-02-04T10:00:00+00:00,1,2009-02-04T09:00:00+00:00,SHORT,,aligned,82.1,False,1,fresh,Asia,London,False,False,never_filled,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3065,EURUSD,2009-02-10T04:00:00+00:00,2009-02-10T04:00:00+00:00,2009-02-10T04:00:00+00:00,Asia,bearish,BOS BOS,proximal,1.2845,1.2885,1.2887,1.2778,,1.67,,sl,1.2887,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,True,False,0,-1,-1,3.0,2.0,3,discount,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2009-02-10T01:00:00+00:00,BOS,BOS,holding,True,pristine,False,0,1.34,1.41,1.41,marginal,0.862,0.227,1.429,0.004407,False,,,,,False,4,bearish,with_trend,2009-02-10T03:00:00+00:00,1,2009-02-10T02:00:00+00:00,SHORT,,counter,12.7,False,1,fresh,Asia,Asia,False,False,Neither,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3066,EURUSD,2009-02-11T16:00:00+00:00,2009-02-11T16:00:00+00:00,2009-02-11T16:00:00+00:00,NY,bullish,BOS BOS,proximal,1.2892,1.2866,1.2864,1.2934,,1.62,,sl,1.2864,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,False,False,0,-1,-1,15.0,9.0,15,discount,0.0,,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2009-02-11T01:00:00+00:00,BOS,BOS,holding,False,none,False,1,1.14,1.12,1.12,marginal,0.527,,1.802,0.00455,False,,,,,False,16,bullish,with_trend,2009-02-11T15:00:00+00:00,1,2009-02-11T07:00:00+00:00,LONG,,aligned,35.8,False,3,no_fvg,Asia,NY,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3067,EURUSD,2009-02-12T14:00:00+00:00,2009-02-12T15:00:00+00:00,2009-02-12T21:00:00+00:00,NY,bearish,BOS BOS,proximal,1.282,1.288,1.2882,1.272,,1.67,,sl,1.2882,-1.0,-1.0,-1.0,-250.0,True,,0.871,-0.823,False,False,6,-1,-1,3.0,2.0,2,discount,0.0,,5.0,3.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2009-02-12T12:00:00+00:00,BOS,BOS,holding,False,none,False,0,1.2,2.26,2.26,solid,1.149,,2.812,0.00505,False,,,,,False,14,bearish,with_trend,2009-02-12T13:00:00+00:00,1,2009-02-12T13:00:00+00:00,SHORT,,counter,36.2,False,2,no_fvg,London,NY,True,True,Both,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3068,EURUSD,2009-02-18T04:00:00+00:00,2009-02-18T06:00:00+00:00,2009-02-18T08:00:00+00:00,Asia,bearish,Confirmation BOS,proximal,1.263,1.2674,1.2676,1.2558,,1.64,,tp1,1.2558,1.565,1.64,0.0,391.25,True,,1.565,-0.217,,,2,2,-1,21.0,16.0,19,discount,0.0,,5.0,4.0,0.0,0.0,0.0,1.0,structure,False,h1_only,2009-02-17T09:00:00+00:00,BOS,Confirm,holding,False,none,False,1,1.03,1.18,1.18,marginal,1.364,,5.782,0.003079,False,,,,,False,4,bearish,with_trend,2009-02-18T03:00:00+00:00,1,2009-02-17T14:00:00+00:00,SHORT,,counter,27.0,False,1,no_fvg,London,Asia,True,False,OB only,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3069,EURUSD,2009-02-18T14:00:00+00:00,2009-02-18T23:00:00+00:00,2009-02-19T07:00:00+00:00,NY,bearish,Confirmation BOS,proximal,1.2581,1.2624,1.2626,1.2558,,0.53,,sl,1.2626,-1.0,-1.0,-1.0,-250.0,True,,0.356,-0.467,False,False,8,-1,-1,13.0,10.0,4,discount,0.0,,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2009-02-18T10:00:00+00:00,BOS,Confirm,holding,False,none,False,0,1.33,1.17,1.17,marginal,1.169,,5.075,0.003507,False,,,,,False,14,bearish,with_trend,2009-02-18T13:00:00+00:00,1,2009-02-18T13:00:00+00:00,SHORT,,counter,14.4,False,1,no_fvg,London,Other,False,False,Neither,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3070,EURUSD,2009-02-19T08:00:00+00:00,2009-02-20T03:00:00+00:00,2009-02-20T06:00:00+00:00,London,bullish,CHoCH CHoCH,proximal,1.2586,1.2568,1.2566,1.264,,3.0,,sl,1.2566,-1.0,-1.0,-1.0,-250.0,True,,0.85,-0.4,True,True,3,-1,-1,23.0,20.0,4,discount,1.0,True,4.0,4.0,0.0,0.0,0.0,0.0,structure,False,h1_only,2009-02-19T04:00:00+00:00,CHoCH,CHoCH,holding,False,full,False,2,2.47,1.9,1.27,marginal,0.614,,0.844,0.002607,False,,,,,False,8,bearish,against_trend,2009-02-19T07:00:00+00:00,1,2009-02-19T07:00:00+00:00,LONG,,aligned,23.6,False,0,fresh,Asia,Asia,False,False,Neither,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
