setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,entry_raw,sl_raw,sl_initial,tp1,tp1_raw,tp2,tp2_raw,tp1_rr,tp2_rr,tp1_wick,tp1_wick_rr,tp1_zone_source,tp2_wick,tp2_zone_source,tp_wick,tp_wick_rr,tp_nextpool,tp_nextpool_rr,tp_nextpool_zone_source,tp2_collapsed_to_tp1,tp_targets,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,r_capture_ratio,sl_bar_was_sweep,sl_swept_then_tp1,sl_wick_depth_atr,sl_max_adverse_after_sweep_atr,bars_sl_to_tp1_touch,sl_recovered_to_entry,sl_distance_atr,sl_dist_atr_at_alert,tp_dist_atr_at_alert,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,event_candle_delta,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,is_mss,ob_range_atr,fvg_size_atr,impulse_leg_to_extreme_atr,atr_at_ob,atr_at_fill,ob_body_ratio,ob_walkback_depth,chop_at_alert,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,trend_pd_agree,structure_ranging_at_alert,flip_pending_at_alert,flip_pending_dir_at_alert,leg_extreme_at_alert,leg_extreme_clipped,dr_ceiling_broken_at_ob,dr_floor_broken_at_ob,day_state_at_fill,pdh_status_at_fill,pdl_status_at_fill,pwh_status_at_fill,pwl_status_at_fill,dist_next_pool_above_atr,dist_next_pool_below_atr,next_pool_above_tier,next_pool_below_tier,trade_toward_pool,last_sweep_age_h1,last_sweep_tier,eqh_above_dist_atr,eqh_above_size,eql_below_dist_atr,eql_below_size,eq_trade_toward,eq_sl_gap_atr,eq_sl_at_risk,eq_last_sweep_age_h1,eq_last_sweep_side,eq_intact_above_count,eq_intact_below_count,sweep2_present,sweep2_pools_swept,sweep2_age_at_fill_h1,sweep2_tiers_checked,sweep2_sw_present,sweep2_sw_pierce_atr,sweep2_sw_rejection_ratio,sweep2_sw_follow_atr,sweep2_sw_rn_aligned,sweep2_eq_present,sweep2_eq_pierce_atr,sweep2_eq_rejection_ratio,sweep2_eq_follow_atr,sweep2_eq_rn_aligned,sweep2_eq_size,sweep2_pw_present,sweep2_pw_pierce_atr,sweep2_pw_rejection_ratio,sweep2_pw_follow_atr,sweep2_pw_rn_aligned,sweep2_pd_present,sweep2_pd_pierce_atr,sweep2_pd_rejection_ratio,sweep2_pd_follow_atr,sweep2_pd_rn_aligned,setup_liq_stop_present,setup_liq_stop_offset_atr,setup_liq_stop_tier,setup_liq_tp_present,setup_liq_tp_offset_atr,setup_liq_legextreme_swept,session_level_event,session_level_which,session_level_side,session_level_pair_relevant,alert_bar_ts,alert_seq,bos_timestamp,bias,be_arm_bar_touched_entry,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,leg_er_at_alert,setup_badge,setup_badge_kind,weekly_pd_position_at_alert,weekly_range_high_at_alert,weekly_range_low_at_alert,weekly_pd_zone_at_alert,pd_zone_agreement_at_alert,approach_speed_atr_at_fill,approach_body_ratio_at_fill,approach_er_at_fill,killzone_blocked,killzone_windows,news_fill,news_fill_event,news_fill_ccy,news_open,news_open_event
B6902,EURUSD,2015-01-02T14:00:00+00:00,,,NY,bearish,BOS BOS,proximal,1.20423,1.20443,1.20597,1.20617,1.20309,1.20289,,,1.0,,1.20309,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,0.921,0.826,0.636,0,-1,-1,,,3,discount,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2015-01-02T11:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.19,0.71,0.71,marginal,,0.636,,0.916,0.002106,,0.239,0,58.218,False,,,,,False,14,bearish,with_trend,False,False,False,,1.2025,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,False,0,,"eq,sw",False,,,,,False,,,,,,False,,,,,False,,,,,False,,,False,,False,break,asia,low,True,2015-01-02T13:00:00+00:00,1,2015-01-02T13:00:00+00:00,SHORT,,counter,8.8,False,3,no_fvg,London,NY,False,False,never_filled,1.0,,,-1.1316,1.22723,1.21644,discount,both_discount,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B6903,EURUSD,2015-01-05T11:00:00+00:00,2015-01-05T15:00:00+00:00,2015-01-06T06:00:00+00:00,London,bearish,BOS BOS,proximal,1.19378,1.19398,1.19621,1.19641,1.18662,1.18642,,,3.39,,1.18662,3.39,wick,,,1.18662,3.39,,,,True,triple,sl,1.19641,-1.0,-1.0,-1.0,-250.0,True,,0.989,-0.757,-1.011,True,True,0.149,0.0,16.0,True,0.953,0.881,2.667,15,-1,-1,8.0,5.0,4,discount,0.0,,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2015-01-05T07:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.19,1.17,1.17,marginal,,0.736,,0.946,0.002759,0.002269,0.453,0,42.598,False,,,,,False,11,bearish,with_trend,False,False,False,,1.19137,False,False,False,EXPANSION_DOWN,intact,broken,intact,broken,4.755,,PD,,False,,,13.195,2.0,,,False,12.242,False,48.0,low,2.0,0.0,False,0,,"eq,sw,pd,pw",False,,,,,False,,,,,,False,,,,,False,,,,,False,,,True,-0.072,False,sweep,asia,high,True,2015-01-05T10:00:00+00:00,1,2015-01-05T10:00:00+00:00,SHORT,,counter,20.6,False,4,no_fvg,London,NY,True,True,Both,1.0,,,-0.288,1.22209,1.20011,discount,both_discount,1.04,0.483,0.237,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B6904,EURUSD,2015-01-06T06:00:00+00:00,2015-01-06T07:00:00+00:00,2015-01-06T08:00:00+00:00,Asia,bullish,CHoCH CHoCH,proximal,1.1951,1.1949,1.19379,1.19359,1.19737,1.19757,1.2155,1.2157,2.41,18.74,1.19737,2.41,wick,,zone,1.19737,2.41,1.2155,18.74,zone,True,triple,sl,1.19359,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,True,False,1.206,12.123,,True,1.265,1.098,2.069,1,-1,-1,4.0,2.0,3,discount,1.0,True,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2015-01-06T03:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,0.68,0.74,0.49,marginal,False,0.762,,0.729,0.001194,0.001166,0.231,0,46.434,False,,,,,False,6,bearish,ambiguous,False,False,True,bullish,1.19577,False,False,False,INSIDE,intact,intact,intact,broken,2.069,7.272,PD,PD,True,,,,,,,,,,64.0,low,0.0,0.0,False,0,,"eq,sw,pd,pw",False,,,,,False,,,,,,False,,,,,False,,,,,False,,,True,0.168,False,sweep,asia,high,True,2015-01-06T05:00:00+00:00,1,2015-01-06T05:00:00+00:00,LONG,,aligned,24.3,False,0,no_fvg,Asia,London,False,True,Fill only,1.0,,,-0.2279,1.22209,1.20011,discount,both_discount,-1.357,0.431,0.672,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B6905,EURUSD,2015-01-06T11:00:00+00:00,2015-01-06T17:00:00+00:00,2015-01-06T19:00:00+00:00,London,bearish,BOS BOS,proximal,1.19444,1.19464,1.19597,1.19617,1.19209,1.19189,1.18662,1.18642,2.07,6.18,1.18886,4.5,zone,,wick,1.18932,4.15,1.18662,6.18,wick,False,triple,tp1,1.19209,1.358,2.07,6.18,339.5,True,,1.358,-0.0,1.0,,,,,,,1.133,1.002,1.67,2,2,5,12.0,8.0,6,premium,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2015-01-06T05:00:00+00:00,BOS,BOS,1,holding,True,pristine,False,0,1.12,2.17,2.17,solid,,0.74,0.504,3.366,0.001527,0.002386,0.743,2,40.615,False,,,,,False,11,bearish,with_trend,True,False,False,,1.1895,False,False,False,INSIDE,intact,intact,intact,broken,2.05,5.252,PD,PD,False,,,,,,,,,,74.0,low,0.0,0.0,False,0,,,False,,,,,False,,,,,,False,,,,,False,,,,,True,0.426,bare,False,,False,sweep,asia,high,True,2015-01-06T10:00:00+00:00,1,2015-01-06T09:00:00+00:00,SHORT,False,aligned,77.1,False,1,fresh,Asia,NY,False,False,Neither,0.84,A First Pullback,premium,-0.258,1.22209,1.20011,discount,mixed,1.945,0.358,0.654,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B6906,EURUSD,2015-01-07T12:00:00+00:00,,,London,bearish,BOS BOS,proximal,1.18603,1.18623,1.18907,1.18927,1.18359,1.18339,,,1.0,,1.18359,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.501,1.409,1.223,0,-1,-1,,,5,discount,0.0,,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2015-01-07T07:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,1.31,1.46,1.46,marginal,,1.223,,2.034,0.002158,,0.788,0,50.343,False,,,,,False,12,bearish,with_trend,False,False,False,,1.18184,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,False,0,,"eq,sw",False,,,,,False,,,,,,False,,,,,False,,,,,True,0.134,bare,False,,False,break,asia,low,True,2015-01-07T11:00:00+00:00,1,2015-01-07T11:00:00+00:00,SHORT,,counter,28.0,False,3,no_fvg,London,London,True,False,never_filled,1.0,,,-0.6406,1.22209,1.20011,discount,both_discount,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B6907,EURUSD,2015-01-08T09:00:00+00:00,2015-01-08T17:00:00+00:00,2015-01-08T18:00:00+00:00,London,bearish,BOS BOS,proximal,1.18149,1.18169,1.18326,1.18346,1.18032,1.18012,,,1.0,,1.18032,1.0,wick,,,,,,,,False,triple,tp1,1.18032,0.594,1.0,0.0,148.5,True,,0.594,-0.0,1.0,,,,,,,1.273,1.144,0.885,1,1,-1,14.0,9.0,6,discount,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2015-01-08T03:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.56,1.88,1.88,solid,,0.885,,1.66,0.001548,0.001946,0.365,0,39.363,False,,,,,False,9,bearish,with_trend,False,False,False,,1.17912,False,False,True,SWEPT_LOW,intact,swept,intact,broken,5.414,,PD,,False,0.0,PD,,,,,,,,122.0,low,0.0,0.0,False,0,,"eq,sw,pd,pw",False,,,,,False,,,,,,False,,,,,False,,,,,False,,,False,,False,break,asia,low,True,2015-01-08T08:00:00+00:00,1,2015-01-08T08:00:00+00:00,SHORT,,counter,13.4,False,4,no_fvg,Asia,NY,False,False,Neither,1.0,,,-0.8471,1.22209,1.20011,discount,both_discount,1.441,0.482,0.785,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B6908,EURUSD,2015-01-08T18:00:00+00:00,2015-01-11T22:00:00+00:00,2015-01-12T12:00:00+00:00,NY,bearish,BOS BOS,proximal,1.18603,1.18623,1.18907,1.18927,1.17876,1.17856,,,2.7,,1.17556,3.83,zone,,,1.17614,3.62,,,,False,triple,tp1,1.17876,2.244,2.7,2.59,561.0,True,,2.244,-0.306,1.0,,,,,,,1.501,1.562,3.839,14,14,-1,111.0,59.0,35,discount,0.0,,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2015-01-07T07:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,1.31,1.46,1.46,marginal,,1.223,,2.822,0.002158,0.002283,0.788,0,43.214,False,,,,,False,18,bearish,with_trend,False,False,False,,1.18014,False,False,True,INSIDE,intact,intact,intact,intact,5.348,0.709,PW,PD,True,,,,,,,,,,8.0,high,0.0,0.0,False,0,,"eq,sw,pd,pw",False,,,,,False,,,,,,False,,,,,False,,,,,True,0.134,bare,False,,False,break,asia,low,True,2015-01-08T17:00:00+00:00,2,2015-01-07T11:00:00+00:00,SHORT,False,counter,28.0,False,3,no_fvg,London,Other,True,False,OB only,0.73,,,-0.6406,1.22209,1.20011,discount,both_discount,0.125,0.299,0.447,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B6909,EURUSD,2015-01-09T10:00:00+00:00,2015-01-09T10:00:00+00:00,2015-01-09T13:00:00+00:00,London,bullish,CHoCH CHoCH,proximal,1.1813,1.1811,1.17903,1.17883,1.18295,1.18315,1.18603,1.18623,0.99,2.48,1.18447,1.72,zone,,zone,1.18413,1.56,1.18603,2.48,zone,False,triple,sl,1.17883,-1.0,-1.0,-1.0,-250.0,True,,0.251,-0.227,-3.984,False,,2.279,,,,2.165,1.99,1.622,3,-1,-1,4.0,1.0,4,discount,1.0,True,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",True,h1_only,2015-01-09T06:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,0.06,0.88,0.59,marginal,False,1.639,,0.736,0.001141,0.001179,0.936,0,57.074,False,,,,,False,10,bearish,ambiguous,False,False,True,bullish,1.18194,False,False,False,INSIDE,intact,intact,intact,broken,2.954,5.207,PD,PD,True,,,,,,,,,,139.0,low,0.0,0.0,False,0,,"eq,sw,pd,pw",False,,,,,False,,,,,,False,,,,,False,,,,,False,,,False,,True,sweep,asia,high,True,2015-01-09T09:00:00+00:00,1,2015-01-09T09:00:00+00:00,LONG,,aligned,27.7,False,0,no_fvg,Asia,London,False,False,Neither,1.0,,,-0.8558,1.22209,1.20011,discount,both_discount,-1.99,0.539,0.26,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,1.0,Unemployment Rate
B6910,EURUSD,2015-01-09T15:00:00+00:00,2015-01-09T15:00:00+00:00,2015-01-09T15:00:00+00:00,NY,bearish,BOS BOS,proximal,1.18066,1.18086,1.18193,1.18213,1.17876,1.17856,,,2.15,,1.17556,5.14,zone,,,1.17609,4.64,,,,False,triple,sl,1.18213,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,False,,0.909,,,,0.825,0.712,1.178,0,-1,-1,3.0,1.0,3,discount,0.0,,9.0,3.0,1.0,2.0,2.0,1.0,"structure,sweep,fvg,freshness",False,h1_only,2015-01-09T12:00:00+00:00,BOS,BOS,0,holding,True,pristine,True,0,0.1,0.25,0.25,marginal,,0.488,0.707,2.597,0.001783,0.002062,0.874,0,48.099,False,,,,,False,15,bearish,with_trend,False,False,False,,1.17623,False,False,False,INSIDE,intact,intact,intact,broken,2.249,2.973,PD,PD,False,,,,,,,,,,144.0,low,0.0,0.0,True,1,4.0,"eq,sw,pd,pw",True,0.028,1.538,3.158,False,False,,,,,,False,,,,,False,,,,,False,,,False,,False,break,asia,low,True,2015-01-09T14:00:00+00:00,1,2015-01-09T14:00:00+00:00,SHORT,,counter,24.7,False,1,fresh,London,NY,True,True,Both,1.0,,,-0.8849,1.22209,1.20011,discount,both_discount,-1.481,0.443,0.377,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B6911,EURUSD,2015-01-09T16:00:00+00:00,,,NY,bearish,BOS BOS,proximal,1.18714,1.18734,1.18817,1.18837,1.18671,1.18651,,,1.0,,1.18671,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.013,0.499,0.306,0,-1,-1,,,59,premium,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2015-01-07T05:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,1.6,1.78,1.78,solid,,0.519,,5.929,0.001214,,0.46,1,50.597,False,,,,,False,16,bearish,counter_trend,True,False,True,bullish,1.18014,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,0,,"eq,sw",False,,,,,False,,,,,,False,,,,,False,,,,,False,,,False,,False,break,asia,low,True,2015-01-09T15:00:00+00:00,1,2015-01-07T11:00:00+00:00,SHORT,,aligned,54.9,False,3,no_fvg,Asia,NY,False,False,never_filled,0.51,,,-0.5901,1.22209,1.20011,discount,mixed,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
