setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,entry_raw,sl_initial,tp_2r,exit_reason,exit_price,r_realised,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,r_capture_ratio,sl_bar_was_sweep,sl_swept_then_2r,sl_swept_then_1r,sl_wick_depth_atr,sl_max_adverse_after_sweep_atr,bars_sl_to_2r_touch,bars_sl_to_1r_touch,sl_recovered_to_entry,sl_distance_atr,sl_dist_atr_at_alert,tp_dist_atr_at_alert,bars_to_exit,bars_to_mfe,bars_to_mae,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,event_candle_delta,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,is_mss,ob_range_atr,fvg_size_atr,impulse_leg_to_extreme_atr,atr_at_ob,atr_at_fill,ob_body_ratio,ob_walkback_depth,chop_at_alert,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,trend_pd_agree,structure_ranging_at_alert,flip_pending_at_alert,flip_pending_dir_at_alert,leg_extreme_at_alert,leg_extreme_clipped,dr_ceiling_broken_at_ob,dr_floor_broken_at_ob,day_state_at_fill,pdh_status_at_fill,pdl_status_at_fill,pwh_status_at_fill,pwl_status_at_fill,dist_next_pool_above_atr,dist_next_pool_below_atr,next_pool_above_tier,next_pool_below_tier,trade_toward_pool,last_sweep_age_h1,last_sweep_tier,eqh_above_dist_atr,eqh_above_size,eql_below_dist_atr,eql_below_size,eq_trade_toward,eq_sl_gap_atr,eq_sl_at_risk,eq_last_sweep_age_h1,eq_last_sweep_side,eq_intact_above_count,eq_intact_below_count,sweep2_present,sweep2_pools_swept,sweep2_age_at_fill_h1,sweep2_tiers_checked,sweep2_sw_present,sweep2_sw_pierce_atr,sweep2_sw_rejection_ratio,sweep2_sw_follow_atr,sweep2_sw_rn_aligned,sweep2_eq_present,sweep2_eq_pierce_atr,sweep2_eq_rejection_ratio,sweep2_eq_follow_atr,sweep2_eq_rn_aligned,sweep2_eq_size,sweep2_pw_present,sweep2_pw_pierce_atr,sweep2_pw_rejection_ratio,sweep2_pw_follow_atr,sweep2_pw_rn_aligned,sweep2_pd_present,sweep2_pd_pierce_atr,sweep2_pd_rejection_ratio,sweep2_pd_follow_atr,sweep2_pd_rn_aligned,setup_liq_stop_present,setup_liq_stop_offset_atr,setup_liq_stop_tier,setup_liq_tp_present,setup_liq_tp_offset_atr,setup_liq_legextreme_swept,session_level_event,session_level_which,session_level_side,session_level_pair_relevant,alert_bar_ts,alert_seq,bos_timestamp,bias,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,atr_regime_pct_at_fill,atr_regime_ratio_at_fill,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,leg_er_at_alert,setup_badge,setup_badge_kind,weekly_pd_position_at_alert,weekly_range_high_at_alert,weekly_range_low_at_alert,weekly_pd_zone_at_alert,pd_zone_agreement_at_alert,approach_speed_atr_at_fill,approach_body_ratio_at_fill,approach_er_at_fill,killzone_blocked,killzone_windows,news_fill,news_fill_event,news_fill_ccy,news_open,news_open_event
B7230,EURUSD,2016-01-04T05:00:00+00:00,2016-01-04T08:00:00+00:00,2016-01-04T08:00:00+00:00,Asia,bearish,Confirmation BOS,proximal,1.09252,1.09252,1.09337,1.09082,sl,1.09337,-1.0,-250.0,True,,25.271,-0.565,-0.04,True,False,True,0.762,0.11,,1.0,True,0.518,0.498,0.997,49,31.0,1.0,98.0,18.0,20,premium,0.0,,8.0,4.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2015-12-31T06:00:00+00:00,BOS,Confirm,0,holding,True,pristine,False,0,0.45,1.11,1.11,marginal,,0.396,0.232,5.988,0.00164,0.001974,0.923,1,36.705,False,,,,,False,5,bearish,counter_trend,True,False,True,bullish,1.0827,False,False,True,SWEPT_LOW,intact,swept,intact,swept,0.707,,PD,,False,6.0,PD,0.713,3.0,,,False,0.195,True,3.0,high,2.0,0.0,False,0,,"eq,sw,pd,pw",False,,,,,False,,,,,,False,,,,,False,,,,,True,0.067,EQ,False,,False,sweep,asia,high,True,2016-01-04T04:00:00+00:00,1,2015-12-31T11:00:00+00:00,SHORT,aligned,80.0,False,1,75.49,1.1108,fresh,Asia,London,False,True,Fill only,0.53,,,0.5201,1.09922,1.08526,premium,both_premium,2.018,0.556,0.754,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B7231,EURUSD,2016-01-04T05:00:00+00:00,2016-01-04T13:00:00+00:00,2016-01-04T14:00:00+00:00,Asia,bullish,CHoCH CHoCH,proximal,1.08575,1.08575,1.08408,1.08909,sl,1.08408,-1.0,-250.0,True,,0.0,-0.0,,False,,,0.451,,,,,0.979,0.979,1.958,49,0.0,0.0,13.0,9.0,5,discount,1.0,True,8.0,4.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2016-01-04T00:00:00+00:00,CHoCH,CHoCH,0,holding,True,pristine,False,0,0.37,0.99,0.66,marginal,False,0.862,0.311,1.513,0.001706,0.002621,0.429,1,36.705,False,,,,,False,5,bearish,ambiguous,False,False,True,bullish,1.08833,False,False,True,BOTH_SIDES,swept,swept,intact,swept,7.897,,PW,,True,4.0,PD,,,,,,,,0.0,low,0.0,0.0,True,0,13.0,"eq,sw,pd,pw",False,,,,,False,,,,,,True,0.047,0.433,2.204,True,False,,,,,False,,,False,,False,sweep,asia,low,True,2016-01-04T04:00:00+00:00,1,2016-01-04T04:00:00+00:00,LONG,aligned,26.2,False,0,86.27,1.2919,fresh,Asia,NY,False,True,Fill only,0.983,,,0.0351,1.09922,1.08526,discount,both_discount,1.337,0.49,0.203,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",1.0,ISM Manufacturing PMI,USD,1.0,ISM Manufacturing PMI
B7232,EURUSD,2016-01-04T08:00:00+00:00,,,London,bearish,CHoCH CHoCH,proximal,1.09639,1.09639,1.09755,1.09407,never_filled,,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,,,0.592,0.577,1.154,0,,,,,65,premium,1.0,True,8.0,4.0,0.0,1.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2015-12-29T12:00:00+00:00,CHoCH,CHoCH,0,holding,True,partial,False,0,2.07,2.78,1.85,solid,True,0.49,1.603,3.324,0.001959,,0.323,0,33.794,True,Spanish Manufacturing PMI,EUR,ff,2016-01-04T08:15:00+00:00,False,8,bearish,counter_trend,True,False,True,bullish,1.08988,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,False,0,,"eq,sw",False,,,,,False,,,,,,False,,,,,False,,,,,False,,,False,,False,break,asia,high,True,2016-01-04T07:00:00+00:00,1,2015-12-29T13:00:00+00:00,SHORT,aligned,117.6,False,0,,,fresh,London,London,True,False,never_filled,0.605,,,0.7973,1.09922,1.08526,premium,both_premium,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B7233,EURUSD,2016-01-04T18:00:00+00:00,,,NY,bearish,BOS BOS,proximal,1.08973,1.08973,1.09188,1.0854300000000003,never_filled,,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,,,0.738,0.708,1.415,0,,,,,7,premium,0.0,,8.0,3.0,1.0,2.0,2.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2016-01-04T11:00:00+00:00,BOS,BOS,1,holding,True,pristine,True,0,0.85,1.14,1.14,marginal,,0.669,1.154,4.0,0.002913,,0.569,0,38.619,False,,,,,False,18,bearish,with_trend,True,False,False,,1.07808,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,True,8,,"eq,sw",True,0.096,1.973,5.582,True,True,0.096,1.973,5.582,True,3.0,False,,,,,False,,,,,False,,,False,,False,sweep,london,low,True,2016-01-04T17:00:00+00:00,1,2016-01-04T15:00:00+00:00,SHORT,aligned,70.4,False,1,,,fresh,London,NY,False,False,never_filled,0.75,A First Pullback,premium,0.3202,1.09922,1.08526,discount,mixed,,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B7234,EURUSD,2016-01-05T08:00:00+00:00,2016-01-07T03:00:00+00:00,2016-01-07T07:00:00+00:00,London,bearish,BOS BOS,proximal,1.08208,1.08208,1.08362,1.0789999999999995,tp,1.0789999999999995,2.0,500.0,True,,3.253,-0.545,0.615,,,,,,,,,1.315,1.315,2.629,39,5.0,2.0,46.0,44.0,3,discount,0.0,,6.0,3.0,1.0,0.0,2.0,0.0,"structure,sweep,freshness",False,h1_only,2016-01-05T05:00:00+00:00,BOS,BOS,0,holding,False,none,True,0,0.48,1.45,1.45,marginal,,1.144,,1.443,0.001171,0.0019,0.642,0,54.63,True,Spanish Unemployment Change,EUR,ff,2016-01-05T08:00:00+00:00,False,8,bearish,with_trend,False,False,False,,1.08039,False,False,False,EXPANSION_UP,broken,intact,intact,broken,14.632,9.228,PW,PD,True,61.0,PW,1.52,2.0,,,False,0.205,True,65.0,low,1.0,0.0,True,1,49.0,"eq,sw,pd,pw",True,0.145,1.087,2.817,False,False,,,,,,False,,,,,False,,,,,True,0.205,bare,False,,False,none,none,none,False,2016-01-05T07:00:00+00:00,1,2016-01-05T07:00:00+00:00,SHORT,counter,24.2,False,2,78.41,1.1671,no_fvg,Asia,Asia,False,False,Neither,1.0,,,-0.2278,1.09922,1.08526,discount,both_discount,3.295,0.442,0.52,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B7235,EURUSD,2016-01-07T08:00:00+00:00,,,London,bullish,CHoCH CHoCH,proximal,1.0762,1.0762,1.07511,1.07838,never_filled,,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,,,0.482,0.586,1.173,0,,,,,15,premium,1.0,True,8.0,4.0,1.0,1.0,2.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2016-01-06T17:00:00+00:00,CHoCH,CHoCH,0,holding,True,partial,True,0,0.93,1.45,0.96,marginal,False,0.393,0.672,1.644,0.002263,,0.742,0,48.07,False,,,,,False,8,bullish,with_trend,False,False,False,,1.07992,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,True,1,,"eq,sw",True,0.265,6.895,3.549,False,False,,,,,,False,,,,,False,,,,,False,,,False,,False,sweep,asia,high,True,2016-01-07T07:00:00+00:00,2,2016-01-06T19:00:00+00:00,LONG,counter,53.9,False,0,,,fresh,NY,London,False,False,never_filled,0.921,A+ Reversal at the Wall,premium,-0.649,1.09922,1.08526,discount,mixed,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B7236,EURUSD,2016-01-07T10:00:00+00:00,2016-01-07T18:00:00+00:00,2016-01-07T19:00:00+00:00,London,bearish,BOS BOS,proximal,1.08973,1.08973,1.09188,1.0854300000000003,sl,1.09188,-1.0,-250.0,True,,4.395,-0.898,-0.228,False,,,0.549,,,,,0.738,1.02,2.039,24,19.0,22.0,79.0,75.0,71,premium,0.0,,7.0,3.0,1.0,1.0,2.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2016-01-04T11:00:00+00:00,BOS,BOS,1,holding,True,partial,True,0,0.85,1.14,1.14,marginal,,0.669,1.154,4.0,0.002913,0.00315,0.569,0,40.182,True,Unemployment Rate,EUR,ff,2016-01-07T10:00:00+00:00,False,10,bullish,counter_trend,False,False,False,,1.07808,False,False,True,EXPANSION_UP,broken,intact,intact,swept,3.258,6.337,PW,PD,False,1.0,PW,3.258,2.0,4.346,2.0,False,2.52,False,2.0,high,1.0,1.0,True,8,81.0,"eq,sw,pd,pw",True,0.096,1.973,5.582,True,True,0.096,1.973,5.582,True,3.0,False,,,,,True,0.323,1.973,5.356,False,False,,,False,,False,break,asia,high,True,2016-01-07T09:00:00+00:00,2,2016-01-04T15:00:00+00:00,SHORT,aligned,70.4,False,1,92.4,1.5726,fresh,London,NY,False,False,Neither,0.968,,,0.3202,1.09922,1.08526,discount,mixed,0.621,0.479,0.058,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B7237,EURUSD,2016-01-07T10:00:00+00:00,2016-01-08T13:00:00+00:00,2016-01-08T15:00:00+00:00,London,bullish,BOS BOS,proximal,1.08215,1.08215,1.07797,1.0905099999999996,tp,1.0905099999999996,2.0,500.0,True,,2.275,-0.0,0.879,,,,,,,,,1.982,1.982,3.965,5,3.0,0.0,30.0,28.0,3,premium,0.0,,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2016-01-07T07:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.76,1.77,1.77,solid,,1.888,,2.257,0.002109,0.002422,0.839,0,40.182,True,Unemployment Rate,EUR,ff,2016-01-07T10:00:00+00:00,False,10,bullish,with_trend,False,False,False,,1.08691,False,True,False,INSIDE,intact,intact,intact,swept,5.615,2.409,PD,PD,False,20.0,PW,,,2.409,2.0,False,0.427,True,15.0,high,0.0,1.0,False,0,,"eq,sw,pd,pw",False,,,,,False,,,,,,False,,,,,False,,,,,False,,,False,,False,break,asia,high,True,2016-01-07T09:00:00+00:00,1,2016-01-07T09:00:00+00:00,LONG,counter,68.4,False,2,69.43,1.0732,no_fvg,London,NY,True,True,Both,1.0,,,-0.2228,1.09922,1.08526,discount,mixed,0.337,0.221,0.088,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",1.0,Unemployment Rate,USD,1.0,Unemployment Rate
B7238,EURUSD,2016-01-07T16:00:00+00:00,,,NY,bullish,CHoCH CHoCH,proximal,1.0762,1.0762,1.07511,1.07838,never_filled,,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,,,0.482,0.401,0.801,0,,,,,23,premium,1.0,True,8.0,4.0,1.0,1.0,2.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2016-01-06T17:00:00+00:00,CHoCH,CHoCH,0,holding,True,partial,True,0,0.93,1.45,0.96,marginal,False,0.393,0.672,1.644,0.002263,,0.742,0,50.061,False,,,,,False,16,bullish,with_trend,False,False,False,,1.07992,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,True,1,,"eq,sw",True,0.265,6.895,3.549,False,False,,,,,,False,,,,,False,,,,,False,,,False,,False,none,none,none,False,2016-01-07T15:00:00+00:00,3,2016-01-06T19:00:00+00:00,LONG,counter,53.9,False,0,,,fresh,NY,NY,False,False,never_filled,0.921,A+ Reversal at the Wall,premium,-0.649,1.09922,1.08526,discount,mixed,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B7239,EURUSD,2016-01-08T06:00:00+00:00,2016-01-08T06:00:00+00:00,2016-01-08T13:00:00+00:00,Asia,bullish,BOS BOS,proximal,1.08642,1.08642,1.08344,1.09238,sl,1.08344,-1.0,-250.0,True,,1.758,-0.326,-0.569,True,False,False,1.456,0.074,,,True,1.373,1.373,2.747,12,10.0,1.0,16.0,12.0,16,premium,0.0,,7.0,3.0,1.0,0.0,2.0,1.0,"structure,sweep,freshness",False,h1_only,2016-01-07T14:00:00+00:00,BOS,BOS,0,holding,False,full,True,0,1.27,1.85,1.85,solid,,1.281,,3.488,0.00217,0.002101,0.514,1,34.957,False,,,,,False,6,bullish,with_trend,False,False,False,,1.09399,False,False,False,INSIDE,intact,intact,intact,swept,3.488,4.309,PD,PD,True,13.0,PW,,,4.309,2.0,False,2.935,False,8.0,high,0.0,1.0,True,1,21.0,"eq,sw,pd,pw",True,0.124,0.519,6.235,False,False,,,,,,False,,,,,False,,,,,True,-0.401,bare,False,,False,none,none,none,False,2016-01-08T05:00:00+00:00,1,2016-01-07T18:00:00+00:00,LONG,counter,65.8,False,3,78.08,1.1715,stale,NY,Asia,True,False,OB only,0.737,,,0.0831,1.09922,1.08526,discount,mixed,0.419,0.414,0.763,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,1.0,Unemployment Rate
