setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_raw,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,r_capture_ratio,sl_bar_was_sweep,sl_swept_then_tp1,sl_wick_depth_atr,sl_max_adverse_after_sweep_atr,bars_sl_to_tp1_touch,sl_recovered_to_entry,sl_distance_atr,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,event_candle_delta,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,ob_body_ratio,ob_walkback_depth,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,trend_pd_agree,structure_ranging_at_alert,flip_pending_at_alert,flip_pending_dir_at_alert,leg_extreme_at_alert,leg_retrace_pct_at_alert,leg_extreme_clipped,dr_ceiling_broken_at_ob,dr_floor_broken_at_ob,alert_bar_ts,alert_seq,bos_timestamp,bias,be_arm_bar_touched_entry,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,setup_badge,setup_badge_kind,killzone_blocked,killzone_windows
A6891,EURUSD,2016-01-04T05:00:00+00:00,2016-01-04T08:00:00+00:00,2016-01-04T08:00:00+00:00,Asia,bearish,Confirmation BOS,proximal,1.09252,1.09337,1.09357,1.09055,,2.32,,sl,1.09357,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,True,True,0.64,0.0,2.0,True,0.64,0,-1,-1,98.0,18.0,20,premium,0.0,,8.0,4.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2015-12-31T06:00:00+00:00,BOS,Confirm,0,holding,True,pristine,False,0,0.45,1.11,1.11,marginal,0.396,0.232,4.622,0.00164,0.923,1,False,,,,,False,5,bearish,counter_trend,True,False,True,bullish,1.0827,66.5,False,False,True,2016-01-04T04:00:00+00:00,1,2015-12-31T11:00:00+00:00,SHORT,,aligned,80.0,False,1,fresh,Asia,London,False,True,Fill only,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6892,EURUSD,2016-01-04T05:00:00+00:00,2016-01-04T13:00:00+00:00,2016-01-04T14:00:00+00:00,Asia,bullish,CHoCH CHoCH,proximal,1.08575,1.08408,1.08388,1.08828,,1.51,,sl,1.08388,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,False,False,0.334,,,,1.096,1,-1,-1,13.0,9.0,5,discount,1.0,True,8.0,4.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2016-01-04T00:00:00+00:00,CHoCH,CHoCH,0,holding,True,pristine,False,0,0.37,0.99,0.66,marginal,0.862,0.311,0.393,0.001706,0.429,1,False,,,,,False,5,bearish,ambiguous,False,False,True,bullish,1.08833,145.8,False,False,True,2016-01-04T04:00:00+00:00,1,2016-01-04T04:00:00+00:00,LONG,,aligned,26.2,False,0,fresh,Asia,NY,False,True,Fill only,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6893,EURUSD,2016-01-04T08:00:00+00:00,,,London,bearish,CHoCH CHoCH,proximal,1.09639,1.09755,1.09775,1.09462,,1.53,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,0.694,0,-1,-1,,,65,premium,1.0,True,8.0,4.0,0.0,1.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2015-12-29T12:00:00+00:00,CHoCH,CHoCH,0,holding,True,partial,False,0,2.19,2.78,1.85,solid,0.49,1.603,0.648,0.001959,0.323,0,False,,,,,False,8,bearish,counter_trend,True,False,True,bullish,1.0827,92.8,False,False,True,2016-01-04T07:00:00+00:00,1,2015-12-29T13:00:00+00:00,SHORT,,aligned,117.6,False,0,fresh,London,London,True,False,never_filled,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6894,EURUSD,2016-01-04T18:00:00+00:00,,,NY,bearish,BOS BOS,proximal,1.08973,1.09188,1.09208,1.08477,1.0827,2.31,3.27,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,0.807,0,-1,-1,,,7,premium,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2016-01-04T11:00:00+00:00,BOS,BOS,1,holding,True,pristine,False,0,0.85,1.14,1.14,marginal,0.669,1.154,1.555,0.002913,0.569,0,False,,,,,False,18,bearish,with_trend,True,False,False,,1.07808,127.3,False,False,True,2016-01-04T17:00:00+00:00,1,2016-01-04T15:00:00+00:00,SHORT,,aligned,70.4,False,1,fresh,London,NY,False,False,never_filled,A First Pullback,premium,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6895,EURUSD,2016-01-05T08:00:00+00:00,2016-01-07T03:00:00+00:00,2016-01-07T08:00:00+00:00,London,bearish,BOS BOS,proximal,1.08208,1.08362,1.08382,1.07808,,2.6,,tp1,1.07808,2.299,2.6,0.0,574.75,True,,2.299,-0.483,1.0,,,,,,,1.485,5,5,-1,46.0,44.0,3,discount,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2016-01-05T05:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.48,1.45,1.45,marginal,1.144,,2.04,0.001171,0.642,0,False,,,,,False,8,bearish,with_trend,False,False,False,,1.08039,48.7,False,False,False,2016-01-05T07:00:00+00:00,1,2016-01-05T07:00:00+00:00,SHORT,True,counter,24.2,False,2,no_fvg,Asia,Asia,False,False,Neither,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6896,EURUSD,2016-01-07T10:00:00+00:00,2016-01-08T13:00:00+00:00,2016-01-08T18:00:00+00:00,London,bullish,BOS BOS,proximal,1.08215,1.07797,1.0777700000000001,1.09348,,2.71,,friday_flat,1.0888,1.518,2.71,0.61,379.5,True,,2.171,-0.0,0.699,,,,,,,2.077,5,9,-1,30.0,28.0,3,premium,0.0,,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2016-01-07T07:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.76,1.77,1.77,solid,1.888,,2.646,0.002109,0.839,0,False,,,,,False,10,bullish,with_trend,False,False,False,,1.08691,49.7,False,True,False,2016-01-07T09:00:00+00:00,1,2016-01-07T09:00:00+00:00,LONG,False,counter,68.4,False,2,no_fvg,London,NY,True,True,Both,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6897,EURUSD,2016-01-08T06:00:00+00:00,2016-01-08T06:00:00+00:00,2016-01-08T10:00:00+00:00,Asia,bullish,BOS BOS,proximal,1.08642,1.08344,1.08324,1.09348,,2.37,,sl,1.08642,0.0,-1.0,-1.0,0.0,True,,1.107,-0.305,0.0,True,True,0.272,2.829,12.0,True,1.465,4,-1,-1,16.0,12.0,16,premium,0.0,,7.0,3.0,1.0,0.0,2.0,1.0,"structure,sweep,freshness",False,h1_only,2016-01-07T14:00:00+00:00,BOS,BOS,0,holding,False,full,True,0,1.27,1.85,1.85,solid,1.281,,4.65,0.00217,0.514,1,False,,,,,False,6,bullish,with_trend,False,False,False,,1.09399,45.5,False,False,False,2016-01-08T05:00:00+00:00,1,2016-01-07T18:00:00+00:00,LONG,False,counter,65.8,False,3,stale,NY,Asia,True,False,OB only,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6898,EURUSD,2016-01-08T07:00:00+00:00,2016-01-08T07:00:00+00:00,2016-01-08T08:00:00+00:00,London,bearish,CHoCH CHoCH,proximal,1.0873,1.08867,1.08887,1.0827,,3.36,,sl,1.08887,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,True,True,0.509,3.855,5.0,True,0.747,1,-1,-1,2.0,1.0,2,premium,1.0,True,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2016-01-08T05:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,0.49,0.8,0.53,marginal,0.557,,2.427,0.002101,0.342,0,False,,,,,False,7,bullish,ambiguous,False,False,True,bearish,1.08548,27.0,False,False,False,2016-01-08T06:00:00+00:00,1,2016-01-08T06:00:00+00:00,SHORT,,aligned,69.8,False,0,no_fvg,Asia,London,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6899,EURUSD,2016-01-08T10:00:00+00:00,2016-01-08T13:00:00+00:00,2016-01-08T13:00:00+00:00,London,bullish,BOS BOS,proximal,1.08276,1.08094,1.08074,1.08723,,2.46,,sl,1.08074,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,True,True,0.239,0.0,1.0,True,1.048,0,-1,-1,31.0,28.0,28,discount,0.0,,5.0,3.0,0.0,1.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2016-01-07T06:00:00+00:00,BOS,BOS,0,holding,True,partial,False,1,0.84,1.97,1.97,solid,0.841,1.391,2.895,0.001927,0.642,1,False,,,,,False,10,bullish,with_trend,True,False,False,,1.09399,67.4,False,False,False,2016-01-08T09:00:00+00:00,1,2016-01-07T09:00:00+00:00,LONG,,aligned,-31.5,False,2,fresh,Asia,NY,False,True,Fill only,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6900,EURUSD,2016-01-12T06:00:00+00:00,2016-01-12T06:00:00+00:00,2016-01-12T09:00:00+00:00,Asia,bearish,CHoCH CHoCH,proximal,1.08845,1.09033,1.09053,1.08545,,1.6,,tp1,1.08545,1.442,1.6,0.0,360.5,True,,1.442,-0.74,1.0,,,,,,,1.08,3,3,-1,20.0,15.0,20,discount,1.0,True,4.0,4.0,0.0,0.0,0.0,0.0,structure,False,h1_only,2016-01-11T10:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,2,1.2,2.72,1.81,solid,0.872,,1.475,0.001926,0.899,2,False,,,,,False,6,bullish,ambiguous,False,False,True,bearish,1.0841,73.4,False,False,False,2016-01-12T05:00:00+00:00,1,2016-01-11T15:00:00+00:00,SHORT,,counter,33.8,False,0,no_fvg,London,Asia,False,False,Neither,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
