setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,entry_raw,sl_raw,sl_initial,tp1,tp1_raw,tp2,tp2_raw,tp1_rr,tp2_rr,tp1_wick,tp1_wick_rr,tp1_zone_source,tp2_wick,tp2_zone_source,tp_wick,tp_wick_rr,tp_nextpool,tp_nextpool_rr,tp_nextpool_zone_source,tp2_collapsed_to_tp1,tp_targets,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,r_capture_ratio,sl_bar_was_sweep,sl_swept_then_tp1,sl_wick_depth_atr,sl_max_adverse_after_sweep_atr,bars_sl_to_tp1_touch,sl_recovered_to_entry,sl_distance_atr,sl_dist_atr_at_alert,tp_dist_atr_at_alert,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,event_candle_delta,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,is_mss,ob_range_atr,fvg_size_atr,impulse_leg_to_extreme_atr,atr_at_ob,atr_at_fill,ob_body_ratio,ob_walkback_depth,chop_at_alert,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,trend_pd_agree,structure_ranging_at_alert,flip_pending_at_alert,flip_pending_dir_at_alert,leg_extreme_at_alert,leg_extreme_clipped,dr_ceiling_broken_at_ob,dr_floor_broken_at_ob,day_state_at_fill,pdh_status_at_fill,pdl_status_at_fill,pwh_status_at_fill,pwl_status_at_fill,dist_next_pool_above_atr,dist_next_pool_below_atr,next_pool_above_tier,next_pool_below_tier,trade_toward_pool,last_sweep_age_h1,last_sweep_tier,eqh_above_dist_atr,eqh_above_size,eql_below_dist_atr,eql_below_size,eq_trade_toward,eq_sl_gap_atr,eq_sl_at_risk,eq_last_sweep_age_h1,eq_last_sweep_side,eq_intact_above_count,eq_intact_below_count,sweep2_present,sweep2_tier,sweep2_level,sweep2_pierce_atr,sweep2_rejection_ratio,sweep2_follow_atr,sweep2_pools_swept,sweep2_rn_aligned,sweep2_rn_dist_atr,sweep2_eq_size,sweep2_age_at_alert_h1,sweep2_tiers_checked,setup_liq_stop_present,setup_liq_stop_offset_atr,setup_liq_stop_tier,setup_liq_tp_present,setup_liq_tp_offset_atr,setup_liq_legextreme_swept,session_level_event,session_level_which,session_level_side,session_level_pair_relevant,alert_bar_ts,alert_seq,bos_timestamp,bias,be_arm_bar_touched_entry,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,leg_er_at_alert,setup_badge,setup_badge_kind,weekly_pd_position_at_alert,weekly_range_high_at_alert,weekly_range_low_at_alert,weekly_pd_zone_at_alert,pd_zone_agreement_at_alert,approach_speed_atr_at_fill,approach_body_ratio_at_fill,approach_er_at_fill,sweep2_age_at_fill_h1,sweep2_sw_present,sweep2_sw_pierce_atr,sweep2_sw_rejection_ratio,sweep2_sw_follow_atr,sweep2_sw_rn_aligned,killzone_blocked,killzone_windows,news_fill,news_fill_event,news_fill_ccy,news_open,news_open_event
B6391,EURUSD,2019-01-02T04:00:00+00:00,2019-01-02T05:00:00+00:00,2019-01-02T05:00:00+00:00,Asia,bearish,BOS BOS,proximal,1.14529,1.14549,1.1475,1.1477,1.14412,1.14392,1.13682,1.13662,0.78,4.41,1.1423,1.69,zone,,zone,1.14283,1.42,1.13682,4.41,zone,False,triple,sl,1.1477,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,False,,0.103,,,,1.375,1.261,0.782,0,-1,-1,286.0,124.0,125,premium,0.0,,4.0,3.0,0.0,0.0,0.0,1.0,structure,False,h1_only,2018-12-21T07:00:00+00:00,BOS,BOS,0,holding,False,full,False,2,0.8,0.95,0.95,marginal,,1.033,,5.667,0.001752,0.001816,0.718,0,63.039,False,,,,,False,4,bullish,counter_trend,False,False,False,,1.13556,False,False,False,INSIDE,intact,intact,intact,intact,0.719,1.821,PD,PD,False,,,1.861,2.0,,,False,0.485,True,5.0,low,1.0,0.0,False,,,,,,0,,,,,"eq,sw",True,-0.194,bare,False,,False,sweep,asia,high,True,2018-12-31T20:00:00+00:00,1,2018-12-21T09:00:00+00:00,SHORT,,aligned,62.2,False,1,stale,London,Asia,True,False,OB only,0.707,,,0.8509,1.14723,1.13422,premium,both_premium,0.029,0.384,0.234,,,,,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B6392,EURUSD,2019-01-02T04:00:00+00:00,2019-01-02T04:00:00+00:00,2019-01-02T05:00:00+00:00,Asia,bullish,BOS BOS,proximal,1.14486,1.14466,1.14268,1.14248,1.14635,1.14655,,,0.95,,1.14635,0.95,wick,,,1.14635,0.95,,,,True,triple,tp1,1.14635,0.626,0.95,0.0,156.5,True,,0.626,-0.0,1.0,,,,,,,1.358,1.244,0.965,1,1,-1,44.0,9.0,13,premium,0.0,,6.0,3.0,1.0,0.0,1.0,1.0,"structure,sweep,freshness",False,h1_only,2018-12-31T08:00:00+00:00,BOS,BOS,0,holding,False,full,True,1,0.19,0.65,0.65,marginal,,1.016,,1.079,0.001752,0.001703,0.596,0,63.039,False,,,,,False,4,bullish,with_trend,False,False,False,,1.14655,False,False,False,INSIDE,intact,intact,intact,intact,0.965,1.575,PD,PD,True,,,2.106,2.0,,,True,,,4.0,low,1.0,0.0,True,PD,1.1426,0.285,0.138,2.254,1,False,-1.37,,15.0,"pd,pw,eq,sw",True,0.023,PD,True,0.114,False,sweep,asia,high,True,2018-12-31T20:00:00+00:00,1,2018-12-31T12:00:00+00:00,LONG,,counter,53.8,False,1,fresh,London,Asia,True,False,OB only,0.267,,,0.8178,1.14723,1.13422,premium,both_premium,-0.268,0.449,0.505,,,,,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B6393,EURUSD,2019-01-02T05:00:00+00:00,2019-01-02T12:00:00+00:00,2019-01-02T13:00:00+00:00,Asia,bullish,CHoCH CHoCH,proximal,1.1411,1.1409,1.13802,1.13782,1.14436,1.14456,,,1.27,,1.14635,1.96,zone,,,1.14584,1.78,,,,False,triple,sl,1.13782,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,False,,0.639,,,,1.872,1.809,2.032,1,-1,-1,145.0,64.0,59,discount,1.0,True,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2018-12-27T11:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,1,0.44,2.18,1.45,marginal,True,1.53,,2.557,0.001752,0.002145,0.519,1,63.039,False,,,,,False,5,bullish,with_trend,True,False,False,,1.14538,False,False,False,SWEPT_HIGH,swept,intact,swept,intact,0.571,3.927,PD,PW,True,3.0,PD,,,,,,,,0.0,low,0.0,0.0,False,,,,,,0,,,,,"pd,eq,sw",False,,,False,,False,break,asia,high,True,2019-01-02T04:00:00+00:00,1,2018-12-27T13:00:00+00:00,LONG,,aligned,-19.5,False,0,no_fvg,London,London,False,True,Fill only,0.347,,,0.5288,1.14723,1.13422,premium,mixed,0.816,0.405,0.702,,,,,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B6394,EURUSD,2019-01-02T06:00:00+00:00,2019-01-02T08:00:00+00:00,2019-01-02T08:00:00+00:00,Asia,bullish,BOS BOS,proximal,1.14567,1.14547,1.14398,1.14378,1.1463,1.1465,,,0.69,,1.14827,2.01,zone,,,1.14773,1.65,,,,False,triple,sl,1.14378,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,True,False,0.529,7.105,,False,1.041,0.931,0.457,0,-1,-1,38.0,3.0,5,premium,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2018-12-31T18:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.7,1.78,1.78,solid,,0.71,,1.327,0.001816,0.002106,0.481,0,63.039,False,,,,,False,6,bullish,with_trend,False,False,False,,1.14788,False,True,False,EXPANSION_UP,broken,intact,broken,intact,,1.966,,PD,False,,,,,,,,,,0.0,high,0.0,0.0,False,,,,,,0,,,,,"pd,pw,eq,sw",False,,,False,,False,sweep,asia,high,True,2019-01-02T05:00:00+00:00,1,2019-01-02T05:00:00+00:00,LONG,,counter,61.8,False,2,no_fvg,NY,London,False,True,Fill only,0.619,,,0.8801,1.14723,1.13422,premium,both_premium,-1.691,0.455,0.443,,,,,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B6395,EURUSD,2019-01-02T09:00:00+00:00,2019-01-02T12:00:00+00:00,2019-01-02T14:00:00+00:00,London,bullish,CHoCH CHoCH,proximal,1.14026,1.14006,1.1362,1.136,1.14372,1.14392,,,1.0,,1.14372,1.0,wick,,,,,,,,False,triple,sl,1.136,-1.0,-1.0,-1.0,-250.0,True,,0.063,-0.836,-15.873,True,False,0.133,2.725,,True,2.268,1.927,1.738,2,-1,-1,144.0,64.0,62,discount,1.0,True,6.0,4.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2018-12-27T12:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,1,0.4,1.96,1.3,marginal,True,1.948,,2.832,0.001879,0.002145,0.577,0,38.064,False,,,,,False,9,bullish,with_trend,True,False,False,,1.14538,False,True,False,SWEPT_HIGH,swept,intact,swept,intact,0.979,3.215,PD,PW,True,3.0,PD,,,,,,,,0.0,low,0.0,0.0,False,,,,,,0,,,,,"pd,eq,sw",False,,,False,,False,sweep,asia,low,True,2019-01-02T08:00:00+00:00,1,2018-12-27T13:00:00+00:00,LONG,,aligned,-24.3,False,0,no_fvg,London,London,True,True,Both,0.539,,,0.4643,1.14723,1.13422,discount,both_discount,0.761,0.405,0.702,,,,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B6396,EURUSD,2019-01-02T13:00:00+00:00,,,NY,bearish,CHoCH CHoCH,proximal,1.14296,1.14316,1.14434,1.14454,1.14218,1.14198,,,1.0,,1.14218,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,0.737,0.643,0.457,0,-1,-1,,,3,discount,1.0,True,7.0,4.0,1.0,0.0,2.0,0.0,"structure,sweep,freshness",False,h1_only,2019-01-02T10:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,True,0,0.94,1.51,1.01,marginal,False,0.457,,1.599,0.002145,,0.306,0,35.006,False,,,,,False,13,bullish,ambiguous,False,False,True,bearish,1.13973,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,True,SW,1.14847,0.559,1.541,4.075,1,False,-0.713,,6.0,"pd,pw,eq,sw",False,,,False,,False,sweep,asia,low,True,2019-01-02T12:00:00+00:00,1,2019-01-02T12:00:00+00:00,SHORT,,counter,32.5,False,0,no_fvg,London,NY,False,False,never_filled,1.0,,,0.6718,1.14723,1.13422,premium,mixed,,,,,,,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B6397,EURUSD,2019-01-03T05:00:00+00:00,,,Asia,bullish,BOS BOS,proximal,1.13378,1.13358,1.1324,1.1322,1.13456,1.13476,,,1.0,,1.13456,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,0.776,0.678,0.481,0,-1,-1,,,11,discount,0.0,,8.0,3.0,1.0,2.0,2.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2019-01-02T18:00:00+00:00,BOS,BOS,0,holding,True,pristine,True,0,0.2,0.5,0.5,marginal,,0.481,0.196,1.739,0.002036,,0.735,3,51.424,False,,,,,False,5,bullish,counter_trend,True,False,True,bearish,1.13712,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,True,PW,1.13422,0.034,1.581,0.968,2,True,-0.383,,13.0,"pd,pw,eq,sw",False,,,False,,False,break,london,high,True,2019-01-03T04:00:00+00:00,1,2019-01-03T02:00:00+00:00,LONG,,aligned,15.4,False,1,fresh,NY,Asia,False,False,never_filled,0.37,,,-0.0338,1.14723,1.13422,discount,both_discount,,,,,,,,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B6398,EURUSD,2019-01-03T09:00:00+00:00,2019-01-07T07:00:00+00:00,2019-01-07T09:00:00+00:00,London,bearish,CHoCH CHoCH,proximal,1.14296,1.14316,1.14434,1.14454,1.14218,1.14198,,,1.0,,1.14218,1.0,wick,,,,,,,,False,triple,sl,1.14454,-1.0,-1.0,-1.0,-250.0,True,,0.12,-0.639,-8.333,True,False,0.093,1.804,,True,0.737,0.671,0.477,2,-1,-1,117.0,67.0,23,discount,1.0,True,9.0,4.0,1.0,2.0,2.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2019-01-02T10:00:00+00:00,CHoCH,CHoCH,0,holding,True,pristine,True,0,0.94,1.51,1.01,marginal,False,0.457,0.881,5.725,0.002145,0.001064,0.306,0,50.507,False,,,,,False,9,bullish,ambiguous,False,False,True,bearish,1.13088,False,False,True,SWEPT_HIGH,swept,intact,intact,intact,3.128,3.93,PW,PD,False,0.0,PD,,,,,,,,0.0,high,0.0,0.0,True,SW,1.14847,0.559,1.541,4.075,1,False,-0.713,,26.0,"pd,pw,eq,sw",False,,,False,,False,break,asia,low,True,2019-01-03T08:00:00+00:00,2,2019-01-02T12:00:00+00:00,SHORT,,counter,32.5,False,0,fresh,London,London,False,True,Fill only,0.226,A+ Reversal at the Wall,premium,0.6718,1.14723,1.13422,premium,mixed,-0.284,0.421,0.262,,,,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B6399,EURUSD,2019-01-04T14:00:00+00:00,,,NY,bullish,BOS BOS,proximal,1.13378,1.13358,1.1324,1.1322,1.13456,1.13476,,,1.0,,1.13456,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,0.776,0.949,0.674,0,-1,-1,,,44,discount,0.0,,6.0,3.0,1.0,0.0,2.0,0.0,"structure,sweep,freshness",False,h1_only,2019-01-02T18:00:00+00:00,BOS,BOS,0,holding,False,full,True,0,0.2,0.5,0.5,marginal,,0.481,,2.353,0.002036,,0.735,3,50.145,False,,,,,False,14,bearish,counter_trend,False,False,False,,1.13837,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,True,PW,1.13422,0.034,1.581,0.968,2,True,-0.383,,46.0,"pd,pw,eq,sw",False,,,False,,False,break,london,high,True,2019-01-04T13:00:00+00:00,2,2019-01-03T02:00:00+00:00,LONG,,aligned,15.4,False,1,stale,NY,NY,False,False,never_filled,0.34,,,-0.0338,1.14723,1.13422,discount,both_discount,,,,,,,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B6400,EURUSD,2019-01-04T14:00:00+00:00,2019-01-04T15:00:00+00:00,2019-01-04T18:00:00+00:00,NY,bearish,Confirmation BOS,proximal,1.14006,1.14026,1.14172,1.14192,1.13733,1.13713,,,2.14,,1.1339,4.49,zone,,,1.13434,4.19,,,,False,triple,friday_flat,1.1405,-0.237,-1.0,-1.0,-59.25,True,,0.414,-0.903,-0.572,,,,,,,1.279,1.141,2.015,3,-1,-1,4.0,2.0,3,premium,0.0,,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2019-01-04T11:00:00+00:00,BOS,Confirm,0,holding,False,none,False,0,0.73,2.24,2.24,solid,,0.866,,2.723,0.001454,0.001931,0.579,0,50.145,False,,,,,False,14,bearish,with_trend,True,False,False,,1.1363,False,False,False,SWEPT_HIGH,swept,intact,swept,swept,,6.312,,PD,True,2.0,PD,,,,,,,,2.0,high,0.0,0.0,False,,,,,,0,,,,,"pd,eq,sw",True,-0.034,bare,False,,False,sweep,london,high,True,2019-01-04T13:00:00+00:00,1,2019-01-04T13:00:00+00:00,SHORT,,aligned,77.8,False,1,no_fvg,London,NY,False,True,Fill only,1.0,,,0.4489,1.14723,1.13422,discount,mixed,-4.194,0.686,0.774,,,,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
