setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_raw,sl_initial,tp1,tp2,tp1_rr,tp2_rr,tp1_wick,tp1_wick_rr,tp1_zone_source,tp2_wick,tp2_zone_source,tp_wick,tp_wick_rr,tp_nextpool,tp_nextpool_rr,tp_nextpool_zone_source,tp2_collapsed_to_tp1,tp_targets,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,r_capture_ratio,sl_bar_was_sweep,sl_swept_then_tp1,sl_wick_depth_atr,sl_max_adverse_after_sweep_atr,bars_sl_to_tp1_touch,sl_recovered_to_entry,sl_distance_atr,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,event_candle_delta,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,is_mss,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,atr_at_fill,ob_body_ratio,ob_walkback_depth,chop_at_alert,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,trend_pd_agree,structure_ranging_at_alert,flip_pending_at_alert,flip_pending_dir_at_alert,leg_extreme_at_alert,leg_extreme_clipped,dr_ceiling_broken_at_ob,dr_floor_broken_at_ob,day_state_at_fill,pdh_status_at_fill,pdl_status_at_fill,pwh_status_at_fill,pwl_status_at_fill,dist_next_pool_above_atr,dist_next_pool_below_atr,next_pool_above_tier,next_pool_below_tier,trade_toward_pool,last_sweep_age_h1,last_sweep_tier,eqh_above_dist_atr,eqh_above_size,eql_below_dist_atr,eql_below_size,eq_trade_toward,eq_sl_gap_atr,eq_sl_at_risk,eq_last_sweep_age_h1,eq_last_sweep_side,eq_intact_above_count,eq_intact_below_count,sweep2_present,sweep2_tier,sweep2_level,sweep2_pierce_atr,sweep2_rejection_ratio,sweep2_follow_atr,sweep2_pools_swept,sweep2_rn_aligned,sweep2_rn_dist_atr,sweep2_eq_size,sweep2_age_at_alert_h1,sweep2_tiers_checked,setup_liq_stop_present,setup_liq_stop_offset_atr,setup_liq_stop_tier,setup_liq_tp_present,setup_liq_tp_offset_atr,setup_liq_legextreme_swept,session_level_event,session_level_which,session_level_side,alert_bar_ts,alert_seq,bos_timestamp,bias,be_arm_bar_touched_entry,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,leg_er_at_alert,setup_badge,setup_badge_kind,weekly_pd_position_at_alert,weekly_range_high_at_alert,weekly_range_low_at_alert,weekly_pd_zone_at_alert,pd_zone_agreement_at_alert,approach_speed_atr_at_fill,approach_body_ratio_at_fill,approach_er_at_fill,killzone_blocked,killzone_windows,news_fill,news_fill_event,news_fill_ccy,news_open,news_open_event
B4858,EURUSD,2020-01-02T04:00:00+00:00,2020-01-02T10:00:00+00:00,2020-01-02T14:00:00+00:00,Asia,bullish,BOS BOS,proximal,1.11943,1.1184,1.1182,1.12288,,3.35,,1.12392,4.36,zone,,,1.12362,4.07,,,,False,triple,sl,1.1182,-1.0,-1.0,-1.0,-250.0,True,,0.634,-0.919,-1.577,False,False,1.209,,,,1.239,4,-1,-1,70.0,37.0,33,premium,0.0,,7.0,3.0,0.0,1.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2019-12-30T12:00:00+00:00,BOS,BOS,0,holding,True,partial,False,0,0.02,1.04,1.04,marginal,,0.836,0.191,3.485,0.000993,0.000979,0.241,0,48.644,False,,,,,False,4,bullish,with_trend,False,False,False,,1.12206,False,False,False,INSIDE,intact,intact,broken,intact,0.332,12.62,PD,PW,True,,,,,,,,,,66.0,high,0.0,0.0,False,,,,,,0,,,,,"pd,eq,sw",True,-0.04,bare,False,,False,break,asia,high,2019-12-31T20:00:00+00:00,1,2019-12-30T14:00:00+00:00,LONG,,counter,73.6,False,4,fresh,London,London,True,False,OB only,0.711,,,1.0512,1.11882,1.1069,premium,both_premium,0.373,0.485,0.399,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B4859,EURUSD,2020-01-02T04:00:00+00:00,2020-01-02T04:00:00+00:00,2020-01-02T08:00:00+00:00,Asia,bullish,BOS BOS,proximal,1.12069,1.12019,1.11999,1.12119,,1.0,,1.12119,1.0,wick,,,,,,,,False,triple,tp1,1.12119,0.714,1.0,0.0,178.5,True,,0.714,-0.871,1.0,,,,,,,0.705,4,4,-1,46.0,11.0,15,premium,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2019-12-31T06:00:00+00:00,BOS,BOS,0,holding,False,full,False,0,0.26,1.06,1.06,marginal,,0.302,,1.843,0.000993,0.001072,0.367,1,48.644,False,,,,,False,4,bullish,with_trend,False,False,False,,1.12392,False,False,False,INSIDE,intact,intact,broken,intact,3.253,0.937,PD,PD,False,,,,,,,,,,54.0,high,0.0,0.0,False,,,,,,0,,,,,"pd,pw,eq,sw",True,-0.373,bare,False,,False,break,london,high,2019-12-31T20:00:00+00:00,1,2019-12-31T10:00:00+00:00,LONG,,counter,81.0,False,5,fresh,Asia,Asia,False,False,Neither,0.276,,,1.1569,1.11882,1.1069,premium,both_premium,1.178,0.579,0.131,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B4860,EURUSD,2020-01-02T06:00:00+00:00,,,Asia,bearish,CHoCH CHoCH,proximal,1.12227,1.12313,1.12333,1.12034,1.11943,2.24,3.3,1.11962,3.08,zone,,zone,1.11993,2.72,1.11943,3.3,zone,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.038,0,-1,-1,,,6,premium,1.0,True,8.0,4.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2019-12-31T17:00:00+00:00,CHoCH,CHoCH,1,holding,True,pristine,False,0,1.53,1.24,0.83,marginal,False,0.647,0.46,1.479,0.001021,,0.379,1,48.644,False,,,,,False,6,bullish,ambiguous,False,False,True,bearish,1.12008,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,0,,,,,"pd,pw,eq,sw",False,,,False,,False,sweep,asia,high,2020-01-02T05:00:00+00:00,1,2020-01-02T04:00:00+00:00,SHORT,,aligned,90.3,False,0,fresh,NY,Asia,False,False,never_filled,0.773,,,1.2894,1.11882,1.1069,premium,both_premium,,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B4861,EURUSD,2020-01-03T07:00:00+00:00,2020-01-03T09:00:00+00:00,2020-01-03T10:00:00+00:00,London,bullish,Confirmation BOS,proximal,1.11498,1.11416,1.11396,1.11697,1.12288,2.43,9.63,1.11784,3.49,zone,,zone,1.11767,3.28,1.12288,9.63,zone,False,triple,sl,1.11396,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,False,False,1.575,,6.0,,1.785,1,-1,-1,166.0,73.0,85,discount,0.0,,8.0,4.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2019-12-27T11:00:00+00:00,BOS,Confirm,0,holding,True,pristine,False,0,0.95,1.5,1.5,solid,,1.085,0.175,17.185,0.000571,0.000707,0.21,1,55.296,False,,,,,False,7,bullish,counter_trend,True,False,True,bearish,1.12107,False,False,False,EXPANSION_DOWN,intact,broken,swept,intact,11.288,14.14,PD,PW,True,16.0,PW,,,,,,,,99.0,high,0.0,0.0,False,,,,,,0,,,,,"pd,eq,sw",False,,,False,,False,sweep,london,low,2020-01-03T06:00:00+00:00,1,2019-12-30T01:00:00+00:00,LONG,,aligned,-18.1,False,1,fresh,London,London,False,True,Fill only,0.613,,,0.6779,1.11882,1.1069,premium,mixed,2.66,0.529,0.799,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B4862,EURUSD,2020-01-06T09:00:00+00:00,2020-01-07T13:00:00+00:00,2020-01-07T14:00:00+00:00,London,bullish,CHoCH CHoCH,proximal,1.11625,1.11551,1.11531,1.11797,1.12288,2.32,8.96,1.11797,2.32,wick,,zone,1.11797,2.32,1.12288,8.96,zone,True,triple,sl,1.11531,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,False,False,0.904,,,,1.268,1,-1,-1,31.0,29.0,3,discount,1.0,True,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2020-01-06T06:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,0.92,1.78,1.19,marginal,True,0.728,,0.769,0.000741,0.001051,0.315,0,51.154,False,,,,,False,9,bearish,ambiguous,False,False,True,bullish,1.11798,False,False,False,INSIDE,intact,intact,intact,intact,5.786,0.728,PD,PD,False,,,,,,,,,,0.0,high,0.0,0.0,False,,,,,,0,,,,,"pd,pw,eq,sw",True,-0.148,bare,True,0.0,True,sweep,asia,low,2020-01-06T08:00:00+00:00,1,2020-01-06T08:00:00+00:00,LONG,,aligned,32.8,False,0,no_fvg,Asia,NY,False,True,Fill only,1.0,,,0.3284,1.12392,1.1125,discount,both_discount,1.308,0.349,0.175,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",1.0,ISM Services PMI,USD,1.0,ISM Services PMI
B4863,EURUSD,2020-01-06T12:00:00+00:00,,,London,bearish,CHoCH CHoCH,proximal,1.12227,1.12313,1.12333,1.12141,,1.0,,1.12141,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.038,0,-1,-1,,,60,premium,1.0,True,8.0,4.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2019-12-31T17:00:00+00:00,CHoCH,CHoCH,1,holding,True,pristine,False,0,1.53,1.24,0.83,marginal,False,0.647,0.46,1.479,0.001021,,0.379,1,32.773,False,,,,,False,12,bearish,counter_trend,True,False,True,bullish,1.11635,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,0,,,,,"pd,pw,eq,sw",False,,,False,,False,sweep,asia,high,2020-01-06T11:00:00+00:00,2,2020-01-02T04:00:00+00:00,SHORT,,aligned,90.3,False,0,fresh,NY,London,False,False,never_filled,0.359,,,0.8555,1.12392,1.1125,premium,both_premium,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B4864,EURUSD,2020-01-07T06:00:00+00:00,,,Asia,bearish,BOS BOS,proximal,1.11911,1.11964,1.11984,1.11858,,1.0,,1.11858,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.254,0,-1,-1,,,3,premium,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2020-01-07T03:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,1.06,1.36,1.36,marginal,,0.567,,1.683,0.000582,,0.242,0,47.182,False,,,,,False,6,bearish,with_trend,True,False,False,,1.11828,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,0,,,,,"pd,pw,eq,sw",True,0.086,bare,False,,False,sweep,asia,high,2020-01-07T05:00:00+00:00,1,2020-01-07T05:00:00+00:00,SHORT,,aligned,82.2,False,1,no_fvg,Asia,Asia,False,False,never_filled,1.0,,,0.5788,1.12392,1.1125,premium,both_premium,,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B4865,EURUSD,2020-01-08T11:00:00+00:00,,,London,bearish,BOS BOS,proximal,1.11484,1.11558,1.11578,1.11359,1.1092,1.69,7.62,1.1125,3.16,zone,,zone,1.11283,2.72,1.1092,7.62,zone,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,0.859,0,-1,-1,,,5,discount,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2020-01-08T06:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.56,0.99,0.99,marginal,,0.493,,3.162,0.001094,,0.204,2,48.321,False,,,,,False,11,bearish,with_trend,False,False,False,,1.11253,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,0,,,,,"pd,eq,sw",False,,,False,,False,break,london,low,2020-01-08T10:00:00+00:00,1,2020-01-08T10:00:00+00:00,SHORT,,counter,28.8,False,2,no_fvg,Asia,London,False,False,never_filled,0.721,,,0.2049,1.12392,1.1125,discount,both_discount,,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B4866,EURUSD,2020-01-09T10:00:00+00:00,2020-01-09T10:00:00+00:00,2020-01-09T15:00:00+00:00,London,bearish,BOS BOS,proximal,1.11111,1.11223,1.11243,1.10975,,1.21,,1.1094,1.53,zone,,,1.10964,1.31,,,,False,triple,tp1,1.10975,1.03,1.21,0.0,257.5,True,,1.03,-0.47,1.0,,,,,,,1.656,5,5,-1,3.0,1.0,3,discount,0.0,,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2020-01-09T07:00:00+00:00,BOS,BOS,0,holding,False,none,True,0,0.26,2.06,2.06,solid,,1.154,,2.22,0.000797,0.00087,0.326,1,61.56,False,,,,,False,10,bearish,with_trend,False,False,False,,1.10983,False,False,True,SWEPT_LOW,intact,swept,intact,broken,7.151,,PD,,False,1.0,PD,,,,,,,,45.0,high,0.0,0.0,False,,,,,,0,,,,,"pd,eq,sw",False,,,True,-0.439,False,sweep,london,low,2020-01-09T09:00:00+00:00,1,2020-01-09T09:00:00+00:00,SHORT,,counter,12.0,False,3,no_fvg,London,London,True,False,OB only,0.799,,,-0.1217,1.12392,1.1125,discount,both_discount,-1.618,0.526,0.503,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B4867,EURUSD,2020-01-10T07:00:00+00:00,2020-01-10T15:00:00+00:00,2020-01-10T17:00:00+00:00,London,bearish,BOS BOS,proximal,1.1115,1.11209,1.11229,1.11069,,1.37,,1.11017,2.25,zone,,,1.11029,2.05,,,,False,triple,sl,1.11229,-1.0,-1.0,-1.0,-250.0,True,,0.506,-0.709,-1.976,True,True,1.499,5.803,44.0,True,1.91,2,-1,-1,34.0,30.0,26,discount,0.0,,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2020-01-09T05:00:00+00:00,BOS,BOS,0,holding,False,none,False,1,0.56,4.38,4.38,strong,,0.943,,4.28,0.000414,0.000974,0.744,2,59.736,False,,,,,False,7,bearish,with_trend,False,False,False,,1.10923,False,False,False,SWEPT_LOW,intact,swept,intact,broken,1.282,,PD,,False,0.0,PD,,,,,,,,,,0.0,0.0,False,,,,,,0,,,,,"pd,eq,sw",False,,,False,,False,sweep,asia,high,2020-01-10T06:00:00+00:00,1,2020-01-09T09:00:00+00:00,SHORT,,counter,20.1,False,3,no_fvg,Asia,NY,False,True,Fill only,0.24,,,-0.0876,1.12392,1.1125,discount,both_discount,1.813,0.269,0.067,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
