setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,entry_raw,sl_raw,sl_initial,tp1,tp1_raw,tp2,tp2_raw,tp1_rr,tp2_rr,tp1_wick,tp1_wick_rr,tp1_zone_source,tp2_wick,tp2_zone_source,tp_wick,tp_wick_rr,tp_nextpool,tp_nextpool_rr,tp_nextpool_zone_source,tp2_collapsed_to_tp1,tp_targets,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,r_capture_ratio,sl_bar_was_sweep,sl_swept_then_tp1,sl_wick_depth_atr,sl_max_adverse_after_sweep_atr,bars_sl_to_tp1_touch,sl_recovered_to_entry,sl_distance_atr,sl_dist_atr_at_alert,tp_dist_atr_at_alert,bars_to_exit,bars_to_tp1,bars_to_tp2,bars_to_mfe,bars_to_mae,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,event_candle_delta,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,is_mss,ob_range_atr,fvg_size_atr,impulse_leg_to_extreme_atr,atr_at_ob,atr_at_fill,ob_body_ratio,ob_walkback_depth,chop_at_alert,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,trend_pd_agree,structure_ranging_at_alert,flip_pending_at_alert,flip_pending_dir_at_alert,leg_extreme_at_alert,leg_extreme_clipped,dr_ceiling_broken_at_ob,dr_floor_broken_at_ob,day_state_at_fill,pdh_status_at_fill,pdl_status_at_fill,pwh_status_at_fill,pwl_status_at_fill,dist_next_pool_above_atr,dist_next_pool_below_atr,next_pool_above_tier,next_pool_below_tier,trade_toward_pool,last_sweep_age_h1,last_sweep_tier,eqh_above_dist_atr,eqh_above_size,eql_below_dist_atr,eql_below_size,eq_trade_toward,eq_sl_gap_atr,eq_sl_at_risk,eq_last_sweep_age_h1,eq_last_sweep_side,eq_intact_above_count,eq_intact_below_count,sweep2_present,sweep2_pools_swept,sweep2_age_at_fill_h1,sweep2_tiers_checked,sweep2_sw_present,sweep2_sw_pierce_atr,sweep2_sw_rejection_ratio,sweep2_sw_follow_atr,sweep2_sw_rn_aligned,sweep2_eq_present,sweep2_eq_pierce_atr,sweep2_eq_rejection_ratio,sweep2_eq_follow_atr,sweep2_eq_rn_aligned,sweep2_eq_size,sweep2_pw_present,sweep2_pw_pierce_atr,sweep2_pw_rejection_ratio,sweep2_pw_follow_atr,sweep2_pw_rn_aligned,sweep2_pd_present,sweep2_pd_pierce_atr,sweep2_pd_rejection_ratio,sweep2_pd_follow_atr,sweep2_pd_rn_aligned,setup_liq_stop_present,setup_liq_stop_offset_atr,setup_liq_stop_tier,setup_liq_tp_present,setup_liq_tp_offset_atr,setup_liq_legextreme_swept,session_level_event,session_level_which,session_level_side,session_level_pair_relevant,alert_bar_ts,alert_seq,bos_timestamp,bias,be_arm_bar_touched_entry,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,atr_regime_pct_at_fill,atr_regime_ratio_at_fill,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,leg_er_at_alert,setup_badge,setup_badge_kind,weekly_pd_position_at_alert,weekly_range_high_at_alert,weekly_range_low_at_alert,weekly_pd_zone_at_alert,pd_zone_agreement_at_alert,approach_speed_atr_at_fill,approach_body_ratio_at_fill,approach_er_at_fill,killzone_blocked,killzone_windows,news_fill,news_fill_event,news_fill_ccy,news_open,news_open_event
B7159,GOLD,2020-03-02T10:00:00+00:00,2020-03-02T11:00:00+00:00,2020-03-02T13:00:00+00:00,London,bullish,CHoCH CHoCH,proximal,1604.43,1603.93,1595.44,1595.435,1640.37,1640.87,1649.57,1650.07,3.79,5.43,1648.96,4.69,zone,,zone,1644.77,4.87,1649.57,5.43,zone,False,triple,sl,1595.435,-1.0,-1.0,-1.0,-250.0,True,,0.31,-0.967,-3.226,True,False,0.293,1.104,,True,0.859,0.811,3.478,2,-1,-1,1.0,1.0,4.0,2.0,3,discount,1.0,True,6.0,4.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2020-03-02T07:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,0.29,0.41,0.27,marginal,False,0.763,,0.624,10.477143,8.416429,0.551,0,42.17,False,,,,,False,10,bearish,ambiguous,False,False,True,bullish,1610.47,False,False,False,INSIDE,intact,intact,intact,intact,4.298,3.961,PD,PW,False,,,,,,,,,,2.0,low,0.0,0.0,False,0,,"eq,sw,pd,pw",False,,,,,False,,,,,,False,,,,,False,,,,,False,,,False,,False,break,asia,high,False,2020-03-02T09:00:00+00:00,1,2020-03-02T09:00:00+00:00,LONG,,aligned,42.6,False,0,92.46,2.0201,no_fvg,London,London,True,False,OB only,1.0,,,0.3285,1689.25,1562.93,discount,both_discount,-1.103,0.478,0.426,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B7160,GOLD,2020-03-03T12:00:00+00:00,2020-03-03T12:00:00+00:00,2020-03-03T15:00:00+00:00,London,bearish,BOS BOS,proximal,1602.33,1602.83,1610.97,1610.975,1597.4,1596.9,1584.09,1583.59,0.54,2.36,1584.37,1.96,zone,,zone,1586.18,2.11,1584.09,2.36,zone,False,triple,sl,1610.975,-1.0,-1.0,-1.0,-250.0,True,,0.217,-0.518,-4.608,False,,7.235,,,,1.914,1.803,1.202,3,-1,-1,1.0,2.0,27.0,20.0,26,premium,0.0,,4.5,3.0,0.0,0.0,0.5,1.0,"structure,freshness",False,h1_only,2020-03-02T09:00:00+00:00,BOS,BOS,0,holding,False,none,False,1,0.52,1.2,1.2,marginal,,1.692,,4.198,4.516429,4.354286,0.467,2,46.091,False,,,,,False,12,bearish,counter_trend,True,False,True,bullish,1583.87,False,False,False,INSIDE,intact,intact,intact,intact,1.906,5.983,PD,PD,False,,,,,,,,,,0.0,low,0.0,0.0,False,0,,,False,,,,,False,,,,,,False,,,,,False,,,,,True,-0.008,bare,False,,False,none,none,none,False,2020-03-03T11:00:00+00:00,1,2020-03-02T15:00:00+00:00,SHORT,,aligned,68.2,False,1,71.89,1.0156,no_fvg,London,London,True,True,Both,0.536,,,0.3119,1689.25,1562.93,discount,mixed,1.572,0.544,0.344,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,1.0,Federal Funds Rate
B7161,GOLD,2020-03-03T18:00:00+00:00,2020-03-05T19:00:00+00:00,2020-03-06T00:00:00+00:00,NY,bearish,CHoCH CHoCH,proximal,1670.35,1670.85,1675.67,1675.6750000000002,1666.53,1666.03,,,1.0,,1666.53,1.0,wick,,,,,,,,False,triple,sl,1675.6750000000002,-1.0,-1.0,-1.0,-250.0,True,,0.329,-0.864,-3.04,True,False,0.048,1.744,,True,0.335,0.625,0.559,4,-1,-1,2.0,3.0,242.0,184.0,139,premium,1.0,True,6.0,4.0,0.0,1.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2020-02-24T17:00:00+00:00,CHoCH,CHoCH,0,holding,True,partial,False,0,0.99,1.13,0.76,marginal,False,0.271,0.67,1.768,15.917857,5.499286,0.468,0,26.31,False,,,,,False,18,bearish,counter_trend,True,False,True,bullish,1642.71,False,False,False,EXPANSION_UP,broken,intact,intact,intact,1.187,2.421,PW,PD,False,6.0,PD,,,2.421,2.0,True,,,4.0,high,0.0,1.0,False,0,,"eq,sw,pd,pw",False,,,,,False,,,,,,False,,,,,False,,,,,False,,,False,,False,none,none,none,False,2020-03-03T17:00:00+00:00,1,2020-02-24T19:00:00+00:00,SHORT,,aligned,110.2,False,0,72.33,1.1484,fresh,NY,NY,False,False,Neither,0.698,,,0.8504,1689.25,1562.93,premium,both_premium,0.481,0.372,1.0,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B7162,GOLD,2020-03-05T13:00:00+00:00,2020-03-06T15:00:00+00:00,2020-03-06T16:00:00+00:00,NY,bullish,Confirmation BOS,proximal,1643.28,1642.78,1636.64,1636.635,1649.57,1650.07,1679.53,1680.03,0.88,6.07,1659.87,2.32,zone,,zone,1658.28,2.61,1679.53,6.07,zone,False,triple,tp1,1649.57,0.947,0.88,6.07,236.75,True,,0.947,-0.0,1.0,,,,,,,1.674,1.548,1.71,1,1,4,1.0,0.0,32.0,26.0,6,discount,0.0,,8.0,4.0,0.0,2.0,1.0,1.0,"structure,fvg,freshness",False,h1_only,2020-03-05T07:00:00+00:00,BOS,Confirm,0,holding,True,pristine,False,0,0.8,1.17,1.17,marginal,,1.421,0.68,2.927,3.97,11.34,0.77,0,39.66,False,,,,,False,13,bullish,with_trend,True,False,False,,1654.4,False,False,False,SWEPT_HIGH,swept,intact,swept,intact,,2.383,,PD,False,1.0,PD,,,,,,,,68.0,low,0.0,0.0,False,0,,"eq,sw,pd,pw",False,,,,,False,,,,,,False,,,,,False,,,,,False,,,False,,True,break,asia,high,False,2020-03-05T12:00:00+00:00,1,2020-03-05T12:00:00+00:00,LONG,,aligned,49.0,False,1,91.89,1.8662,fresh,London,NY,True,True,Both,1.0,A First Pullback,premium,0.6361,1689.25,1562.93,premium,mixed,0.358,0.608,0.166,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B7163,GOLD,2020-03-06T12:00:00+00:00,2020-03-06T13:00:00+00:00,2020-03-06T14:00:00+00:00,London,bullish,BOS BOS,proximal,1674.75,1674.25,1667.29,1667.285,1680.71,1681.21,,,1.0,,1680.71,1.0,wick,,,,,,,,False,triple,tp1,1680.71,0.798,1.0,0.0,199.5,True,,0.798,-0.0,1.0,,,,,,,1.078,1.006,0.933,1,1,-1,1.0,0.0,6.0,4.0,5,premium,0.0,,7.0,3.0,0.0,2.0,1.0,1.0,"structure,fvg,freshness",False,h1_only,2020-03-06T07:00:00+00:00,BOS,BOS,2,holding,True,pristine,False,0,0.49,0.92,0.92,marginal,,0.933,0.321,2.267,6.922143,8.013571,0.328,0,55.502,False,,,,,False,12,bullish,with_trend,False,False,False,,1689.94,False,True,False,EXPANSION_UP,broken,intact,swept,intact,,5.913,,PD,False,2.0,PW,,,1.042,2.0,False,-0.037,False,21.0,high,0.0,1.0,False,0,,"eq,sw,pd,pw",False,,,,,False,,,,,,False,,,,,False,,,,,True,0.073,bare,False,,False,break,asia,high,False,2020-03-06T11:00:00+00:00,1,2020-03-06T09:00:00+00:00,LONG,,counter,72.9,False,2,79.07,1.4788,fresh,London,NY,True,True,Both,0.758,,,0.8852,1689.25,1562.93,premium,both_premium,-0.501,0.471,0.611,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",1.0,Non-Farm Employment Change,USD,1.0,Non-Farm Employment Change
B7164,GOLD,2020-03-06T16:00:00+00:00,2020-03-08T23:00:00+00:00,2020-03-08T23:00:00+00:00,NY,bearish,CHoCH CHoCH,proximal,1672.41,1672.91,1687.71,1687.715,1638.98,1638.48,,,2.12,,1634.32,2.41,zone,,,1638.86,2.33,,,,False,triple,sl,1687.715,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,False,,1.387,,,,1.35,1.306,2.992,0,-1,-1,,,57.0,7.0,2,premium,1.0,True,6.0,4.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2020-03-06T14:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,0.31,1.72,1.14,marginal,True,1.261,,2.728,11.34,15.704286,0.782,0,45.968,False,,,,,False,16,bullish,ambiguous,False,False,True,bearish,1641.97,False,False,False,INSIDE,intact,intact,intact,intact,1.735,2.684,PW,PD,False,,,,,3.58,2.0,True,,,1.0,low,0.0,1.0,True,0,11.0,"eq,sw,pd,pw",False,,,,,False,,,,,,True,0.061,2.567,4.169,True,False,,,,,True,0.196,bare,True,-0.455,False,none,none,none,False,2020-03-06T15:00:00+00:00,1,2020-03-06T15:00:00+00:00,SHORT,,aligned,68.8,False,0,98.22,2.9947,no_fvg,NY,Asia,True,False,OB only,,,,0.8667,1689.25,1562.93,premium,both_premium,0.155,0.497,0.269,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B7165,GOLD,2020-03-10T06:00:00+00:00,2020-03-10T06:00:00+00:00,2020-03-10T17:00:00+00:00,London,bearish,CHoCH CHoCH,proximal,1661.02,1661.52,1671.83,1671.835,1642.47,1641.97,1638.98,1638.48,1.64,2.23,1642.47,1.64,wick,,zone,1642.47,1.9,1638.98,2.23,zone,True,triple,sl,1661.02,0.0,1.64,0.0,0.0,True,,1.034,-0.602,0.0,True,True,0.086,1.147,2.0,True,1.214,1.158,2.138,11,13,-1,8.0,6.0,5.0,1.0,5,discount,0.0,False,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2020-03-10T01:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,1.12,1.48,0.99,marginal,False,1.101,,1.155,8.910714,8.886429,0.554,0,49.412,False,,,,,False,6,bullish,ambiguous,False,False,True,bearish,1651.23,False,False,False,INSIDE,intact,intact,swept,intact,4.761,0.405,PD,PD,True,24.0,PW,2.781,2.0,,,False,1.567,False,0.0,high,1.0,0.0,False,0,,"eq,sw,pd,pw",False,,,,,False,,,,,,False,,,,,False,,,,,False,,,True,-0.056,False,none,none,none,False,2020-03-10T05:00:00+00:00,1,2020-03-10T05:00:00+00:00,SHORT,False,counter,39.1,False,0,88.46,1.7388,no_fvg,Asia,London,False,True,Fill only,1.0,,,0.7339,1692.09,1575.31,premium,mixed,-1.93,0.518,0.577,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B7166,GOLD,2020-03-11T05:00:00+00:00,2020-03-11T06:00:00+00:00,2020-03-11T08:00:00+00:00,Asia,bullish,CHoCH CHoCH,proximal,1659.97,1659.47,1655.15,1655.145,1666.93,1667.43,1670.57,1671.07,1.31,2.69,1666.93,1.31,wick,,zone,1666.93,1.84,1670.57,2.69,zone,True,triple,sl,1659.97,0.0,1.31,2.69,0.0,True,,1.355,-0.0,0.0,False,,0.467,,,,0.606,0.543,0.936,2,5,6,1.0,0.0,4.0,2.0,3,discount,1.0,True,6.3,4.0,1.33,0.0,1.0,0.0,"structure,sweep,freshness",False,h1_only,2020-03-11T02:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,True,0,0.14,0.56,0.37,marginal,False,0.479,,0.605,7.967857,6.869286,0.319,0,46.323,False,,,,,False,5,bearish,ambiguous,False,False,True,bullish,1664.29,False,False,False,INSIDE,intact,intact,swept,intact,1.437,2.319,PD,PD,True,46.0,PW,0.949,2.0,,,True,,,0.0,low,2.0,0.0,True,1,7.0,"eq,sw,pd,pw",False,,,,,True,0.93,0.015,1.888,True,2.0,False,,,,,False,,,,,False,,,True,0.063,False,none,none,none,False,2020-03-11T04:00:00+00:00,1,2020-03-11T04:00:00+00:00,LONG,False,aligned,29.8,False,0,74.31,1.3801,no_fvg,Asia,London,False,True,Fill only,1.0,,,0.725,1692.09,1575.31,premium,mixed,-0.564,0.428,0.651,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B7167,GOLD,2020-03-12T13:00:00+00:00,2020-03-12T13:00:00+00:00,2020-03-12T13:00:00+00:00,NY,bullish,CHoCH CHoCH,proximal,1599.91,1599.41,1592.96,1592.955,1605.36,1605.86,,,1.0,,1605.36,1.0,wick,,,,,,,,False,triple,sl,1592.955,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,True,False,0.403,8.224,,True,0.403,0.696,0.641,0,-1,-1,,,223.0,160.0,165,discount,1.0,True,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2020-03-03T06:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,0.11,0.19,0.13,marginal,False,0.345,,,17.245714,10.692143,0.652,1,40.23,True,Core PPI m/m,USD,ff,2020-03-12T12:30:00+00:00,False,13,bearish,counter_trend,False,False,False,,,True,False,False,SWEPT_LOW,intact,swept,swept,intact,4.136,1.426,PD,PW,False,2.0,PD,4.98,2.0,,,True,,,7.0,low,1.0,0.0,False,0,,"eq,sw,pd,pw",False,,,,,False,,,,,,False,,,,,False,,,,,True,0.029,bare,False,,,sweep,asia,low,False,2020-03-12T12:00:00+00:00,1,2020-03-03T11:00:00+00:00,LONG,,aligned,-48.7,False,0,90.57,1.7488,no_fvg,Asia,NY,False,True,Fill only,,,,0.2107,1692.09,1575.31,discount,both_discount,1.375,0.529,0.628,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B7168,GOLD,2020-03-12T13:00:00+00:00,,,NY,bearish,BOS BOS,proximal,1631.94,1632.44,1640.02,1640.025,1598.57,1598.07,1597.4,1596.9,3.89,4.69,1593.95,4.43,zone,,zone,1597.66,4.65,1597.4,4.69,zone,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,0.871,0.817,3.65,0,-1,-1,,,,,3,discount,0.0,,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2020-03-12T10:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,1.92,2.24,2.24,solid,,0.763,,2.848,9.278571,,0.297,0,40.23,True,Core PPI m/m,USD,ff,2020-03-12T12:30:00+00:00,False,13,bearish,with_trend,False,False,False,,1606.01,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,False,0,,"eq,sw",False,,,,,False,,,,,,False,,,,,False,,,,,False,,,False,,False,sweep,asia,low,False,2020-03-12T12:00:00+00:00,1,2020-03-12T12:00:00+00:00,SHORT,,counter,39.8,False,2,,,no_fvg,London,NY,False,False,never_filled,1.0,,,0.4849,1692.09,1575.31,discount,both_discount,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
