setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,entry_raw,sl_raw,sl_initial,tp1,tp1_raw,tp2,tp2_raw,tp1_rr,tp2_rr,tp1_wick,tp1_wick_rr,tp1_zone_source,tp2_wick,tp2_zone_source,tp_wick,tp_wick_rr,tp_nextpool,tp_nextpool_rr,tp_nextpool_zone_source,tp2_collapsed_to_tp1,tp_targets,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,r_capture_ratio,sl_bar_was_sweep,sl_swept_then_tp1,sl_wick_depth_atr,sl_max_adverse_after_sweep_atr,bars_sl_to_tp1_touch,sl_recovered_to_entry,sl_distance_atr,sl_dist_atr_at_alert,tp_dist_atr_at_alert,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,event_candle_delta,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,is_mss,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,atr_at_fill,ob_body_ratio,ob_walkback_depth,chop_at_alert,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,trend_pd_agree,structure_ranging_at_alert,flip_pending_at_alert,flip_pending_dir_at_alert,leg_extreme_at_alert,leg_extreme_clipped,dr_ceiling_broken_at_ob,dr_floor_broken_at_ob,day_state_at_fill,pdh_status_at_fill,pdl_status_at_fill,pwh_status_at_fill,pwl_status_at_fill,dist_next_pool_above_atr,dist_next_pool_below_atr,next_pool_above_tier,next_pool_below_tier,trade_toward_pool,last_sweep_age_h1,last_sweep_tier,eqh_above_dist_atr,eqh_above_size,eql_below_dist_atr,eql_below_size,eq_trade_toward,eq_sl_gap_atr,eq_sl_at_risk,eq_last_sweep_age_h1,eq_last_sweep_side,eq_intact_above_count,eq_intact_below_count,sweep2_present,sweep2_tier,sweep2_level,sweep2_pierce_atr,sweep2_rejection_ratio,sweep2_follow_atr,sweep2_pools_swept,sweep2_rn_aligned,sweep2_rn_dist_atr,sweep2_eq_size,sweep2_age_at_alert_h1,sweep2_tiers_checked,setup_liq_stop_present,setup_liq_stop_offset_atr,setup_liq_stop_tier,setup_liq_tp_present,setup_liq_tp_offset_atr,setup_liq_legextreme_swept,session_level_event,session_level_which,session_level_side,session_level_pair_relevant,alert_bar_ts,alert_seq,bos_timestamp,bias,be_arm_bar_touched_entry,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,leg_er_at_alert,setup_badge,setup_badge_kind,weekly_pd_position_at_alert,weekly_range_high_at_alert,weekly_range_low_at_alert,weekly_pd_zone_at_alert,pd_zone_agreement_at_alert,approach_speed_atr_at_fill,approach_body_ratio_at_fill,approach_er_at_fill,killzone_blocked,killzone_windows,news_fill,news_fill_event,news_fill_ccy,news_open,news_open_event
B4838,NZDUSD,2024-01-02T12:00:00+00:00,,,London,bearish,BOS BOS,proximal,0.63024,0.63044,0.63175,0.63195,0.62838,0.62818,0.62545,0.62525,1.73,3.96,0.62627,3.34,zone,,zone,0.62664,3.05,0.62545,3.96,zone,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.387,1.225,1.671,0,-1,-1,,,3,discount,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2024-01-02T09:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.99,2.17,2.17,solid,,0.9,,1.89,0.001233,,0.495,0,50.106,False,,,,,False,12,bearish,with_trend,False,False,False,,0.62772,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,0,,,,,"pd,pw,eq,sw",True,-0.219,bare,False,,False,sweep,asia,high,True,2024-01-02T11:00:00+00:00,1,2024-01-02T11:00:00+00:00,SHORT,,counter,31.0,False,2,no_fvg,London,London,False,False,never_filled,1.0,,,0.3353,0.63692,0.62687,discount,both_discount,,,,False,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B4839,NZDUSD,2024-01-03T12:00:00+00:00,2024-01-04T04:00:00+00:00,2024-01-04T07:00:00+00:00,London,bearish,Range BOS,proximal,0.62668,0.62688,0.62779,0.6279899999999999,0.62545,0.62525,,,1.79,,0.62406,3.32,zone,,,0.62434,3.01,,,,False,triple,sl,0.6279899999999999,-1.0,-1.0,-1.0,-250.0,True,,0.565,-0.565,-1.77,True,True,0.562,0.0,3.0,True,1.415,1.199,1.545,3,-1,-1,22.0,17.0,6,premium,0.0,,8.0,4.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2024-01-03T06:00:00+00:00,BOS,Range,0,holding,True,pristine,False,0,0.26,1.13,1.13,marginal,,0.767,0.281,3.36,0.000926,0.001242,0.662,0,50.312,False,,,,,False,12,bearish,with_trend,True,False,False,,0.62419,False,False,True,INSIDE,intact,intact,intact,broken,0.983,5.196,PD,PD,False,22.0,PW,,,,,,,,20.0,high,0.0,0.0,False,,,,,,0,,,,,"pd,pw,eq,sw",True,-0.432,bare,False,,False,sweep,asia,high,True,2024-01-03T11:00:00+00:00,1,2024-01-03T11:00:00+00:00,SHORT,,aligned,73.2,False,1,fresh,Asia,Asia,False,True,Fill only,1.0,,,-0.0189,0.63692,0.62687,discount,mixed,2.636,0.628,0.444,False,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B4840,NZDUSD,2024-01-04T08:00:00+00:00,,,London,bearish,BOS BOS,proximal,0.63024,0.63044,0.63175,0.63195,0.62933,0.62913,,,1.0,,0.62933,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.387,1.304,0.959,0,-1,-1,,,47,discount,0.0,,6.0,3.0,0.0,1.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2024-01-02T09:00:00+00:00,BOS,BOS,0,holding,True,partial,False,0,0.99,2.17,2.17,solid,,0.9,1.533,1.89,0.001233,,0.495,0,35.076,False,,,,,False,8,bearish,counter_trend,False,False,True,bullish,0.62448,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,0,,,,,"pd,pw,eq,sw",True,-0.219,bare,False,,False,sweep,asia,high,True,2024-01-04T07:00:00+00:00,2,2024-01-02T11:00:00+00:00,SHORT,,counter,31.0,False,2,fresh,London,London,False,False,never_filled,0.647,,,0.3353,0.63692,0.62687,discount,both_discount,,,,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B4841,NZDUSD,2024-01-05T11:00:00+00:00,2024-01-05T12:00:00+00:00,2024-01-05T13:00:00+00:00,London,bearish,BOS BOS,proximal,0.62184,0.62204,0.62371,0.62391,0.62057,0.62037,,,1.0,,0.62057,1.0,wick,,,,,,,,False,triple,tp1,0.62057,0.614,1.0,0.0,153.5,True,,0.614,-0.0,1.0,,,,,,,1.82,1.644,1.293,1,1,-1,5.0,2.0,4,discount,0.0,,6.0,3.0,1.0,0.0,2.0,0.0,"structure,sweep,freshness",False,h1_only,2024-01-05T07:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.37,0.48,0.48,marginal,,1.293,,5.98,0.001137,0.001049,0.231,0,57.617,False,,,,,False,11,bearish,with_trend,False,False,False,,0.62087,False,False,True,EXPANSION_DOWN,intact,broken,intact,broken,5.866,,PD,,False,3.0,PD,,,,,,,,24.0,high,0.0,0.0,True,PD,0.62759,0.141,73.0,5.91,3,False,-2.119,,26.0,"pd,eq,sw",True,-0.352,bare,False,,False,sweep,asia,high,True,2024-01-05T10:00:00+00:00,1,2024-01-05T10:00:00+00:00,SHORT,,counter,12.7,False,2,no_fvg,London,London,False,True,Fill only,1.0,,,-0.5005,0.63692,0.62687,discount,both_discount,-0.686,0.278,0.592,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",1.0,Average Hourly Earnings m/m,USD,1.0,Average Hourly Earnings m/m
B4842,NZDUSD,2024-01-05T16:00:00+00:00,,,NY,bearish,BOS BOS,proximal,0.63024,0.63044,0.63175,0.63195,0.62933,0.62913,,,1.0,,0.62933,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.387,0.939,0.69,0,-1,-1,,,79,discount,0.0,,6.0,3.0,0.0,1.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2024-01-02T09:00:00+00:00,BOS,BOS,0,holding,True,partial,False,0,0.99,2.17,2.17,solid,,0.9,1.533,1.89,0.001233,,0.495,0,36.364,False,,,,,False,16,bearish,counter_trend,False,False,True,bullish,0.62448,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,0,,,,,"pd,pw,eq,sw",True,-0.219,bare,False,,False,sweep,asia,high,True,2024-01-05T15:00:00+00:00,3,2024-01-02T11:00:00+00:00,SHORT,,counter,31.0,False,2,fresh,London,NY,False,False,never_filled,0.647,,,0.3353,0.63692,0.62687,discount,both_discount,,,,False,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B4843,NZDUSD,2024-01-05T16:00:00+00:00,2024-01-08T08:00:00+00:00,2024-01-09T00:00:00+00:00,NY,bullish,CHoCH CHoCH,proximal,0.62236,0.62216,0.62067,0.6204700000000001,0.62583,0.62603,0.63014,0.63034,2.6,5.49,0.62831,4.26,zone,,zone,0.62783,3.94,0.63014,5.49,zone,False,triple,tp1,0.62583,1.836,2.6,0.0,459.0,True,,1.836,-0.598,1.0,,,,,,,1.175,1.051,2.282,16,16,-1,70.0,17.0,6,discount,1.0,True,8.0,4.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2024-01-05T10:00:00+00:00,CHoCH,CHoCH,0,holding,True,pristine,False,0,1.96,2.1,1.4,marginal,True,0.802,0.702,0.914,0.001609,0.000994,0.426,1,36.364,False,,,,,False,16,bearish,ambiguous,False,False,True,bullish,0.62776,False,False,False,INSIDE,intact,intact,intact,intact,3.357,2.667,PD,PW,False,,,,,,,,,,6.0,high,0.0,0.0,False,,,,,,0,,,,,,False,,,False,,False,sweep,asia,low,True,2024-01-05T15:00:00+00:00,1,2024-01-05T15:00:00+00:00,LONG,False,aligned,9.6,False,0,fresh,London,London,False,False,Neither,0.936,,,-0.4488,0.63692,0.62687,discount,both_discount,-0.044,0.541,0.456,False,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B4844,NZDUSD,2024-01-08T09:00:00+00:00,2024-01-08T14:00:00+00:00,2024-01-08T16:00:00+00:00,London,bearish,BOS BOS,proximal,0.62335,0.62355,0.62471,0.62491,0.62232,0.62212,,,1.23,,0.61827,4.72,zone,,,0.61857,4.47,,,,False,triple,sl,0.62491,-1.0,-1.0,-1.0,-250.0,True,,0.154,-0.776,-6.494,True,True,0.322,1.76,30.0,True,1.569,1.368,1.237,2,-1,-1,8.0,6.0,3,discount,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2024-01-08T06:00:00+00:00,BOS,BOS,0,holding,True,pristine,False,0,0.42,0.55,0.55,marginal,,0.966,0.141,2.816,0.000994,0.001177,0.885,0,41.818,False,,,,,False,9,bearish,with_trend,False,False,False,,0.62184,False,False,False,INSIDE,intact,intact,intact,intact,4.435,5.31,PD,PW,False,,,,,,,,,,12.0,high,0.0,0.0,False,,,,,,0,,,,,"pd,pw,eq,sw",False,,,False,,False,sweep,asia,low,True,2024-01-08T08:00:00+00:00,1,2024-01-08T08:00:00+00:00,SHORT,,counter,37.6,False,1,fresh,Asia,NY,False,True,Fill only,1.0,,,0.3705,0.63232,0.61807,discount,both_discount,-0.795,0.628,0.482,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B4845,NZDUSD,2024-01-08T17:00:00+00:00,2024-01-08T22:00:00+00:00,2024-01-08T23:00:00+00:00,NY,bullish,CHoCH CHoCH,proximal,0.62278,0.62258,0.62111,0.6209100000000001,0.62437,0.62457,,,1.35,,0.62587,2.37,zone,,,0.6255,2.12,,,,False,triple,tp1,0.62437,0.85,1.35,0.0,212.5,True,,0.85,-0.0,1.0,,,,,,,1.533,1.369,1.467,1,1,-1,9.0,6.0,4,discount,1.0,True,9.0,4.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2024-01-08T13:00:00+00:00,CHoCH,CHoCH,0,holding,True,pristine,False,0,0.04,0.62,0.42,marginal,False,1.041,0.434,1.172,0.00122,0.001276,0.339,0,51.485,False,,,,,False,17,bearish,ambiguous,False,False,True,bullish,0.62523,False,False,False,INSIDE,intact,intact,intact,intact,2.697,1.27,PD,PD,False,,,,,,,,,,0.0,high,0.0,0.0,False,,,,,,0,,,,,"pd,pw,eq,sw",True,0.262,bare,False,,False,break,asia,high,True,2024-01-08T16:00:00+00:00,1,2024-01-08T16:00:00+00:00,LONG,,aligned,32.0,False,0,fresh,NY,Other,True,False,OB only,1.0,,,0.3305,0.63232,0.61807,discount,both_discount,-0.475,0.389,0.293,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B4846,NZDUSD,2024-01-09T16:00:00+00:00,2024-01-09T16:00:00+00:00,2024-01-09T18:00:00+00:00,NY,bearish,CHoCH CHoCH,proximal,0.62349,0.62369,0.62501,0.6252099999999999,0.62276,0.62256,,,0.86,,0.62276,0.86,wick,,,0.62276,0.86,,,,True,triple,tp1,0.62276,0.424,0.86,0.0,106.0,True,,0.424,-0.308,1.0,,,,,,,1.583,1.399,0.856,2,2,-1,3.0,1.0,3,discount,1.0,True,7.0,4.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2024-01-09T13:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,0.04,0.55,0.37,marginal,False,1.031,,0.884,0.001086,0.001129,0.295,0,55.992,False,,,,,False,16,bullish,ambiguous,False,False,True,bearish,0.62308,False,False,False,SWEPT_HIGH,swept,intact,intact,intact,8.128,2.08,PW,PD,True,12.0,PD,,,,,,,,0.0,low,0.0,0.0,False,,,,,,0,,,,,"pd,pw,eq,sw",False,,,True,-0.184,True,sweep,asia,low,True,2024-01-09T15:00:00+00:00,1,2024-01-09T15:00:00+00:00,SHORT,,counter,41.6,False,0,no_fvg,NY,NY,True,True,Both,1.0,,,0.3804,0.63232,0.61807,discount,both_discount,-0.884,0.504,0.428,False,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B4847,NZDUSD,2024-01-10T05:00:00+00:00,2024-01-10T05:00:00+00:00,2024-01-10T13:00:00+00:00,Asia,bullish,BOS BOS,proximal,0.62425,0.62405,0.62303,0.62283,0.62559,0.62579,0.62562,0.62582,1.71,1.74,0.62559,1.71,wick,,zone,0.62559,1.71,0.62562,1.74,zone,True,triple,sl,0.62283,-1.0,-1.0,-1.0,-250.0,True,,0.817,-0.923,-1.224,False,False,0.415,,18.0,,1.404,1.206,1.523,8,-1,-1,5.0,1.0,5,premium,0.0,,6.0,3.0,1.0,0.0,2.0,0.0,"structure,sweep,freshness",False,h1_only,2024-01-10T00:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.02,0.36,0.36,marginal,,0.811,,2.501,0.001011,0.00096,0.341,1,45.176,False,,,,,False,5,bullish,with_trend,False,False,False,,0.62484,False,False,False,SWEPT_LOW,intact,swept,intact,intact,2.383,6.11,PD,PW,True,6.0,PD,,,,,,,,3.0,low,0.0,0.0,True,SW,0.62259,0.821,13.846,2.225,2,False,-2.383,,6.0,"pd,eq,sw",False,,,True,0.198,False,sweep,asia,high,True,2024-01-10T04:00:00+00:00,1,2024-01-10T04:00:00+00:00,LONG,,counter,50.8,False,1,no_fvg,Asia,Asia,False,False,Neither,0.75,,,0.4337,0.63232,0.61807,discount,mixed,-0.277,0.335,0.478,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
