setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,fvg_present,sweep_present,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,alert_bar_ts,alert_seq,bos_timestamp,bias,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,break_tier,break_close_atr,break_excess,break_body_atr,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,killzone_blocked,killzone_windows
T0001,GBPUSD,2025-01-06T09:00:00+00:00,2025-01-08T09:00:00+00:00,2025-01-08T11:00:00+00:00,London,bullish,CHoCH CHoCH,proximal,1.24407,1.24276,1.25317,,8.2,,sl,1.24276,-1.0,-1.0,-1.0,-250.0,True,,1.0,-8.878,2,-1,-1,6,premium,0.0,False,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-01-06T03:00:00+00:00,CHoCH,CHoCH,True,False,False,,,,,False,9,bearish,against_trend,2025-01-06T08:00:00+00:00,1,2025-01-06T07:00:00+00:00,LONG,counter,68.0,False,0,marginal,4.89,1.33,1.99,fresh,Asia,London,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0002,GBPUSD,2025-01-06T09:00:00+00:00,2025-01-08T11:00:00+00:00,2025-01-08T11:00:00+00:00,London,bullish,CHoCH CHoCH,50pct,1.24362,1.24276,1.25317,,14.47,,sl,1.24276,-1.0,-1.0,-1.0,-250.0,True,,1.244,-13.0,0,-1,-1,6,premium,0.0,False,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-01-06T03:00:00+00:00,CHoCH,CHoCH,True,False,False,,,,,False,9,bearish,against_trend,2025-01-06T08:00:00+00:00,1,2025-01-06T07:00:00+00:00,LONG,counter,64.5,False,0,marginal,4.89,1.33,1.99,fresh,Asia,London,False,False,Neither,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0003,GBPUSD,2025-01-06T12:00:00+00:00,,,London,bearish,CHoCH CHoCH,proximal,1.25887,1.2610999999999999,1.25524,1.25413,1.79,2.33,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,97,premium,1.0,True,7.0,4.0,0.0,1.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2024-12-30T11:00:00+00:00,CHoCH,CHoCH,True,False,False,,,,,False,12,bearish,with_trend,2025-01-06T11:00:00+00:00,1,2024-12-30T15:00:00+00:00,SHORT,aligned,131.2,False,0,marginal,2.55,1.44,2.16,fresh,London,London,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0004,GBPUSD,2025-01-06T12:00:00+00:00,,,London,bearish,CHoCH CHoCH,50pct,1.25978,1.2610999999999999,1.25524,1.25413,4.054,5.045,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,97,premium,1.0,True,7.0,4.0,0.0,1.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2024-12-30T11:00:00+00:00,CHoCH,CHoCH,True,False,False,,,,,False,12,bearish,with_trend,2025-01-06T11:00:00+00:00,1,2024-12-30T15:00:00+00:00,SHORT,aligned,145.7,False,0,marginal,2.55,1.44,2.16,fresh,London,London,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0005,GBPUSD,2025-01-06T12:00:00+00:00,2025-01-06T14:00:00+00:00,2025-01-06T14:00:00+00:00,London,bullish,CHoCH CHoCH,proximal,1.24912,1.24668,1.25317,,1.81,,sl,1.24668,-1.0,-1.0,-1.0,-250.0,True,,1.877,-1.057,0,-1,-1,3,premium,0.0,False,5.0,3.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2025-01-06T09:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,12,bearish,against_trend,2025-01-06T11:00:00+00:00,1,2025-01-06T10:00:00+00:00,LONG,counter,71.2,False,0,strong,3.88,2.67,4.0,no_fvg,London,NY,True,True,Both,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0006,GBPUSD,2025-01-06T12:00:00+00:00,2025-01-06T14:00:00+00:00,2025-01-06T14:00:00+00:00,London,bullish,CHoCH CHoCH,50pct,1.2481,1.24668,1.25317,,4.156,,sl,1.24668,-1.0,-1.0,-1.0,-250.0,True,,3.944,-1.099,0,-1,-1,3,premium,0.0,False,5.0,3.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2025-01-06T09:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,12,bearish,against_trend,2025-01-06T11:00:00+00:00,1,2025-01-06T10:00:00+00:00,LONG,counter,65.9,False,0,strong,3.88,2.67,4.0,no_fvg,London,NY,True,True,Both,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0007,GBPUSD,2025-01-07T12:00:00+00:00,2025-01-07T15:00:00+00:00,2025-01-07T15:00:00+00:00,London,bullish,Confirmation BOS,proximal,1.25188,1.2505,1.25387,,1.69,,sl,1.2505,-1.0,-1.0,-1.0,-250.0,True,,0.993,-2.797,0,-1,-1,11,premium,0.0,,8.0,4.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-01-06T23:00:00+00:00,BOS,Confirm,True,False,False,,,,,False,12,bullish,with_trend,2025-01-07T11:00:00+00:00,1,2025-01-07T10:00:00+00:00,LONG,counter,83.8,False,1,marginal,0.51,1.27,1.27,fresh,Other,NY,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0008,GBPUSD,2025-01-07T12:00:00+00:00,2025-01-07T15:00:00+00:00,2025-01-07T15:00:00+00:00,London,bullish,Confirmation BOS,50pct,1.25139,1.2505,1.25387,,3.594,,sl,1.2505,-1.0,-1.0,-1.0,-250.0,True,,2.09,-3.787,0,-1,-1,11,premium,0.0,,8.0,4.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-01-06T23:00:00+00:00,BOS,Confirm,True,False,False,,,,,False,12,bullish,with_trend,2025-01-07T11:00:00+00:00,1,2025-01-07T10:00:00+00:00,LONG,counter,81.4,False,1,marginal,0.51,1.27,1.27,fresh,Other,NY,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0009,GBPUSD,2025-01-08T08:00:00+00:00,,,London,bearish,CHoCH CHoCH,proximal,1.24845,1.24977,1.24677,,1.5,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,2,discount,1.0,True,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2025-01-08T06:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,8,bullish,against_trend,2025-01-08T07:00:00+00:00,1,2025-01-08T07:00:00+00:00,SHORT,counter,16.7,False,0,marginal,1.13,1.29,1.93,no_fvg,Asia,London,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0010,GBPUSD,2025-01-08T08:00:00+00:00,,,London,bearish,CHoCH CHoCH,50pct,1.24891,1.24977,1.24677,,3.242,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,2,discount,1.0,True,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2025-01-08T06:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,8,bullish,against_trend,2025-01-08T07:00:00+00:00,1,2025-01-08T07:00:00+00:00,SHORT,counter,21.2,False,0,marginal,1.13,1.29,1.93,no_fvg,Asia,London,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
