setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_raw,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,sl_was_swept,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,alert_bar_ts,alert_seq,bos_timestamp,bias,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,killzone_blocked,killzone_windows
A1288,EURUSD,2025-01-02T11:00:00+00:00,2025-01-06T09:00:00+00:00,2025-01-06T11:00:00+00:00,London,bearish,BOS BOS,proximal,1.03576,1.03731,1.03751,1.03136,,2.84,,sl,1.03576,0.0,-1.0,-1.0,0.0,True,,1.286,-0.634,True,2,-1,-1,103.0,47.0,9,premium,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2025-01-02T02:00:00+00:00,BOS,BOS,holding,False,full,False,0,1.97,2.48,2.48,solid,0.961,,1.431,0.001404,False,,,,,False,11,bearish,with_trend,2025-01-02T10:00:00+00:00,1,2025-01-02T10:00:00+00:00,SHORT,aligned,70.9,False,3,fresh,Asia,London,False,True,Fill only,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1289,EURUSD,2025-01-06T06:00:00+00:00,,,Asia,bullish,CHoCH CHoCH,proximal,1.02936,1.02771,1.02751,1.03645,,4.3,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,0,-1,-1,,,20,premium,0.0,False,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2025-01-03T10:00:00+00:00,CHoCH,CHoCH,holding,False,none,False,1,2.4,1.65,1.1,marginal,1.531,,0.824,0.000947,False,,,,,False,6,bearish,against_trend,2025-01-06T05:00:00+00:00,1,2025-01-03T11:00:00+00:00,LONG,counter,74.0,False,0,no_fvg,London,Asia,False,False,never_filled,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1290,EURUSD,2025-01-06T08:00:00+00:00,2025-01-08T08:00:00+00:00,2025-01-08T11:00:00+00:00,London,bullish,Confirmation BOS,proximal,1.0318,1.03064,1.03044,1.03645,,4.01,,sl,1.03044,-1.0,-1.0,-1.0,-250.0,True,,1.588,-0.588,False,3,-1,-1,51.0,47.0,3,premium,0.0,,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2025-01-06T05:00:00+00:00,BOS,Confirm,holding,False,none,False,0,1.92,1.61,1.61,solid,1.046,,4.696,0.000918,False,,,,,False,8,bullish,with_trend,2025-01-06T07:00:00+00:00,1,2025-01-06T07:00:00+00:00,LONG,counter,90.1,False,1,no_fvg,Asia,London,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1291,EURUSD,2025-01-06T12:00:00+00:00,,,London,bearish,BOS BOS,proximal,1.04368,1.04542,1.04562,1.04092,,1.59,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,0,-1,-1,,,97,premium,0.0,,6.0,3.0,0.0,1.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2024-12-30T11:00:00+00:00,BOS,BOS,holding,True,partial,False,0,2.09,1.8,1.8,solid,1.095,2.154,1.827,0.001406,False,,,,,False,12,bearish,with_trend,2025-01-06T11:00:00+00:00,1,2024-12-30T15:00:00+00:00,SHORT,aligned,81.3,False,1,fresh,London,London,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1292,EURUSD,2025-01-08T08:00:00+00:00,,,London,bearish,CHoCH CHoCH,proximal,1.03495,1.03578,1.03598,1.03364,,1.58,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,0,-1,-1,,,3,discount,1.0,True,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2025-01-08T05:00:00+00:00,CHoCH,CHoCH,holding,False,none,False,1,2.65,2.02,1.34,marginal,0.676,,0.923,0.000932,False,,,,,False,8,bullish,against_trend,2025-01-08T07:00:00+00:00,1,2025-01-08T06:00:00+00:00,SHORT,counter,20.0,False,0,no_fvg,Asia,London,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1293,EURUSD,2025-01-10T04:00:00+00:00,,,Asia,bearish,BOS BOS,proximal,1.0314,1.03219,1.03239,1.02955,1.02921,2.34,2.77,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,0,-1,-1,,,26,discount,0.0,,3.0,3.0,0.0,0.0,0.0,0.0,structure,False,h1_only,2025-01-09T02:00:00+00:00,BOS,BOS,holding,False,full,False,2,0.64,1.33,1.33,marginal,0.791,,2.602,0.000746,False,,,,,False,4,bearish,with_trend,2025-01-10T03:00:00+00:00,1,2025-01-09T06:00:00+00:00,SHORT,counter,20.2,False,2,stale,Asia,Asia,False,False,never_filled,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1294,EURUSD,2025-01-10T06:00:00+00:00,2025-01-10T13:00:00+00:00,2025-01-10T13:00:00+00:00,Asia,bullish,BOS BOS,proximal,1.02708,1.0265,1.0263,1.03028,,5.52,,sl,1.0263,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,False,0,-1,-1,177.0,123.0,120,discount,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2025-01-03T04:00:00+00:00,BOS,BOS,holding,False,full,False,0,0.69,1.18,1.18,marginal,0.453,,8.336,0.000839,False,,,,,False,6,bearish,against_trend,2025-01-10T05:00:00+00:00,1,2025-01-03T08:00:00+00:00,LONG,aligned,-8.5,False,1,stale,Asia,NY,False,True,Fill only,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1295,EURUSD,2025-01-10T06:00:00+00:00,2025-01-10T07:00:00+00:00,2025-01-10T08:00:00+00:00,Asia,bearish,BOS BOS,proximal,1.02937,1.03062,1.03082,1.02732,,1.64,,sl,1.03082,-1.0,-1.0,-1.0,-250.0,True,,0.869,-0.234,True,1,-1,-1,6.0,2.0,5,discount,0.0,,6.0,3.0,1.0,0.0,2.0,0.0,"structure,sweep,freshness",False,h1_only,2025-01-10T01:00:00+00:00,BOS,BOS,holding,False,none,True,0,0.9,1.32,1.32,marginal,1.476,,1.588,0.000711,False,,,,,False,6,bearish,with_trend,2025-01-10T05:00:00+00:00,1,2025-01-10T05:00:00+00:00,SHORT,counter,6.7,False,3,no_fvg,Asia,London,False,True,Fill only,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1296,EURUSD,2025-01-10T14:00:00+00:00,,,NY,bearish,BOS BOS,proximal,1.0299,1.03112,1.03132,1.02732,,2.11,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,0,-1,-1,,,2,premium,0.0,,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2025-01-10T12:00:00+00:00,BOS,BOS,holding,False,none,False,0,1.58,3.13,3.13,strong,0.652,,1.425,0.001565,False,,,,,False,14,bearish,with_trend,2025-01-10T13:00:00+00:00,1,2025-01-10T13:00:00+00:00,SHORT,aligned,87.2,False,3,no_fvg,London,NY,True,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1297,EURUSD,2025-01-13T04:00:00+00:00,2025-01-13T08:00:00+00:00,2025-01-13T09:00:00+00:00,Asia,bearish,BOS BOS,proximal,1.02248,1.0248,1.025,1.02128,,0.52,,tp1,1.02128,0.476,0.52,0.0,119.0,True,,1.889,-0.25,,1,1,-1,10.0,5.0,6,discount,0.0,,6.0,3.0,1.0,0.0,2.0,0.0,"structure,sweep,freshness",False,h1_only,2025-01-12T22:00:00+00:00,BOS,BOS,holding,False,none,True,0,0.57,1.45,1.45,marginal,1.24,,4.598,0.001709,False,,,,,False,4,bearish,with_trend,2025-01-13T03:00:00+00:00,1,2025-01-13T03:00:00+00:00,SHORT,counter,12.1,False,3,no_fvg,Other,London,False,True,Fill only,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
