setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_raw,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,sl_bar_was_sweep,sl_swept_then_tp1,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,alert_bar_ts,alert_seq,bos_timestamp,bias,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,setup_badge,setup_badge_kind,killzone_blocked,killzone_windows
A2570,EURUSD,2025-04-01T07:00:00+00:00,2025-04-01T11:00:00+00:00,2025-04-01T14:00:00+00:00,London,bullish,CHoCH CHoCH,proximal,1.07791,1.07655,1.07635,1.07999,,1.53,,tp1,1.07999,1.333,1.53,19.429,333.25,True,,1.333,-0.0,,,3,3,-1,97.0,46.0,45,discount,1.0,True,7.0,4.0,0.0,1.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-03-28T10:00:00+00:00,CHoCH,CHoCH,holding,True,partial,False,0,1.62,1.52,1.01,marginal,0.81,0.664,0.713,0.001431,False,,,,,False,7,bearish,against_trend,2025-04-01T06:00:00+00:00,1,2025-03-28T13:00:00+00:00,LONG,aligned,-7.4,False,0,fresh,London,London,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A2571,EURUSD,2025-04-01T07:00:00+00:00,2025-04-02T14:00:00+00:00,2025-04-02T14:00:00+00:00,London,bearish,BOS BOS,proximal,1.08311,1.08383,1.08403,1.082,,1.54,,sl,1.08403,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,False,False,0,-1,-1,58.0,47.0,27,premium,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2025-03-31T04:00:00+00:00,BOS,BOS,holding,False,none,False,0,1.19,1.96,1.96,solid,0.577,,3.461,0.000901,False,,,,,False,7,bearish,with_trend,2025-04-01T06:00:00+00:00,1,2025-03-31T15:00:00+00:00,SHORT,aligned,101.9,False,1,no_fvg,Asia,NY,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A2572,EURUSD,2025-04-01T12:00:00+00:00,2025-04-01T14:00:00+00:00,2025-04-02T13:00:00+00:00,London,bearish,BOS BOS,proximal,1.08004,1.08204,1.0822399999999999,1.07655,,1.74,,sl,1.0822399999999999,-1.0,-1.0,-1.0,-250.0,True,,0.923,-0.886,False,False,23,-1,-1,6.0,3.0,4,discount,0.0,,8.0,3.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2025-04-01T08:00:00+00:00,BOS,BOS,holding,True,pristine,False,0,1.38,1.33,1.33,marginal,1.422,1.288,2.481,0.001266,False,,,,,False,12,bearish,with_trend,2025-04-01T11:00:00+00:00,1,2025-04-01T11:00:00+00:00,SHORT,counter,42.5,False,2,fresh,London,NY,True,True,Both,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A2573,EURUSD,2025-04-01T18:00:00+00:00,2025-04-02T14:00:00+00:00,2025-04-02T14:00:00+00:00,NY,bearish,BOS BOS,proximal,1.08364,1.08572,1.08592,1.0805,1.07988,1.51,1.81,sl,1.08592,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,True,True,0,-1,-1,220.0,169.0,152,premium,0.0,,3.0,3.0,0.0,0.0,0.0,0.0,structure,False,h1_only,2025-03-24T10:00:00+00:00,BOS,BOS,holding,False,full,False,2,1.42,2.22,2.22,solid,1.145,,1.419,0.001642,False,,,,,False,18,bearish,with_trend,2025-04-01T17:00:00+00:00,1,2025-03-24T13:00:00+00:00,SHORT,aligned,113.4,False,3,stale,London,NY,False,True,Fill only,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A2574,EURUSD,2025-04-02T15:00:00+00:00,2025-04-02T22:00:00+00:00,2025-04-02T23:00:00+00:00,NY,bullish,CHoCH CHoCH,proximal,1.08071,1.07839,1.07819,1.08451,,1.64,,tp1,1.08451,1.508,1.64,7.02,377.0,True,,1.508,-0.0,,,1,1,-1,12.0,9.0,5,discount,1.0,True,8.0,4.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-04-02T10:00:00+00:00,CHoCH,CHoCH,holding,True,pristine,False,0,1.69,2.18,1.45,marginal,1.47,0.562,0.562,0.001442,False,,,,,False,15,bearish,against_trend,2025-04-02T14:00:00+00:00,1,2025-04-02T13:00:00+00:00,LONG,aligned,33.1,False,0,fresh,London,Other,False,False,Neither,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A2575,EURUSD,2025-04-02T16:00:00+00:00,2025-04-02T20:00:00+00:00,2025-04-02T20:00:00+00:00,NY,bearish,Confirmation BOS,proximal,1.09054,1.09196,1.09216,1.08824,,1.62,,sl,1.09216,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,True,True,0,-1,-1,330.0,225.0,230,premium,0.0,,8.0,4.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-03-20T02:00:00+00:00,BOS,Confirm,holding,True,pristine,False,0,0.69,1.05,1.05,marginal,0.846,0.229,5.533,0.001442,False,,,,,False,16,bearish,with_trend,2025-04-02T15:00:00+00:00,1,2025-03-20T11:00:00+00:00,SHORT,aligned,153.7,False,1,fresh,Asia,NY,False,False,Neither,A First Pullback,premium,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A2576,EURUSD,2025-04-03T06:00:00+00:00,2025-04-06T21:00:00+00:00,2025-04-06T21:00:00+00:00,Asia,bullish,BOS BOS,proximal,1.09169,1.09036,1.09016,1.09453,,2.14,,sl,1.09016,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,True,True,0,-1,-1,89.0,40.0,2,premium,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2025-04-03T04:00:00+00:00,BOS,BOS,holding,False,none,False,0,0.58,1.09,1.09,marginal,0.334,,3.547,0.00338,False,,,,,False,6,bullish,with_trend,2025-04-03T05:00:00+00:00,1,2025-04-03T05:00:00+00:00,LONG,counter,79.6,False,7,no_fvg,Asia,Other,False,False,Neither,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A2577,EURUSD,2025-04-04T15:00:00+00:00,,,NY,bullish,CHoCH CHoCH,proximal,1.08564,1.08449,1.08429,1.08745,,1.57,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,0,-1,-1,,,44,discount,1.0,True,8.0,4.0,1.0,2.0,1.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2025-04-02T19:00:00+00:00,CHoCH,CHoCH,holding,True,pristine,True,1,1.56,2.81,1.87,solid,0.406,1.694,0.346,0.002338,False,,,,,False,15,bullish,with_trend,2025-04-04T14:00:00+00:00,1,2025-04-02T22:00:00+00:00,LONG,aligned,20.8,False,0,fresh,NY,NY,False,False,never_filled,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A2578,EURUSD,2025-04-10T15:00:00+00:00,,,NY,bullish,BOS BOS,proximal,1.10889,1.10655,1.10635,1.1147,,2.48,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,0,-1,-1,,,4,premium,0.0,,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2025-04-10T11:00:00+00:00,BOS,BOS,holding,False,none,False,0,0.99,1.84,1.84,solid,0.669,,4.132,0.003199,False,,,,,False,15,bullish,with_trend,2025-04-10T14:00:00+00:00,1,2025-04-10T13:00:00+00:00,LONG,counter,64.3,False,3,no_fvg,London,NY,True,False,never_filled,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A2579,EURUSD,2025-04-11T09:00:00+00:00,2025-04-11T10:00:00+00:00,2025-04-11T15:00:00+00:00,London,bullish,BOS BOS,proximal,1.13234,1.12688,1.1266800000000001,1.1474,,2.76,,sl,1.13234,0.0,0.742,0.742,0.0,True,,1.576,-0.0,True,False,5,-1,-1,5.0,2.0,4,premium,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-04-11T05:00:00+00:00,BOS,BOS,holding,True,pristine,False,0,0.74,1.09,1.09,marginal,0.916,1.038,7.346,0.005739,False,,,,,False,9,bullish,with_trend,2025-04-11T08:00:00+00:00,1,2025-04-11T08:00:00+00:00,LONG,counter,73.1,False,5,fresh,Asia,London,False,False,Neither,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
