setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,fvg_present,sweep_present,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,alert_bar_ts,alert_seq,bos_timestamp,bias,pd_alignment,pd_pct,break_tier,break_close_atr,break_excess,break_body_atr,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,killzone_blocked,killzone_windows
T0001,EURUSD,2025-04-01T06:00:00+00:00,2025-04-02T14:00:00+00:00,2025-04-02T14:00:00+00:00,Asia,bearish,CHoCH CHoCH,proximal,1.08331,1.08523,1.0805,1.0798,1.63,2.03,sl,1.08523,-1.0,-1.0,-1.0,-250.0,True,,0.552,-1.53,0,-1,-1,28,premium,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2025-03-31T02:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,6,bearish,with_trend,2025-04-01T05:00:00+00:00,1,2025-03-31T12:00:00+00:00,SHORT,aligned,100.1,marginal,1.03,1.11,1.67,no_fvg,Asia,NY,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0002,EURUSD,2025-04-01T06:00:00+00:00,2025-04-02T14:00:00+00:00,2025-04-02T14:00:00+00:00,Asia,bearish,CHoCH CHoCH,50pct,1.08407,1.08523,1.0805,1.0798,3.719,4.448,sl,1.08523,-1.0,-1.0,-1.0,-250.0,True,,1.568,-1.878,0,-1,-1,28,premium,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2025-03-31T02:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,6,bearish,with_trend,2025-04-01T05:00:00+00:00,1,2025-03-31T12:00:00+00:00,SHORT,aligned,116.8,marginal,1.03,1.11,1.67,no_fvg,Asia,NY,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0003,EURUSD,2025-04-01T11:00:00+00:00,,,London,bullish,CHoCH CHoCH,proximal,1.07817,1.07684,1.07991,,1.55,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,48,discount,7.0,4.0,0.0,1.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-03-28T10:00:00+00:00,CHoCH,CHoCH,True,False,False,,,,,False,11,bearish,against_trend,2025-04-01T10:00:00+00:00,1,2025-03-28T13:00:00+00:00,LONG,aligned,-9.2,marginal,1.87,1.31,1.96,fresh,London,London,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0004,EURUSD,2025-04-01T11:00:00+00:00,,,London,bullish,CHoCH CHoCH,50pct,1.0777,1.07684,1.07991,,3.348,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,48,discount,7.0,4.0,0.0,1.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-03-28T10:00:00+00:00,CHoCH,CHoCH,True,False,False,,,,,False,11,bearish,against_trend,2025-04-01T10:00:00+00:00,1,2025-03-28T13:00:00+00:00,LONG,aligned,-16.6,marginal,1.87,1.31,1.96,fresh,London,London,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0005,EURUSD,2025-04-01T11:00:00+00:00,2025-04-01T14:00:00+00:00,2025-04-02T13:00:00+00:00,London,bearish,CHoCH CHoCH,proximal,1.08038,1.08242,1.07712,,1.77,,sl,1.08242,-1.0,-1.0,-1.0,-250.0,True,,0.914,-1.377,23,-1,-1,3,discount,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2025-04-01T08:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,11,bearish,with_trend,2025-04-01T10:00:00+00:00,1,2025-04-01T10:00:00+00:00,SHORT,counter,35.8,marginal,1.38,1.22,1.83,no_fvg,London,NY,True,True,Both,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0006,EURUSD,2025-04-01T11:00:00+00:00,2025-04-01T14:00:00+00:00,2025-04-02T12:00:00+00:00,London,bearish,CHoCH CHoCH,50pct,1.0812,1.08242,1.07712,,4.0,,sl,1.0812,0.0,-1.0,-1.0,0.0,True,,2.2,-0.862,22,-1,-1,3,premium,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2025-04-01T08:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,11,bearish,with_trend,2025-04-01T10:00:00+00:00,1,2025-04-01T10:00:00+00:00,SHORT,aligned,53.8,marginal,1.38,1.22,1.83,no_fvg,London,NY,True,True,Both,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0007,EURUSD,2025-04-07T05:00:00+00:00,2025-04-09T04:00:00+00:00,2025-04-09T12:00:00+00:00,Asia,bearish,CHoCH CHoCH,proximal,1.10619,1.1104,1.09349,,3.17,,sl,1.10619,0.0,3.17,0.0,0.0,True,,1.415,-0.817,8,14,-1,25,premium,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2025-04-04T03:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,5,bearish,with_trend,2025-04-07T04:00:00+00:00,1,2025-04-04T07:00:00+00:00,SHORT,aligned,73.5,marginal,1.08,1.03,1.54,stale,Asia,Asia,False,False,Neither,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0008,EURUSD,2025-04-07T05:00:00+00:00,,,Asia,bearish,CHoCH CHoCH,50pct,1.1081,1.1104,1.09349,,6.957,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,25,premium,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2025-04-04T03:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,5,bearish,with_trend,2025-04-07T04:00:00+00:00,1,2025-04-04T07:00:00+00:00,SHORT,aligned,84.0,marginal,1.08,1.03,1.54,stale,Asia,Asia,False,False,never_filled,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0009,EURUSD,2025-04-14T13:00:00+00:00,2025-04-14T15:00:00+00:00,2025-04-15T16:00:00+00:00,NY,bearish,BOS BOS,proximal,1.13804,1.14287,1.12829,,2.11,,tp1,1.12829,2.019,2.11,0.0,504.75,True,,2.309,-0.081,25,25,-1,7,premium,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2025-04-14T06:00:00+00:00,BOS,BOS,False,False,False,,,,,False,13,bearish,with_trend,2025-04-14T12:00:00+00:00,1,2025-04-14T12:00:00+00:00,SHORT,aligned,91.2,solid,0.59,1.51,1.51,no_fvg,Asia,NY,True,True,Both,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0010,EURUSD,2025-04-14T13:00:00+00:00,,,NY,bearish,BOS BOS,50pct,1.14026,1.14287,1.12829,,4.967,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,7,premium,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2025-04-14T06:00:00+00:00,BOS,BOS,False,False,False,,,,,False,13,bearish,with_trend,2025-04-14T12:00:00+00:00,1,2025-04-14T12:00:00+00:00,SHORT,aligned,95.6,solid,0.59,1.51,1.51,no_fvg,Asia,NY,True,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
