pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,fvg_present,sweep_present,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,bias,killzone_blocked,killzone_windows
EURUSD,2025-07-02T11:00:00+00:00,2025-07-02T11:00:00+00:00,2025-07-02T12:00:00+00:00,London,bearish,Minor BOS,proximal,1.17744,1.17861,1.17495,1.1744,2.13,2.6,sl,1.17861,-1.0,-1.0,-1.0,-250.0,2.128,-1.305,1,-1,-1,3,premium,3.5,1.5,0.0,0.0,1.5,0.5,"structure,freshness,killzone",False,h1_only,2025-07-02T08:00:00+00:00,BOS,Minor,False,False,False,,,,,False,11,SHORT,False,07:00-16:30 UTC
EURUSD,2025-07-02T11:00:00+00:00,2025-07-02T12:00:00+00:00,2025-07-02T12:00:00+00:00,London,bearish,Minor BOS,50pct,1.17793,1.17861,1.17495,1.1744,4.382,5.191,sl,1.17861,-1.0,-1.0,-1.0,-250.0,4.382,-1.525,0,-1,-1,3,premium,3.5,1.5,0.0,0.0,1.5,0.5,"structure,freshness,killzone",False,h1_only,2025-07-02T08:00:00+00:00,BOS,Minor,False,False,False,,,,,False,11,SHORT,False,07:00-16:30 UTC
EURUSD,2025-07-03T12:00:00+00:00,2025-07-03T12:00:00+00:00,2025-07-03T12:00:00+00:00,London,bearish,Minor BOS,proximal,1.17911,1.18056,1.17675,1.17661,1.62,1.72,tp2,1.17661,1.724,1.62,1.72,431.0,4.674,-0.093,0,0,0,2,premium,3.5,1.5,0.0,0.0,1.5,0.5,"structure,freshness,killzone",False,h1_only,2025-07-03T10:00:00+00:00,BOS,Minor,False,False,False,,,,,False,12,SHORT,False,07:00-16:30 UTC
EURUSD,2025-07-03T12:00:00+00:00,,,London,bearish,Minor BOS,50pct,1.17973,1.18056,1.17675,1.17661,3.59,3.759,never_filled,,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,2,premium,3.5,1.5,0.0,0.0,1.5,0.5,"structure,freshness,killzone",False,h1_only,2025-07-03T10:00:00+00:00,BOS,Minor,False,False,False,,,,,False,12,SHORT,False,07:00-16:30 UTC
EURUSD,2025-07-07T02:00:00+00:00,2025-07-07T02:00:00+00:00,2025-07-07T08:00:00+00:00,Asia,bearish,Minor BOS,proximal,1.17772,1.17847,1.17647,1.17495,1.65,3.66,tp2,1.17495,3.693,1.65,3.66,923.25,6.633,-0.182,6,4,6,7,premium,4.2,1.5,0.0,1.2,1.5,0.0,"structure,fvg,freshness",False,h1_only,2025-07-04T18:00:00+00:00,BOS,Minor,True,False,False,,,,,True,2,SHORT,True,07:00-16:30 UTC
EURUSD,2025-07-07T02:00:00+00:00,,,Asia,bearish,Minor BOS,50pct,1.178,1.17847,1.17647,1.17495,3.255,6.489,never_filled,,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,7,premium,4.2,1.5,0.0,1.2,1.5,0.0,"structure,fvg,freshness",False,h1_only,2025-07-04T18:00:00+00:00,BOS,Minor,True,False,False,,,,,True,2,SHORT,True,07:00-16:30 UTC
EURUSD,2025-07-07T04:00:00+00:00,2025-07-07T04:00:00+00:00,2025-07-07T08:00:00+00:00,Asia,bearish,Minor BOS,proximal,1.17702,1.17792,1.17495,1.1744,2.32,2.94,tp2,1.1744,2.911,2.32,2.94,727.75,4.75,-0.775,4,4,4,1,premium,4.0,1.5,1.0,0.0,1.5,0.0,"structure,sweep,freshness",False,h1_only,2025-07-07T03:00:00+00:00,BOS,Minor,False,True,False,,,,,False,4,SHORT,True,07:00-16:30 UTC
EURUSD,2025-07-07T04:00:00+00:00,2025-07-07T04:00:00+00:00,2025-07-07T08:00:00+00:00,Asia,bearish,Minor BOS,50pct,1.17737,1.17792,1.17495,1.1744,4.4,5.4,tp2,1.1744,5.4,4.4,5.4,1350.0,8.408,-0.632,4,4,4,1,premium,4.0,1.5,1.0,0.0,1.5,0.0,"structure,sweep,freshness",False,h1_only,2025-07-07T03:00:00+00:00,BOS,Minor,False,True,False,,,,,False,4,SHORT,True,07:00-16:30 UTC
EURUSD,2025-07-07T06:00:00+00:00,2025-07-07T06:00:00+00:00,2025-07-07T08:00:00+00:00,Asia,bearish,Minor BOS,proximal,1.17675,1.17792,1.17495,1.1744,1.54,2.01,tp2,1.1744,2.009,1.54,2.01,502.25,3.423,-0.708,2,2,2,1,premium,4.5,1.5,1.0,0.0,1.5,0.5,"structure,sweep,freshness,killzone",False,h1_only,2025-07-07T05:00:00+00:00,BOS,Minor,False,True,False,,,,,False,6,SHORT,True,07:00-16:30 UTC
EURUSD,2025-07-07T06:00:00+00:00,2025-07-07T06:00:00+00:00,2025-07-07T08:00:00+00:00,Asia,bearish,Minor BOS,50pct,1.17723,1.17792,1.17495,1.1744,3.304,4.101,tp2,1.1744,4.101,3.304,4.101,1025.25,6.499,-0.506,2,2,2,1,premium,4.5,1.5,1.0,0.0,1.5,0.5,"structure,sweep,freshness,killzone",False,h1_only,2025-07-07T05:00:00+00:00,BOS,Minor,False,True,False,,,,,False,6,SHORT,True,07:00-16:30 UTC
