setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,fvg_present,sweep_present,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,alert_bar_ts,alert_seq,bos_timestamp,bias,pd_alignment,pd_pct,bos_sequence_count,break_tier,break_close_atr,break_excess,break_body_atr,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,killzone_blocked,killzone_windows
T0001,EURUSD,2025-11-03T08:00:00+00:00,2025-11-03T16:00:00+00:00,2025-11-03T23:00:00+00:00,London,bearish,BOS BOS,proximal,1.15337,1.15454,1.15097,,2.47,,tp1,1.15097,2.051,2.47,0.0,512.75,True,,2.402,-0.376,7,7,-1,2,discount,0.0,,6.0,3.0,1.0,0.0,2.0,0.0,"structure,sweep,freshness",False,h1_only,2025-11-03T06:00:00+00:00,BOS,BOS,False,True,False,,,,,False,8,bearish,with_trend,2025-11-03T07:00:00+00:00,1,2025-11-03T07:00:00+00:00,SHORT,counter,15.3,3,strong,0.77,2.8,2.8,no_fvg,Asia,NY,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0002,EURUSD,2025-11-03T08:00:00+00:00,2025-11-03T16:00:00+00:00,2025-11-03T23:00:00+00:00,London,bearish,BOS BOS,50pct,1.15375,1.15454,1.15097,,4.712,,tp1,1.15097,3.519,4.712,7.089,879.75,True,,4.038,-0.076,7,7,-1,2,discount,0.0,,6.0,3.0,1.0,0.0,2.0,0.0,"structure,sweep,freshness",False,h1_only,2025-11-03T06:00:00+00:00,BOS,BOS,False,True,False,,,,,False,8,bearish,with_trend,2025-11-03T07:00:00+00:00,1,2025-11-03T07:00:00+00:00,SHORT,counter,17.8,3,strong,0.77,2.8,2.8,no_fvg,Asia,NY,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0003,EURUSD,2025-11-06T08:00:00+00:00,2025-11-06T09:00:00+00:00,2025-11-06T12:00:00+00:00,London,bullish,CHoCH CHoCH,proximal,1.1514,1.15012,1.1534,,1.85,,tp1,1.1534,1.563,1.85,3.852,390.75,True,,2.359,-0.305,3,3,-1,3,premium,1.0,True,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2025-11-06T05:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,8,bearish,against_trend,2025-11-06T07:00:00+00:00,1,2025-11-06T06:00:00+00:00,LONG,counter,69.3,0,marginal,1.84,1.15,1.73,no_fvg,Asia,London,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0004,EURUSD,2025-11-06T08:00:00+00:00,,,London,bullish,CHoCH CHoCH,50pct,1.15096,1.15012,1.1534,,3.813,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,3,premium,1.0,True,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2025-11-06T05:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,8,bearish,against_trend,2025-11-06T07:00:00+00:00,1,2025-11-06T06:00:00+00:00,LONG,counter,62.6,0,marginal,1.84,1.15,1.73,no_fvg,Asia,London,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0005,EURUSD,2025-11-06T15:00:00+00:00,,,NY,bullish,CHoCH CHoCH,proximal,1.15178,1.1506100000000001,1.1534,,1.67,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,6,premium,1.0,True,7.0,4.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2025-11-06T09:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,15,bearish,against_trend,2025-11-06T14:00:00+00:00,1,2025-11-06T13:00:00+00:00,LONG,counter,65.0,0,marginal,2.24,1.12,1.68,fresh,London,NY,True,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0006,EURUSD,2025-11-06T15:00:00+00:00,,,NY,bullish,CHoCH CHoCH,50pct,1.15139,1.1506100000000001,1.1534,,3.466,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,6,premium,1.0,True,7.0,4.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2025-11-06T09:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,15,bearish,against_trend,2025-11-06T14:00:00+00:00,1,2025-11-06T13:00:00+00:00,LONG,counter,59.8,0,marginal,2.24,1.12,1.68,fresh,London,NY,True,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0007,EURUSD,2025-11-07T13:00:00+00:00,,,NY,bullish,Confirmation BOS,proximal,1.15361,1.15255,1.15518,,1.83,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,8,discount,0.0,,8.0,4.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-11-07T05:00:00+00:00,BOS,Confirm,True,False,False,,,,,False,13,bullish,with_trend,2025-11-07T12:00:00+00:00,1,2025-11-07T12:00:00+00:00,LONG,aligned,16.5,1,marginal,1.65,1.25,1.25,fresh,Asia,NY,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0008,EURUSD,2025-11-07T13:00:00+00:00,,,NY,bullish,Confirmation BOS,50pct,1.15328,1.15255,1.15518,,3.585,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,8,discount,0.0,,8.0,4.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-11-07T05:00:00+00:00,BOS,Confirm,True,False,False,,,,,False,13,bullish,with_trend,2025-11-07T12:00:00+00:00,1,2025-11-07T12:00:00+00:00,LONG,aligned,8.4,1,marginal,1.65,1.25,1.25,fresh,Asia,NY,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0009,EURUSD,2025-11-07T15:00:00+00:00,,,NY,bearish,Confirmation BOS,proximal,1.16135,1.16416,1.15592,,2.08,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,155,premium,0.0,,9.0,4.0,1.0,2.0,2.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2025-10-30T04:00:00+00:00,BOS,Confirm,True,True,False,,,,,False,15,bullish,against_trend,2025-11-07T14:00:00+00:00,1,2025-10-30T12:00:00+00:00,SHORT,aligned,172.7,1,strong,1.68,3.23,3.23,fresh,Asia,NY,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0010,EURUSD,2025-11-07T15:00:00+00:00,,,NY,bearish,Confirmation BOS,50pct,1.16256,1.16416,1.15592,,4.743,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,155,premium,0.0,,9.0,4.0,1.0,2.0,2.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2025-10-30T04:00:00+00:00,BOS,Confirm,True,True,False,,,,,False,15,bullish,against_trend,2025-11-07T14:00:00+00:00,1,2025-10-30T12:00:00+00:00,SHORT,aligned,187.1,1,strong,1.68,3.23,3.23,fresh,Asia,NY,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
