pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,fvg_present,sweep_present,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,alert_bar_ts,alert_seq,bos_timestamp,bias,pd_alignment,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,killzone_blocked,killzone_windows
EURUSD,2026-03-02T16:00:00+00:00,2026-03-02T17:00:00+00:00,2026-03-04T18:00:00+00:00,NY,bearish,BOS BOS,proximal,1.16986,1.17287,1.14574,,8.6,,timeout,1.1626555919647217,2.393,2.393,2.393,598.25,5.423,-0.593,49,-1,-1,2,premium,4.0,1.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2026-03-02T14:00:00+00:00,BOS,BOS,False,False,False,,,,,False,16,bearish,with_trend,2026-03-02T15:00:00+00:00,1,2026-03-02T15:00:00+00:00,SHORT,aligned,no_fvg,NY,NY,True,False,OB only,True,"02:00-05:00 America/New_York, 07:00-10:00 America/New_York"
EURUSD,2026-03-02T16:00:00+00:00,2026-03-02T19:00:00+00:00,2026-03-04T20:00:00+00:00,NY,bearish,BOS BOS,50pct,1.17117,1.17287,1.14574,,16.953,,timeout,1.1645511388778687,3.893,3.893,3.893,973.25,10.373,-0.28,49,-1,-1,2,premium,4.0,1.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2026-03-02T14:00:00+00:00,BOS,BOS,False,False,False,,,,,False,16,bearish,with_trend,2026-03-02T15:00:00+00:00,1,2026-03-02T15:00:00+00:00,SHORT,aligned,no_fvg,NY,NY,True,False,OB only,True,"02:00-05:00 America/New_York, 07:00-10:00 America/New_York"
EURUSD,2026-03-06T13:00:00+00:00,2026-03-06T14:00:00+00:00,2026-03-06T15:00:00+00:00,NY,bearish,BOS BOS,proximal,1.15768,1.15915,1.15354,,3.25,,sl,1.15915,-1.0,-1.0,-1.0,-250.0,1.732,-1.184,1,-1,-1,3,premium,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2026-03-06T10:00:00+00:00,BOS,BOS,True,False,False,,,,,False,13,bearish,with_trend,2026-03-06T12:00:00+00:00,1,2026-03-06T12:00:00+00:00,SHORT,aligned,fresh,London,NY,False,True,Fill only,False,"02:00-05:00 America/New_York, 07:00-10:00 America/New_York"
EURUSD,2026-03-06T13:00:00+00:00,2026-03-06T15:00:00+00:00,2026-03-06T15:00:00+00:00,NY,bearish,BOS BOS,50pct,1.15821,1.15915,1.15354,,6.311,,sl,1.15915,-1.0,-1.0,-1.0,-250.0,0.711,-1.288,0,-1,-1,3,premium,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2026-03-06T10:00:00+00:00,BOS,BOS,True,False,False,,,,,False,13,bearish,with_trend,2026-03-06T12:00:00+00:00,1,2026-03-06T12:00:00+00:00,SHORT,aligned,fresh,London,NY,False,False,Neither,False,"02:00-05:00 America/New_York, 07:00-10:00 America/New_York"
EURUSD,2026-03-11T10:00:00+00:00,,,London,bearish,BOS BOS,proximal,1.1632,1.16427,1.16104,1.16063,2.46,2.93,never_filled,,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,6,premium,6.0,1.0,1.0,2.0,2.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2026-03-11T04:00:00+00:00,BOS,BOS,True,True,False,,,,,False,10,bearish,with_trend,2026-03-11T09:00:00+00:00,1,2026-03-11T09:00:00+00:00,SHORT,aligned,fresh,Asia,London,False,False,never_filled,True,"02:00-05:00 America/New_York, 07:00-10:00 America/New_York"
EURUSD,2026-03-11T10:00:00+00:00,,,London,bearish,BOS BOS,50pct,1.16353,1.16427,1.16104,1.16063,4.611,5.37,never_filled,,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,6,premium,6.0,1.0,1.0,2.0,2.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2026-03-11T04:00:00+00:00,BOS,BOS,True,True,False,,,,,False,10,bearish,with_trend,2026-03-11T09:00:00+00:00,1,2026-03-11T09:00:00+00:00,SHORT,aligned,fresh,Asia,London,False,False,never_filled,True,"02:00-05:00 America/New_York, 07:00-10:00 America/New_York"
EURUSD,2026-03-13T05:00:00+00:00,2026-03-16T18:00:00+00:00,2026-03-16T19:00:00+00:00,Asia,bearish,BOS BOS,proximal,1.15247,1.15354,1.15115,,1.53,,tp1,1.15115,1.234,1.53,0.0,308.5,2.598,-0.25,1,1,-1,5,equilibrium,5.0,1.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2026-03-13T00:00:00+00:00,BOS,BOS,True,False,False,,,,,False,5,bearish,with_trend,2026-03-13T04:00:00+00:00,1,2026-03-13T04:00:00+00:00,SHORT,neutral,fresh,Asia,NY,False,False,Neither,True,"02:00-05:00 America/New_York, 07:00-10:00 America/New_York"
EURUSD,2026-03-13T05:00:00+00:00,,,Asia,bearish,BOS BOS,50pct,1.1528,1.15354,1.15115,,3.056,,never_filled,,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,5,equilibrium,5.0,1.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2026-03-13T00:00:00+00:00,BOS,BOS,True,False,False,,,,,False,5,bearish,with_trend,2026-03-13T04:00:00+00:00,1,2026-03-13T04:00:00+00:00,SHORT,neutral,fresh,Asia,Asia,False,False,never_filled,True,"02:00-05:00 America/New_York, 07:00-10:00 America/New_York"
EURUSD,2026-03-18T13:00:00+00:00,2026-03-19T15:00:00+00:00,2026-03-19T17:00:00+00:00,NY,bearish,BOS BOS,proximal,1.15367,1.15607,1.14903,1.14705,2.11,3.01,sl,1.15607,-1.0,-1.0,-1.0,-250.0,1.438,-1.334,2,-1,-1,2,equilibrium,5.0,1.0,1.0,0.0,2.0,1.0,"structure,sweep,freshness",False,h1_only,2026-03-18T11:00:00+00:00,BOS,BOS,False,True,False,,,,,False,13,bearish,with_trend,2026-03-18T12:00:00+00:00,1,2026-03-18T12:00:00+00:00,SHORT,neutral,no_fvg,London,NY,True,False,OB only,False,"02:00-05:00 America/New_York, 07:00-10:00 America/New_York"
EURUSD,2026-03-18T13:00:00+00:00,2026-03-19T17:00:00+00:00,2026-03-19T17:00:00+00:00,NY,bearish,BOS BOS,50pct,1.15467,1.15607,1.14903,1.14705,4.7,6.35,sl,1.15607,-1.0,-1.0,-1.0,-250.0,0.43,-1.573,0,-1,-1,2,equilibrium,5.0,1.0,1.0,0.0,2.0,1.0,"structure,sweep,freshness",False,h1_only,2026-03-18T11:00:00+00:00,BOS,BOS,False,True,False,,,,,False,13,bearish,with_trend,2026-03-18T12:00:00+00:00,1,2026-03-18T12:00:00+00:00,SHORT,neutral,no_fvg,London,NY,True,False,OB only,False,"02:00-05:00 America/New_York, 07:00-10:00 America/New_York"
