pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,fvg_present,sweep_present,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,bias
EURUSD,2026-05-04T10:00:00+00:00,2026-05-04T10:00:00+00:00,2026-05-04T13:00:00+00:00,London,bearish,Minor BOS,proximal,1.17151,1.17281,1.16932,1.16891,1.69,2.0,sl,1.17151,0.0,1.69,0.0,0.0,1.687,-0.422,3,0,-1,2,premium,3.5,1.5,0.0,0.0,1.5,0.5,"structure,freshness,killzone",False,h1_only,2026-05-04T08:00:00+00:00,BOS,Minor,False,False,False,,,,,False,10,SHORT
EURUSD,2026-05-04T10:00:00+00:00,2026-05-05T23:00:00+00:00,2026-05-06T01:00:00+00:00,London,bearish,Minor BOS,50pct,1.17206,1.17281,1.16932,1.16891,3.653,4.2,sl,1.17281,-1.0,-1.0,-1.0,-250.0,1.466,-1.097,2,-1,-1,2,premium,3.5,1.5,0.0,0.0,1.5,0.5,"structure,freshness,killzone",False,h1_only,2026-05-04T08:00:00+00:00,BOS,Minor,False,False,False,,,,,False,10,SHORT
EURUSD,2026-05-04T16:00:00+00:00,2026-05-05T14:00:00+00:00,2026-05-05T23:00:00+00:00,NY,bearish,Minor BOS,proximal,1.17069,1.17226,1.16822,,1.57,,sl,1.17226,-1.0,-1.0,-1.0,-250.0,1.136,-1.309,9,-1,-1,3,premium,4.7,1.5,0.0,1.2,1.5,0.5,"structure,fvg,freshness,killzone",False,h1_only,2026-05-04T13:00:00+00:00,BOS,Minor,True,False,False,,,,,False,16,SHORT
EURUSD,2026-05-04T16:00:00+00:00,2026-05-05T15:00:00+00:00,2026-05-05T23:00:00+00:00,NY,bearish,Minor BOS,50pct,1.17137,1.17226,1.16822,,3.539,,sl,1.17226,-1.0,-1.0,-1.0,-250.0,2.767,-1.545,8,-1,-1,3,premium,4.7,1.5,0.0,1.2,1.5,0.5,"structure,fvg,freshness,killzone",False,h1_only,2026-05-04T13:00:00+00:00,BOS,Minor,True,False,False,,,,,False,16,SHORT
EURUSD,2026-05-12T10:00:00+00:00,2026-05-12T10:00:00+00:00,2026-05-12T19:00:00+00:00,London,bearish,Minor BOS,proximal,1.17481,1.17556,1.17275,,2.75,,sl,1.17481,0.0,2.75,0.0,0.0,2.753,-0.739,9,5,-1,1,premium,3.5,1.5,0.0,0.0,1.5,0.5,"structure,freshness,killzone",False,h1_only,2026-05-12T09:00:00+00:00,BOS,Minor,False,False,False,,,,,False,10,SHORT
EURUSD,2026-05-12T10:00:00+00:00,2026-05-12T10:00:00+00:00,2026-05-14T10:00:00+00:00,London,bearish,Minor BOS,50pct,1.17509,1.17556,1.17275,,4.979,,window_end,1.1712344884872437,8.203,4.979,8.203,2050.75,10.827,-0.584,48,5,-1,1,premium,3.5,1.5,0.0,0.0,1.5,0.5,"structure,freshness,killzone",False,h1_only,2026-05-12T09:00:00+00:00,BOS,Minor,False,False,False,,,,,False,10,SHORT
EURUSD,2026-05-12T13:00:00+00:00,2026-05-12T13:00:00+00:00,2026-05-14T13:00:00+00:00,NY,bearish,Minor BOS,proximal,1.17398,1.17556,1.17,1.16986,2.52,2.61,tp2,1.16986,2.608,2.52,2.61,652.0,3.211,-0.789,48,48,48,1,premium,3.5,1.5,0.0,0.0,1.5,0.5,"structure,freshness,killzone",False,h1_only,2026-05-12T12:00:00+00:00,BOS,Minor,False,False,False,,,,,False,13,SHORT
EURUSD,2026-05-12T13:00:00+00:00,2026-05-12T13:00:00+00:00,2026-05-14T13:00:00+00:00,NY,bearish,Minor BOS,50pct,1.17467,1.17556,1.17,1.16986,5.247,5.404,tp2,1.16986,5.404,5.247,5.404,1351.0,6.475,-0.625,48,48,48,1,premium,3.5,1.5,0.0,0.0,1.5,0.5,"structure,freshness,killzone",False,h1_only,2026-05-12T12:00:00+00:00,BOS,Minor,False,False,False,,,,,False,13,SHORT
EURUSD,2026-05-12T16:00:00+00:00,2026-05-12T16:00:00+00:00,2026-05-12T16:00:00+00:00,NY,bearish,Minor BOS,proximal,1.17316,1.17405,1.17165,1.17,1.7,3.55,sl,1.17405,-1.0,-1.0,-1.0,-250.0,0.002,-1.081,0,-1,-1,2,premium,3.5,1.5,0.0,0.0,1.5,0.5,"structure,freshness,killzone",False,h1_only,2026-05-12T14:00:00+00:00,BOS,Minor,False,False,False,,,,,False,16,SHORT
EURUSD,2026-05-12T16:00:00+00:00,2026-05-12T16:00:00+00:00,2026-05-12T16:00:00+00:00,NY,bearish,Minor BOS,50pct,1.1735,1.17405,1.17165,1.17,3.364,6.364,sl,1.17405,-1.0,-1.0,-1.0,-250.0,0.622,-1.132,0,-1,-1,2,premium,3.5,1.5,0.0,0.0,1.5,0.5,"structure,freshness,killzone",False,h1_only,2026-05-12T14:00:00+00:00,BOS,Minor,False,False,False,,,,,False,16,SHORT
