pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,fvg_present,sweep_present,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,alert_bar_ts,alert_seq,bos_timestamp,bias,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,killzone_blocked,killzone_windows
NZDUSD,2026-06-09T00:00:00+00:00,2026-06-09T01:00:00+00:00,2026-06-09T04:00:00+00:00,Asia,bearish,BOS BOS,proximal,0.58126,0.58243,0.57894,0.5788,3.01,3.18,sl,0.58243,-1.0,-1.0,-1.0,-250.0,0.49,-1.652,3,-1,-1,3,equilibrium,6.0,3.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2026-06-08T21:00:00+00:00,BOS,BOS,True,False,False,,,,,True,0,2026-06-08T23:00:00+00:00,1,2026-06-08T23:00:00+00:00,SHORT,Other,Asia,False,False,Neither,True,"03:30-07:00 UTC, 07:00-10:00 UTC, 12:00-17:00 UTC"
NZDUSD,2026-06-09T00:00:00+00:00,2026-06-09T01:00:00+00:00,2026-06-09T04:00:00+00:00,Asia,bearish,BOS BOS,50pct,0.58145,0.58243,0.57894,0.5788,4.328,4.569,sl,0.58243,-1.0,-1.0,-1.0,-250.0,0.779,-1.778,3,-1,-1,3,equilibrium,6.0,3.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2026-06-08T21:00:00+00:00,BOS,BOS,True,False,False,,,,,True,0,2026-06-08T23:00:00+00:00,1,2026-06-08T23:00:00+00:00,SHORT,Other,Asia,False,False,Neither,True,"03:30-07:00 UTC, 07:00-10:00 UTC, 12:00-17:00 UTC"
NZDUSD,2026-06-09T17:00:00+00:00,,,NY,bearish,BOS BOS,proximal,0.58394,0.58522,0.58258,0.58245,1.55,1.71,never_filled,,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,6,premium,4.0,1.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2026-06-09T11:00:00+00:00,BOS,BOS,True,False,False,,,,,False,17,2026-06-09T16:00:00+00:00,1,2026-06-09T16:00:00+00:00,SHORT,London,NY,False,False,never_filled,True,"03:30-07:00 UTC, 07:00-10:00 UTC, 12:00-17:00 UTC"
NZDUSD,2026-06-09T17:00:00+00:00,,,NY,bearish,BOS BOS,50pct,0.58418,0.58522,0.58258,0.58245,2.5,2.703,never_filled,,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,6,premium,4.0,1.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2026-06-09T11:00:00+00:00,BOS,BOS,True,False,False,,,,,False,17,2026-06-09T16:00:00+00:00,1,2026-06-09T16:00:00+00:00,SHORT,London,NY,False,False,never_filled,True,"03:30-07:00 UTC, 07:00-10:00 UTC, 12:00-17:00 UTC"
NZDUSD,2026-06-10T21:00:00+00:00,2026-06-11T17:00:00+00:00,2026-06-11T19:00:00+00:00,Other,bearish,BOS BOS,proximal,0.58156,0.5841299999999999,0.5772,,2.02,,sl,0.5841299999999999,-1.0,-1.0,-1.0,-250.0,1.58,-1.113,2,-1,-1,8,equilibrium,4.0,1.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2026-06-10T13:00:00+00:00,BOS,BOS,True,False,False,,,,,True,21,2026-06-10T20:00:00+00:00,1,2026-06-10T20:00:00+00:00,SHORT,NY,NY,True,False,OB only,True,"03:30-07:00 UTC, 07:00-10:00 UTC, 12:00-17:00 UTC"
NZDUSD,2026-06-10T21:00:00+00:00,2026-06-11T18:00:00+00:00,2026-06-11T19:00:00+00:00,Other,bearish,BOS BOS,50pct,0.58245,0.5841299999999999,0.5772,,4.102,,sl,0.5841299999999999,-1.0,-1.0,-1.0,-250.0,0.969,-1.172,1,-1,-1,8,premium,4.0,1.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2026-06-10T13:00:00+00:00,BOS,BOS,True,False,False,,,,,True,21,2026-06-10T20:00:00+00:00,1,2026-06-10T20:00:00+00:00,SHORT,NY,NY,True,False,OB only,True,"03:30-07:00 UTC, 07:00-10:00 UTC, 12:00-17:00 UTC"
NZDUSD,2026-06-11T05:00:00+00:00,2026-06-11T17:00:00+00:00,2026-06-11T19:00:00+00:00,Asia,bearish,BOS BOS,proximal,0.58102,0.5824999999999999,0.57894,0.5788,1.94,2.06,sl,0.5824999999999999,-1.0,-1.0,-1.0,-250.0,2.378,-2.297,2,-1,-1,20,equilibrium,3.0,1.0,0.0,1.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2026-06-10T09:00:00+00:00,BOS,BOS,True,False,False,,,,,False,5,2026-06-11T04:00:00+00:00,1,2026-06-10T20:00:00+00:00,SHORT,London,NY,True,False,OB only,False,"03:30-07:00 UTC, 07:00-10:00 UTC, 12:00-17:00 UTC"
NZDUSD,2026-06-11T05:00:00+00:00,2026-06-11T17:00:00+00:00,2026-06-11T19:00:00+00:00,Asia,bearish,BOS BOS,50pct,0.58136,0.5824999999999999,0.57894,0.5788,3.27,3.459,sl,0.5824999999999999,-1.0,-1.0,-1.0,-250.0,3.385,-2.684,2,-1,-1,20,equilibrium,3.0,1.0,0.0,1.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2026-06-10T09:00:00+00:00,BOS,BOS,True,False,False,,,,,False,5,2026-06-11T04:00:00+00:00,1,2026-06-10T20:00:00+00:00,SHORT,London,NY,True,False,OB only,False,"03:30-07:00 UTC, 07:00-10:00 UTC, 12:00-17:00 UTC"
NZDUSD,2026-06-11T09:00:00+00:00,2026-06-11T17:00:00+00:00,2026-06-11T17:00:00+00:00,London,bearish,BOS BOS,proximal,0.57947,0.5809099999999999,0.5772,,2.19,,sl,0.5809099999999999,-1.0,-1.0,-1.0,-250.0,1.368,-1.854,0,-1,-1,5,discount,2.0,1.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2026-06-11T04:00:00+00:00,BOS,BOS,False,False,False,,,,,False,9,2026-06-11T08:00:00+00:00,1,2026-06-11T08:00:00+00:00,SHORT,Asia,NY,True,False,OB only,False,"03:30-07:00 UTC, 07:00-10:00 UTC, 12:00-17:00 UTC"
NZDUSD,2026-06-11T09:00:00+00:00,2026-06-11T17:00:00+00:00,2026-06-11T17:00:00+00:00,London,bearish,BOS BOS,50pct,0.57979,0.5809099999999999,0.5772,,3.597,,sl,0.5809099999999999,-1.0,-1.0,-1.0,-250.0,2.044,-2.098,0,-1,-1,5,discount,2.0,1.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2026-06-11T04:00:00+00:00,BOS,BOS,False,False,False,,,,,False,9,2026-06-11T08:00:00+00:00,1,2026-06-11T08:00:00+00:00,SHORT,Asia,NY,True,False,OB only,False,"03:30-07:00 UTC, 07:00-10:00 UTC, 12:00-17:00 UTC"
